FID IID POP
HG02588 HG02588 AFR
HG02589 HG02589 AFR
HG02594 HG02594 AFR
HG02595 HG02595 AFR
HG02597 HG02597 SAS
HG02600 HG02600 SAS
HG02601 HG02601 SAS
HG02603 HG02603 SAS
HG02604 HG02604 SAS
HG02610 HG02610 AFR
HG02611 HG02611 AFR
HG02613 HG02613 AFR
HG02614 HG02614 AFR
HG02620 HG02620 AFR
HG02621 HG02621 AFR
HG02623 HG02623 AFR
HG02624 HG02624 AFR
HG02628 HG02628 AFR
HG02629 HG02629 AFR
HG02634 HG02634 AFR
HG02635 HG02635 AFR
HG02642 HG02642 AFR
HG02643 HG02643 AFR
HG02645 HG02645 AFR
HG02646 HG02646 AFR
HG02648 HG02648 SAS
HG02649 HG02649 SAS
HG02651 HG02651 SAS
HG02652 HG02652 SAS
HG02654 HG02654 SAS
HG02655 HG02655 SAS
HG02657 HG02657 SAS
HG02658 HG02658 SAS
HG02660 HG02660 SAS
HG02661 HG02661 SAS
HG02666 HG02666 AFR
HG02667 HG02667 AFR
HG02675 HG02675 AFR
HG02676 HG02676 AFR
HG02678 HG02678 AFR
HG02679 HG02679 AFR
HG02681 HG02681 SAS
HG02682 HG02682 SAS
HG02684 HG02684 SAS
HG02685 HG02685 SAS
HG02687 HG02687 SAS
HG02688 HG02688 SAS
HG02690 HG02690 SAS
HG02691 HG02691 SAS
HG02694 HG02694 SAS
HG02696 HG02696 SAS
HG02697 HG02697 SAS
HG02699 HG02699 SAS
HG02700 HG02700 SAS
HG02702 HG02702 AFR
HG02703 HG02703 AFR
HG02715 HG02715 AFR
HG02716 HG02716 AFR
HG02721 HG02721 AFR
HG02722 HG02722 AFR
HG02724 HG02724 SAS
HG02725 HG02725 SAS
HG02727 HG02727 SAS
HG02728 HG02728 SAS
HG02731 HG02731 SAS
HG02733 HG02733 SAS
HG02734 HG02734 SAS
HG02736 HG02736 SAS
HG02737 HG02737 SAS
HG02756 HG02756 AFR
HG02757 HG02757 AFR
HG02759 HG02759 AFR
HG02760 HG02760 AFR
HG02763 HG02763 AFR
HG02768 HG02768 AFR
HG02769 HG02769 AFR
HG02771 HG02771 AFR
HG02772 HG02772 AFR
HG02774 HG02774 SAS
HG02775 HG02775 SAS
HG02778 HG02778 SAS
HG02780 HG02780 SAS
HG02783 HG02783 SAS
HG02784 HG02784 SAS
HG02786 HG02786 SAS
HG02787 HG02787 SAS
HG02789 HG02789 SAS
HG02790 HG02790 SAS
HG02792 HG02792 SAS
HG02793 HG02793 SAS
HG02798 HG02798 AFR
HG02799 HG02799 AFR
HG02804 HG02804 AFR
HG02805 HG02805 AFR
HG02807 HG02807 AFR
HG02808 HG02808 AFR
HG02810 HG02810 AFR
HG02811 HG02811 AFR
HG02813 HG02813 AFR
HG02814 HG02814 AFR
HG02816 HG02816 AFR
HG02817 HG02817 AFR
HG02819 HG02819 AFR
HG02820 HG02820 AFR
HG02836 HG02836 AFR
HG02837 HG02837 AFR
HG02839 HG02839 AFR
HG02840 HG02840 AFR
HG02851 HG02851 AFR
HG02852 HG02852 AFR
HG02854 HG02854 AFR
HG02855 HG02855 AFR
HG02860 HG02860 AFR
HG02861 HG02861 AFR
HG02870 HG02870 AFR
HG02878 HG02878 AFR
HG02879 HG02879 AFR
HG02881 HG02881 AFR
HG02882 HG02882 AFR
HG02884 HG02884 AFR
HG02885 HG02885 AFR
HG02887 HG02887 AFR
HG02888 HG02888 AFR
HG02890 HG02890 AFR
HG02891 HG02891 AFR
HG02895 HG02895 AFR
HG02896 HG02896 AFR
HG02922 HG02922 AFR
HG02923 HG02923 AFR
HG02938 HG02938 AFR
HG02941 HG02941 AFR
HG02943 HG02943 AFR
HG02944 HG02944 AFR
HG02946 HG02946 AFR
HG02947 HG02947 AFR
HG02952 HG02952 AFR
HG02953 HG02953 AFR
HG02968 HG02968 AFR
HG02970 HG02970 AFR
HG02971 HG02971 AFR
HG02973 HG02973 AFR
HG02974 HG02974 AFR
HG02976 HG02976 AFR
HG02977 HG02977 AFR
HG02979 HG02979 AFR
HG02981 HG02981 AFR
HG02982 HG02982 AFR
HG02983 HG02983 AFR
HG03006 HG03006 SAS
HG03007 HG03007 SAS
HG03009 HG03009 SAS
HG03012 HG03012 SAS
HG03015 HG03015 SAS
HG03016 HG03016 SAS
HG03018 HG03018 SAS
HG03019 HG03019 SAS
HG03021 HG03021 SAS
HG03022 HG03022 SAS
HG03024 HG03024 AFR
HG03025 HG03025 AFR
HG03027 HG03027 AFR
HG03028 HG03028 AFR
HG03039 HG03039 AFR
HG03040 HG03040 AFR
HG03045 HG03045 AFR
HG03046 HG03046 AFR
HG03048 HG03048 AFR
HG03049 HG03049 AFR
HG03052 HG03052 AFR
HG03054 HG03054 AFR
HG03055 HG03055 AFR
HG03057 HG03057 AFR
HG03058 HG03058 AFR
HG03060 HG03060 AFR
HG03061 HG03061 AFR
HG03063 HG03063 AFR
HG03064 HG03064 AFR
HG03066 HG03066 AFR
HG03069 HG03069 AFR
HG03072 HG03072 AFR
HG03073 HG03073 AFR
HG03074 HG03074 AFR
HG03077 HG03077 AFR
HG03078 HG03078 AFR
HG03079 HG03079 AFR
HG03081 HG03081 AFR
HG03082 HG03082 AFR
HG03084 HG03084 AFR
HG03085 HG03085 AFR
HG03086 HG03086 AFR
HG03088 HG03088 AFR
HG03091 HG03091 AFR
HG03095 HG03095 AFR
HG03096 HG03096 AFR
HG03097 HG03097 AFR
HG03099 HG03099 AFR
HG03100 HG03100 AFR
HG03103 HG03103 AFR
HG03105 HG03105 AFR
HG03108 HG03108 AFR
HG03109 HG03109 AFR
HG03111 HG03111 AFR
HG03112 HG03112 AFR
HG03114 HG03114 AFR
HG03115 HG03115 AFR
HG03117 HG03117 AFR
HG03118 HG03118 AFR
HG03120 HG03120 AFR
HG03121 HG03121 AFR
HG03123 HG03123 AFR
HG03124 HG03124 AFR
HG03126 HG03126 AFR
HG03127 HG03127 AFR
HG03129 HG03129 AFR
HG03130 HG03130 AFR
HG03132 HG03132 AFR
HG03133 HG03133 AFR
HG03135 HG03135 AFR
HG03136 HG03136 AFR
HG03139 HG03139 AFR
HG03157 HG03157 AFR
HG03159 HG03159 AFR
HG03160 HG03160 AFR
HG03162 HG03162 AFR
HG03163 HG03163 AFR
HG03166 HG03166 AFR
HG03168 HG03168 AFR
HG03169 HG03169 AFR
HG03172 HG03172 AFR
HG03175 HG03175 AFR
HG03189 HG03189 AFR
HG03190 HG03190 AFR
HG03193 HG03193 AFR
HG03195 HG03195 AFR
HG03196 HG03196 AFR
HG03198 HG03198 AFR
HG03199 HG03199 AFR
HG03202 HG03202 AFR
HG03209 HG03209 AFR
HG03212 HG03212 AFR
HG03224 HG03224 AFR
HG03225 HG03225 AFR
HG03228 HG03228 SAS
HG03229 HG03229 SAS
HG03234 HG03234 SAS
HG03235 HG03235 SAS
HG03237 HG03237 SAS
HG03238 HG03238 SAS
HG03240 HG03240 AFR
HG03241 HG03241 AFR
HG03246 HG03246 AFR
HG03247 HG03247 AFR
HG03258 HG03258 AFR
HG03259 HG03259 AFR
HG03265 HG03265 AFR
HG03267 HG03267 AFR
HG03268 HG03268 AFR
HG03270 HG03270 AFR
HG03271 HG03271 AFR
HG03279 HG03279 AFR
HG03280 HG03280 AFR
HG03291 HG03291 AFR
HG03294 HG03294 AFR
HG03295 HG03295 AFR
HG03297 HG03297 AFR
HG03298 HG03298 AFR
HG03300 HG03300 AFR
HG03301 HG03301 AFR
HG03303 HG03303 AFR
HG03304 HG03304 AFR
HG03311 HG03311 AFR
HG03313 HG03313 AFR
HG03342 HG03342 AFR
HG03343 HG03343 AFR
HG03351 HG03351 AFR
HG03352 HG03352 AFR
HG03354 HG03354 AFR
HG03363 HG03363 AFR
HG03366 HG03366 AFR
HG03367 HG03367 AFR
HG03369 HG03369 AFR
HG03370 HG03370 AFR
HG03372 HG03372 AFR
HG03376 HG03376 AFR
HG03378 HG03378 AFR
HG03380 HG03380 AFR
HG03382 HG03382 AFR
HG03385 HG03385 AFR
HG03388 HG03388 AFR
HG03391 HG03391 AFR
HG03394 HG03394 AFR
HG03397 HG03397 AFR
HG03401 HG03401 AFR
HG03410 HG03410 AFR
HG03419 HG03419 AFR
HG03428 HG03428 AFR
HG03432 HG03432 AFR
HG03433 HG03433 AFR
HG03436 HG03436 AFR
HG03437 HG03437 AFR
HG03439 HG03439 AFR
HG03442 HG03442 AFR
HG03445 HG03445 AFR
HG03446 HG03446 AFR
HG03449 HG03449 AFR
HG03451 HG03451 AFR
HG03452 HG03452 AFR
HG03455 HG03455 AFR
HG03457 HG03457 AFR
HG03458 HG03458 AFR
HG03460 HG03460 AFR
HG03461 HG03461 AFR
HG03464 HG03464 AFR
HG03469 HG03469 AFR
HG03470 HG03470 AFR
HG03472 HG03472 AFR
HG03473 HG03473 AFR
HG03476 HG03476 AFR
HG03478 HG03478 AFR
HG03479 HG03479 AFR
HG03484 HG03484 AFR
HG03485 HG03485 AFR
HG03488 HG03488 SAS
HG03490 HG03490 SAS
HG03491 HG03491 SAS
HG03499 HG03499 AFR
HG03511 HG03511 AFR
HG03514 HG03514 AFR
HG03515 HG03515 AFR
HG03517 HG03517 AFR
HG03518 HG03518 AFR
HG03520 HG03520 AFR
HG03521 HG03521 AFR
HG03538 HG03538 AFR
HG03539 HG03539 AFR
HG03547 HG03547 AFR
HG03548 HG03548 AFR
HG03556 HG03556 AFR
HG03557 HG03557 AFR
HG03558 HG03558 AFR
HG03559 HG03559 AFR
HG03563 HG03563 AFR
HG03565 HG03565 AFR
HG03567 HG03567 AFR
HG03571 HG03571 AFR
HG03572 HG03572 AFR
HG03575 HG03575 AFR
HG03577 HG03577 AFR
HG03578 HG03578 AFR
HG03583 HG03583 AFR
HG03585 HG03585 SAS
HG03589 HG03589 SAS
HG03593 HG03593 SAS
HG03594 HG03594 SAS
HG03595 HG03595 SAS
HG03598 HG03598 SAS
HG03600 HG03600 SAS
HG03603 HG03603 SAS
HG03604 HG03604 SAS
HG03607 HG03607 SAS
HG03611 HG03611 SAS
HG03615 HG03615 SAS
HG03616 HG03616 SAS
HG03619 HG03619 SAS
HG03624 HG03624 SAS
HG03625 HG03625 SAS
HG03629 HG03629 SAS
HG03631 HG03631 SAS
HG03634 HG03634 SAS
HG03636 HG03636 SAS
HG03640 HG03640 SAS
HG03642 HG03642 SAS
HG03643 HG03643 SAS
HG03644 HG03644 SAS
HG03645 HG03645 SAS
HG03646 HG03646 SAS
HG03649 HG03649 SAS
HG03652 HG03652 SAS
HG03653 HG03653 SAS
HG03660 HG03660 SAS
HG03663 HG03663 SAS
HG03667 HG03667 SAS
HG03668 HG03668 SAS
HG03672 HG03672 SAS
HG03673 HG03673 SAS
HG03679 HG03679 SAS
HG03680 HG03680 SAS
HG03681 HG03681 SAS
HG03684 HG03684 SAS
HG03685 HG03685 SAS
HG03686 HG03686 SAS
HG03687 HG03687 SAS
HG03689 HG03689 SAS
HG03690 HG03690 SAS
HG03691 HG03691 SAS
HG03692 HG03692 SAS
HG03693 HG03693 SAS
HG03694 HG03694 SAS
HG03695 HG03695 SAS
HG03696 HG03696 SAS
HG03697 HG03697 SAS
HG03698 HG03698 SAS
HG03702 HG03702 SAS
HG03703 HG03703 SAS
HG03705 HG03705 SAS
HG03706 HG03706 SAS
HG03708 HG03708 SAS
HG03709 HG03709 SAS
HG03711 HG03711 SAS
HG03713 HG03713 SAS
HG03714 HG03714 SAS
HG03716 HG03716 SAS
HG03717 HG03717 SAS
HG03718 HG03718 SAS
HG03720 HG03720 SAS
HG03722 HG03722 SAS
HG03727 HG03727 SAS
HG03729 HG03729 SAS
HG03730 HG03730 SAS
HG03731 HG03731 SAS
HG03733 HG03733 SAS
HG03736 HG03736 SAS
HG03738 HG03738 SAS
HG03740 HG03740 SAS
HG03741 HG03741 SAS
HG03742 HG03742 SAS
HG03743 HG03743 SAS
HG03744 HG03744 SAS
HG03745 HG03745 SAS
HG03746 HG03746 SAS
HG03750 HG03750 SAS
HG03752 HG03752 SAS
HG03753 HG03753 SAS
HG03754 HG03754 SAS
HG03755 HG03755 SAS
HG03756 HG03756 SAS
HG03757 HG03757 SAS
HG03760 HG03760 SAS
HG03762 HG03762 SAS
HG03765 HG03765 SAS
HG03767 HG03767 SAS
HG03770 HG03770 SAS
HG03771 HG03771 SAS
HG03772 HG03772 SAS
HG03773 HG03773 SAS
HG03774 HG03774 SAS
HG03775 HG03775 SAS
HG03777 HG03777 SAS
HG03778 HG03778 SAS
HG03779 HG03779 SAS
HG03780 HG03780 SAS
HG03781 HG03781 SAS
HG03782 HG03782 SAS
HG03784 HG03784 SAS
HG03785 HG03785 SAS
HG03786 HG03786 SAS
HG03787 HG03787 SAS
HG03788 HG03788 SAS
HG03789 HG03789 SAS
HG03790 HG03790 SAS
HG03792 HG03792 SAS
HG03793 HG03793 SAS
HG03796 HG03796 SAS
HG03800 HG03800 SAS
HG03802 HG03802 SAS
HG03803 HG03803 SAS
HG03805 HG03805 SAS
HG03808 HG03808 SAS
HG03809 HG03809 SAS
HG03812 HG03812 SAS
HG03814 HG03814 SAS
HG03815 HG03815 SAS
HG03817 HG03817 SAS
HG03821 HG03821 SAS
HG03823 HG03823 SAS
HG03824 HG03824 SAS
HG03826 HG03826 SAS
HG03829 HG03829 SAS
HG03830 HG03830 SAS
HG03832 HG03832 SAS
HG03833 HG03833 SAS
HG03836 HG03836 SAS
HG03837 HG03837 SAS
HG03838 HG03838 SAS
HG03844 HG03844 SAS
HG03846 HG03846 SAS
HG03848 HG03848 SAS
HG03849 HG03849 SAS
HG03850 HG03850 SAS
HG03851 HG03851 SAS
HG03854 HG03854 SAS
HG03856 HG03856 SAS
HG03857 HG03857 SAS
HG03858 HG03858 SAS
HG03861 HG03861 SAS
HG03862 HG03862 SAS
HG03863 HG03863 SAS
HG03864 HG03864 SAS
HG03866 HG03866 SAS
HG03867 HG03867 SAS
HG03868 HG03868 SAS
HG03869 HG03869 SAS
HG03870 HG03870 SAS
HG03871 HG03871 SAS
HG03872 HG03872 SAS
HG03873 HG03873 SAS
HG03874 HG03874 SAS
HG03875 HG03875 SAS
HG03882 HG03882 SAS
HG03884 HG03884 SAS
HG03885 HG03885 SAS
HG03886 HG03886 SAS
HG03887 HG03887 SAS
HG03888 HG03888 SAS
HG03890 HG03890 SAS
HG03894 HG03894 SAS
HG03895 HG03895 SAS
HG03896 HG03896 SAS
HG03897 HG03897 SAS
HG03898 HG03898 SAS
HG03899 HG03899 SAS
HG03900 HG03900 SAS
HG03902 HG03902 SAS
HG03905 HG03905 SAS
HG03907 HG03907 SAS
HG03908 HG03908 SAS
HG03910 HG03910 SAS
HG03911 HG03911 SAS
HG03913 HG03913 SAS
HG03914 HG03914 SAS
HG03916 HG03916 SAS
HG03917 HG03917 SAS
HG03919 HG03919 SAS
HG03920 HG03920 SAS
HG03922 HG03922 SAS
HG03925 HG03925 SAS
HG03926 HG03926 SAS
HG03928 HG03928 SAS
HG03931 HG03931 SAS
HG03934 HG03934 SAS
HG03937 HG03937 SAS
HG03940 HG03940 SAS
HG03941 HG03941 SAS
HG03943 HG03943 SAS
HG03944 HG03944 SAS
HG03945 HG03945 SAS
HG03947 HG03947 SAS
HG03949 HG03949 SAS
HG03950 HG03950 SAS
HG03951 HG03951 SAS
HG03953 HG03953 SAS
HG03955 HG03955 SAS
HG03960 HG03960 SAS
HG03963 HG03963 SAS
HG03965 HG03965 SAS
HG03967 HG03967 SAS
HG03968 HG03968 SAS
HG03969 HG03969 SAS
HG03971 HG03971 SAS
HG03973 HG03973 SAS
HG03974 HG03974 SAS
HG03976 HG03976 SAS
HG03977 HG03977 SAS
HG03978 HG03978 SAS
HG03985 HG03985 SAS
HG03986 HG03986 SAS
HG03989 HG03989 SAS
HG03990 HG03990 SAS
HG03991 HG03991 SAS
HG03995 HG03995 SAS
HG03998 HG03998 SAS
HG03999 HG03999 SAS
HG04001 HG04001 SAS
HG04002 HG04002 SAS
HG04003 HG04003 SAS
HG04006 HG04006 SAS
HG04014 HG04014 SAS
HG04015 HG04015 SAS
HG04017 HG04017 SAS
HG04018 HG04018 SAS
HG04019 HG04019 SAS
HG04020 HG04020 SAS
HG04022 HG04022 SAS
HG04023 HG04023 SAS
HG04025 HG04025 SAS
HG04026 HG04026 SAS
HG04029 HG04029 SAS
HG04033 HG04033 SAS
HG04035 HG04035 SAS
HG04038 HG04038 SAS
HG04039 HG04039 SAS
HG04042 HG04042 SAS
HG04047 HG04047 SAS
HG04054 HG04054 SAS
HG04056 HG04056 SAS
HG04059 HG04059 SAS
HG04060 HG04060 SAS
HG04061 HG04061 SAS
HG04062 HG04062 SAS
HG04063 HG04063 SAS
HG04070 HG04070 SAS
HG04075 HG04075 SAS
HG04076 HG04076 SAS
HG04080 HG04080 SAS
HG04090 HG04090 SAS
HG04093 HG04093 SAS
HG04094 HG04094 SAS
HG04096 HG04096 SAS
HG04098 HG04098 SAS
HG04099 HG04099 SAS
HG04100 HG04100 SAS
HG04106 HG04106 SAS
HG04107 HG04107 SAS
HG04118 HG04118 SAS
HG04131 HG04131 SAS
HG04134 HG04134 SAS
HG04140 HG04140 SAS
HG04141 HG04141 SAS
HG04144 HG04144 SAS
HG04146 HG04146 SAS
HG04152 HG04152 SAS
HG04153 HG04153 SAS
HG04155 HG04155 SAS
HG04156 HG04156 SAS
HG04158 HG04158 SAS
HG04159 HG04159 SAS
HG04161 HG04161 SAS
HG04162 HG04162 SAS
HG04164 HG04164 SAS
HG04171 HG04171 SAS
HG04173 HG04173 SAS
HG04176 HG04176 SAS
HG04177 HG04177 SAS
HG04180 HG04180 SAS
HG04182 HG04182 SAS
HG04183 HG04183 SAS
HG04185 HG04185 SAS
HG04186 HG04186 SAS
HG04188 HG04188 SAS
HG04189 HG04189 SAS
HG04194 HG04194 SAS
HG04195 HG04195 SAS
HG04198 HG04198 SAS
HG04200 HG04200 SAS
HG04202 HG04202 SAS
HG04206 HG04206 SAS
HG04209 HG04209 SAS
HG04210 HG04210 SAS
HG04211 HG04211 SAS
HG04212 HG04212 SAS
HG04214 HG04214 SAS
HG04216 HG04216 SAS
HG04219 HG04219 SAS
HG04222 HG04222 SAS
HG04225 HG04225 SAS
HG04227 HG04227 SAS
HG04229 HG04229 SAS
HG04235 HG04235 SAS
HG04238 HG04238 SAS
HG04239 HG04239 SAS
NA06984 NA06984 EUR
NA06985 NA06985 EUR
NA06986 NA06986 EUR
NA06989 NA06989 EUR
NA06994 NA06994 EUR
NA07000 NA07000 EUR
NA07037 NA07037 EUR
NA07048 NA07048 EUR
NA07051 NA07051 EUR
NA07056 NA07056 EUR
NA07347 NA07347 EUR
NA07357 NA07357 EUR
NA10847 NA10847 EUR
NA10851 NA10851 EUR
NA11829 NA11829 EUR
NA11830 NA11830 EUR
NA11831 NA11831 EUR
NA11832 NA11832 EUR
NA11840 NA11840 EUR
NA11843 NA11843 EUR
NA11881 NA11881 EUR
NA11892 NA11892 EUR
NA11893 NA11893 EUR
NA11894 NA11894 EUR
NA11918 NA11918 EUR
NA11919 NA11919 EUR
NA11920 NA11920 EUR
NA11930 NA11930 EUR
NA11931 NA11931 EUR
NA11932 NA11932 EUR
NA11933 NA11933 EUR
NA11992 NA11992 EUR
NA11994 NA11994 EUR
NA11995 NA11995 EUR
NA12003 NA12003 EUR
NA12004 NA12004 EUR
NA12005 NA12005 EUR
NA12006 NA12006 EUR
NA12043 NA12043 EUR
NA12044 NA12044 EUR
NA12045 NA12045 EUR
NA12046 NA12046 EUR
NA12058 NA12058 EUR
NA12144 NA12144 EUR
NA12154 NA12154 EUR
NA12155 NA12155 EUR
NA12156 NA12156 EUR
NA12234 NA12234 EUR
NA12249 NA12249 EUR
NA12272 NA12272 EUR
NA12273 NA12273 EUR
NA12275 NA12275 EUR
NA12282 NA12282 EUR
NA12283 NA12283 EUR
NA12286 NA12286 EUR
NA12287 NA12287 EUR
NA12340 NA12340 EUR
NA12341 NA12341 EUR
NA12342 NA12342 EUR
NA12347 NA12347 EUR
NA12348 NA12348 EUR
NA12383 NA12383 EUR
NA12399 NA12399 EUR
NA12400 NA12400 EUR
NA12413 NA12413 EUR
NA12414 NA12414 EUR
NA12489 NA12489 EUR
NA12546 NA12546 EUR
NA12716 NA12716 EUR
NA12717 NA12717 EUR
NA12718 NA12718 EUR
NA12748 NA12748 EUR
NA12749 NA12749 EUR
NA12750 NA12750 EUR
NA12751 NA12751 EUR
NA12760 NA12760 EUR
NA12761 NA12761 EUR
NA12762 NA12762 EUR
NA12763 NA12763 EUR
NA12775 NA12775 EUR
NA12776 NA12776 EUR
NA12777 NA12777 EUR
NA12778 NA12778 EUR
NA12812 NA12812 EUR
NA12813 NA12813 EUR
NA12814 NA12814 EUR
NA12815 NA12815 EUR
NA12827 NA12827 EUR
NA12828 NA12828 EUR
NA12829 NA12829 EUR
NA12830 NA12830 EUR
NA12842 NA12842 EUR
NA12843 NA12843 EUR
NA12872 NA12872 EUR
NA12873 NA12873 EUR
NA12874 NA12874 EUR
NA12878 NA12878 EUR
NA12889 NA12889 EUR
NA12890 NA12890 EUR
NA18486 NA18486 AFR
NA18488 NA18488 AFR
NA18489 NA18489 AFR
NA18498 NA18498 AFR
NA18499 NA18499 AFR
NA18501 NA18501 AFR
NA18502 NA18502 AFR
NA18504 NA18504 AFR
NA18505 NA18505 AFR
NA18507 NA18507 AFR
NA18508 NA18508 AFR
NA18510 NA18510 AFR
NA18511 NA18511 AFR
NA18516 NA18516 AFR
NA18517 NA18517 AFR
NA18519 NA18519 AFR
NA18520 NA18520 AFR
NA18522 NA18522 AFR
NA18523 NA18523 AFR
NA18525 NA18525 EAS
NA18526 NA18526 EAS
NA18528 NA18528 EAS
NA18530 NA18530 EAS
NA18531 NA18531 EAS
NA18532 NA18532 EAS
NA18533 NA18533 EAS
NA18534 NA18534 EAS
NA18535 NA18535 EAS
NA18536 NA18536 EAS
NA18537 NA18537 EAS
NA18538 NA18538 EAS
NA18539 NA18539 EAS
NA18541 NA18541 EAS
NA18542 NA18542 EAS
NA18543 NA18543 EAS
NA18544 NA18544 EAS
NA18545 NA18545 EAS
NA18546 NA18546 EAS
NA18547 NA18547 EAS
NA18548 NA18548 EAS
NA18549 NA18549 EAS
NA18550 NA18550 EAS
NA18552 NA18552 EAS
NA18553 NA18553 EAS
NA18555 NA18555 EAS
NA18557 NA18557 EAS
NA18558 NA18558 EAS
NA18559 NA18559 EAS
NA18560 NA18560 EAS
NA18561 NA18561 EAS
NA18562 NA18562 EAS
NA18563 NA18563 EAS
NA18564 NA18564 EAS
NA18565 NA18565 EAS
NA18566 NA18566 EAS
NA18567 NA18567 EAS
NA18570 NA18570 EAS
NA18571 NA18571 EAS
NA18572 NA18572 EAS
NA18573 NA18573 EAS
NA18574 NA18574 EAS
NA18577 NA18577 EAS
NA18579 NA18579 EAS
NA18582 NA18582 EAS
NA18591 NA18591 EAS
NA18592 NA18592 EAS
NA18593 NA18593 EAS
NA18595 NA18595 EAS
NA18596 NA18596 EAS
NA18597 NA18597 EAS
NA18599 NA18599 EAS
NA18602 NA18602 EAS
NA18603 NA18603 EAS
NA18605 NA18605 EAS
NA18606 NA18606 EAS
NA18608 NA18608 EAS
NA18609 NA18609 EAS
NA18610 NA18610 EAS
NA18611 NA18611 EAS
NA18612 NA18612 EAS
NA18613 NA18613 EAS
NA18614 NA18614 EAS
NA18615 NA18615 EAS
NA18616 NA18616 EAS
NA18617 NA18617 EAS
NA18618 NA18618 EAS
NA18619 NA18619 EAS
NA18620 NA18620 EAS
NA18621 NA18621 EAS
NA18622 NA18622 EAS
NA18623 NA18623 EAS
NA18624 NA18624 EAS
NA18625 NA18625 EAS
NA18626 NA18626 EAS
NA18627 NA18627 EAS
NA18628 NA18628 EAS
NA18629 NA18629 EAS
NA18630 NA18630 EAS
NA18631 NA18631 EAS
NA18632 NA18632 EAS
NA18633 NA18633 EAS
NA18634 NA18634 EAS
NA18635 NA18635 EAS
NA18636 NA18636 EAS
NA18637 NA18637 EAS
NA18638 NA18638 EAS
NA18639 NA18639 EAS
NA18640 NA18640 EAS
NA18641 NA18641 EAS
NA18642 NA18642 EAS
NA18643 NA18643 EAS
NA18644 NA18644 EAS
NA18645 NA18645 EAS
NA18646 NA18646 EAS
NA18647 NA18647 EAS
NA18648 NA18648 EAS
NA18740 NA18740 EAS
NA18745 NA18745 EAS
NA18747 NA18747 EAS
NA18748 NA18748 EAS
NA18749 NA18749 EAS
NA18757 NA18757 EAS
NA18853 NA18853 AFR
NA18856 NA18856 AFR
NA18858 NA18858 AFR
NA18861 NA18861 AFR
NA18864 NA18864 AFR
NA18865 NA18865 AFR
NA18867 NA18867 AFR
NA18868 NA18868 AFR
NA18870 NA18870 AFR
NA18871 NA18871 AFR
NA18873 NA18873 AFR
NA18874 NA18874 AFR
NA18876 NA18876 AFR
NA18877 NA18877 AFR
NA18878 NA18878 AFR
NA18879 NA18879 AFR
NA18881 NA18881 AFR
NA18907 NA18907 AFR
NA18908 NA18908 AFR
NA18909 NA18909 AFR
NA18910 NA18910 AFR
NA18912 NA18912 AFR
NA18915 NA18915 AFR
NA18916 NA18916 AFR
NA18917 NA18917 AFR
NA18923 NA18923 AFR
NA18924 NA18924 AFR
NA18933 NA18933 AFR
NA18934 NA18934 AFR
NA18939 NA18939 EAS
NA18940 NA18940 EAS
NA18941 NA18941 EAS
NA18942 NA18942 EAS
NA18943 NA18943 EAS
NA18944 NA18944 EAS
NA18945 NA18945 EAS
NA18946 NA18946 EAS
NA18947 NA18947 EAS
NA18948 NA18948 EAS
NA18949 NA18949 EAS
NA18950 NA18950 EAS
NA18951 NA18951 EAS
NA18952 NA18952 EAS
NA18953 NA18953 EAS
NA18954 NA18954 EAS
NA18956 NA18956 EAS
NA18957 NA18957 EAS
NA18959 NA18959 EAS
NA18960 NA18960 EAS
NA18961 NA18961 EAS
NA18962 NA18962 EAS
NA18963 NA18963 EAS
NA18964 NA18964 EAS
NA18965 NA18965 EAS
NA18966 NA18966 EAS
NA18967 NA18967 EAS
NA18968 NA18968 EAS
NA18969 NA18969 EAS
NA18970 NA18970 EAS
NA18971 NA18971 EAS
NA18972 NA18972 EAS
NA18973 NA18973 EAS
NA18974 NA18974 EAS
NA18975 NA18975 EAS
NA18976 NA18976 EAS
NA18977 NA18977 EAS
NA18978 NA18978 EAS
NA18979 NA18979 EAS
NA18980 NA18980 EAS
NA18981 NA18981 EAS
NA18982 NA18982 EAS
NA18983 NA18983 EAS
NA18984 NA18984 EAS
NA18985 NA18985 EAS
NA18986 NA18986 EAS
NA18987 NA18987 EAS
NA18988 NA18988 EAS
NA18989 NA18989 EAS
NA18990 NA18990 EAS
NA18991 NA18991 EAS
NA18992 NA18992 EAS
NA18993 NA18993 EAS
NA18994 NA18994 EAS
NA18995 NA18995 EAS
NA18997 NA18997 EAS
NA18998 NA18998 EAS
NA18999 NA18999 EAS
NA19000 NA19000 EAS
NA19001 NA19001 EAS
NA19002 NA19002 EAS
NA19003 NA19003 EAS
NA19004 NA19004 EAS
NA19005 NA19005 EAS
NA19006 NA19006 EAS
NA19007 NA19007 EAS
NA19009 NA19009 EAS
NA19010 NA19010 EAS
NA19011 NA19011 EAS
NA19012 NA19012 EAS
NA19017 NA19017 AFR
NA19019 NA19019 AFR
NA19020 NA19020 AFR
NA19023 NA19023 AFR
NA19024 NA19024 AFR
NA19025 NA19025 AFR
NA19026 NA19026 AFR
NA19027 NA19027 AFR
NA19028 NA19028 AFR
NA19030 NA19030 AFR
NA19031 NA19031 AFR
NA19035 NA19035 AFR
NA19036 NA19036 AFR
NA19037 NA19037 AFR
NA19038 NA19038 AFR
NA19041 NA19041 AFR
NA19042 NA19042 AFR
NA19043 NA19043 AFR
NA19054 NA19054 EAS
