FID IID POP
HG00553 HG00553 AMR
HG00554 HG00554 AMR
HG00556 HG00556 EAS
HG00557 HG00557 EAS
HG00559 HG00559 EAS
HG00560 HG00560 EAS
HG00565 HG00565 EAS
HG00566 HG00566 EAS
HG00580 HG00580 EAS
HG00581 HG00581 EAS
HG00583 HG00583 EAS
HG00584 HG00584 EAS
HG00589 HG00589 EAS
HG00590 HG00590 EAS
HG00592 HG00592 EAS
HG00593 HG00593 EAS
HG00595 HG00595 EAS
HG00596 HG00596 EAS
HG00598 HG00598 EAS
HG00599 HG00599 EAS
HG00607 HG00607 EAS
HG00608 HG00608 EAS
HG00610 HG00610 EAS
HG00611 HG00611 EAS
HG00613 HG00613 EAS
HG00614 HG00614 EAS
HG00619 HG00619 EAS
HG00620 HG00620 EAS
HG00622 HG00622 EAS
HG00623 HG00623 EAS
HG00625 HG00625 EAS
HG00626 HG00626 EAS
HG00628 HG00628 EAS
HG00629 HG00629 EAS
HG00631 HG00631 EAS
HG00632 HG00632 EAS
HG00634 HG00634 EAS
HG00637 HG00637 AMR
HG00638 HG00638 AMR
HG00640 HG00640 AMR
HG00641 HG00641 AMR
HG00650 HG00650 EAS
HG00651 HG00651 EAS
HG00653 HG00653 EAS
HG00654 HG00654 EAS
HG00656 HG00656 EAS
HG00657 HG00657 EAS
HG00662 HG00662 EAS
HG00663 HG00663 EAS
HG00671 HG00671 EAS
HG00672 HG00672 EAS
HG00674 HG00674 EAS
HG00675 HG00675 EAS
HG00683 HG00683 EAS
HG00684 HG00684 EAS
HG00689 HG00689 EAS
HG00690 HG00690 EAS
HG00692 HG00692 EAS
HG00693 HG00693 EAS
HG00698 HG00698 EAS
HG00699 HG00699 EAS
HG00701 HG00701 EAS
HG00704 HG00704 EAS
HG00705 HG00705 EAS
HG00707 HG00707 EAS
HG00708 HG00708 EAS
HG00717 HG00717 EAS
HG00728 HG00728 EAS
HG00729 HG00729 EAS
HG00731 HG00731 AMR
HG00732 HG00732 AMR
HG00734 HG00734 AMR
HG00736 HG00736 AMR
HG00737 HG00737 AMR
HG00739 HG00739 AMR
HG00740 HG00740 AMR
HG00742 HG00742 AMR
HG00743 HG00743 AMR
HG00759 HG00759 EAS
HG00766 HG00766 EAS
HG00844 HG00844 EAS
HG00851 HG00851 EAS
HG00864 HG00864 EAS
HG00867 HG00867 EAS
HG00879 HG00879 EAS
HG00881 HG00881 EAS
HG00956 HG00956 EAS
HG00978 HG00978 EAS
HG00982 HG00982 EAS
HG01028 HG01028 EAS
HG01029 HG01029 EAS
HG01031 HG01031 EAS
HG01046 HG01046 EAS
HG01047 HG01047 AMR
HG01048 HG01048 AMR
HG01049 HG01049 AMR
HG01051 HG01051 AMR
HG01052 HG01052 AMR
HG01054 HG01054 AMR
HG01055 HG01055 AMR
HG01058 HG01058 AMR
HG01060 HG01060 AMR
HG01061 HG01061 AMR
HG01063 HG01063 AMR
HG01064 HG01064 AMR
HG01066 HG01066 AMR
HG01067 HG01067 AMR
HG01069 HG01069 AMR
HG01070 HG01070 AMR
HG01072 HG01072 AMR
HG01073 HG01073 AMR
HG01075 HG01075 AMR
