other,r,sd,lo95,hi95,txt
EUR,0.951059509048283,0.00366910458178725,0.943619715638882,0.95778043043793,"0.9511 [0.9436, 0.9578]"
equal,0.94709644571292,0.00359659220015241,0.939767407945548,0.953458267238537,"0.9471 [0.9398, 0.9535]"
AMR,0.851090984340228,0.00978074618210417,0.830497619035112,0.869124045720272,"0.8511 [0.8305, 0.8691]"
CSA,0.827040883239687,0.0114806953351047,0.80348816470655,0.848700968661218,"0.8270 [0.8035, 0.8487]"
AFR,0.818624631066297,0.012192500928065,0.794184997450247,0.843017508122001,"0.8186 [0.7942, 0.8430]"
EAS,0.757209921761198,0.0150913594747802,0.727824426822616,0.785533672793795,"0.7572 [0.7278, 0.7855]"
