trait,chr,block_id,m,candidate,min_eig_pre,min_eig_post
Asthma,22,10,224,MELD_lambda0_afproj,-0.0200155683793128,-1.73328546307186e-15
Asthma,22,10,224,MELD_lambda0_reportN,-0.0209842620603484,-1.72957147816749e-15
Asthma,22,10,224,MELD_lambda0_equal,-0.00210097393556452,-1.24952961047844e-15
Asthma,22,10,224,MELD_lambda1_afproj,-0.0187451994507483,-2.20225824808526e-15
Asthma,22,10,224,EUR,-0.0421497822347343,-2.27813937762053e-15
Asthma,22,10,224,EAS,-0.032795291687175,-2.29974066561965e-15
Asthma,22,10,224,AFR,-0.012607174942818,-7.11214933990816e-16
Asthma,22,10,224,CSA,-0.0319454889045958,-2.67390360558259e-15
Asthma,22,10,224,AMR,-0.0315140954316594,-1.87438360474368e-15
Asthma,22,10,224,MID,-0.0227066532000105,-1.33837974579557e-15
Asthma,22,11,163,MELD_lambda0_afproj,-0.0317110985769806,-2.97857729006677e-15
Asthma,22,11,163,MELD_lambda0_reportN,-0.0330504548463618,-3.02326307787121e-15
Asthma,22,11,163,MELD_lambda0_equal,-0.00499690709903784,-1.40448432042036e-15
Asthma,22,11,163,MELD_lambda1_afproj,-0.0304311972878172,-3.15492175566497e-15
Asthma,22,11,163,EUR,-0.0515185108357202,-4.18238387843475e-15
Asthma,22,11,163,EAS,-0.0334031206925946,-3.02283883409244e-15
Asthma,22,11,163,AFR,-0.0216300214390498,-2.79150132569771e-15
Asthma,22,11,163,CSA,-0.0359155744887416,-2.3460704582505e-15
Asthma,22,11,163,AMR,-0.03774063407369,-3.07556874997643e-15
Asthma,22,11,163,MID,-0.0304274895414074,-2.56109390528739e-15
Asthma,22,12,55,MELD_lambda0_afproj,-0.00847185689786794,-1.46665049610771e-15
Asthma,22,12,55,MELD_lambda0_reportN,-0.00887112718625845,-1.40271641656003e-15
Asthma,22,12,55,MELD_lambda0_equal,-0.00278949612937377,-2.82151857553441e-16
Asthma,22,12,55,MELD_lambda1_afproj,-0.00696404772296396,-9.56934365873965e-16
Asthma,22,12,55,EUR,-0.018627564568041,-2.1082456874564e-15
Asthma,22,12,55,EAS,-0.0163902493174707,-1.0132237253819e-15
Asthma,22,12,55,AFR,-0.00248559639008957,-8.74205466013094e-16
Asthma,22,12,55,CSA,-0.0110634153625116,-1.74304875596831e-15
Asthma,22,12,55,AMR,-0.0233635757978012,-1.01286246500442e-15
Asthma,22,12,55,MID,-0.00843669311218576,-9.90910326253579e-16
Asthma,22,13,95,MELD_lambda0_afproj,-0.0116397635439495,-1.1006134435826e-15
Asthma,22,13,95,MELD_lambda0_reportN,-0.0124852929926435,-1.25187866751157e-15
Asthma,22,13,95,MELD_lambda0_equal,-3.36591508502092e-05,4.18068357131763e-16
Asthma,22,13,95,MELD_lambda1_afproj,-0.0112952963600063,-7.27583327096162e-16
Asthma,22,13,95,EUR,-0.0230292521409543,-2.23138965547512e-15
Asthma,22,13,95,EAS,-0.0172625766097872,-1.52232330931733e-15
Asthma,22,13,95,AFR,-0.002805937706608,-1.34960619693777e-16
Asthma,22,13,95,CSA,-0.0155456422997071,-9.85395025169809e-16
Asthma,22,13,95,AMR,-0.0199922896727062,-9.51273550907579e-16
Asthma,22,13,95,MID,-0.0139740074430129,-9.44242621350282e-16
Asthma,22,14,79,MELD_lambda0_afproj,-0.00343314713678406,-9.4451957818398e-16
Asthma,22,14,79,MELD_lambda0_reportN,-0.00334176377559058,3.0134547011802e-17
Asthma,22,14,79,MELD_lambda0_equal,-0.000397777402228779,-1.37357468194305e-15
Asthma,22,14,79,MELD_lambda1_afproj,-0.00319386214556763,-1.04220502418128e-15
Asthma,22,14,79,EUR,-0.0114748667593232,-1.2260381203836e-15
Asthma,22,14,79,EAS,-0.0118961223681348,-4.4476245784805e-16
Asthma,22,14,79,AFR,-0.00572798243999671,-2.40353025559262e-16
Asthma,22,14,79,CSA,-0.00882920188884214,-1.56273722817381e-15
Asthma,22,14,79,AMR,-0.0123197457908266,-7.8780465379333e-16
Asthma,22,14,79,MID,-0.00266435973536322,-6.01461499544582e-16
Asthma,22,16,51,MELD_lambda0_afproj,-0.00107671167463761,-6.15572458800438e-16
Asthma,22,16,51,MELD_lambda0_reportN,-0.00127433372728082,1.82127947262885e-16
Asthma,22,16,51,MELD_lambda0_equal,0.00747989524646091,0.00747989524646155
Asthma,22,16,51,MELD_lambda1_afproj,-0.000911795018117016,4.22833108946824e-16
Asthma,22,16,51,EUR,-0.00617675672644757,-1.16855987207796e-15
Asthma,22,16,51,EAS,-0.00450046678345675,1.45517765007894e-16
Asthma,22,16,51,AFR,0.0143583529936421,0.0143583529936421
Asthma,22,16,51,CSA,0.00411664071030231,0.00411664071030275
Asthma,22,16,51,AMR,-0.00156707236907076,-1.60105479475738e-16
Asthma,22,16,51,MID,0.0018310906095442,0.00183109060954483
Asthma,22,17,90,MELD_lambda0_afproj,-0.00640268463633132,-1.20746831974953e-15
Asthma,22,17,90,MELD_lambda0_reportN,-0.00713123386343325,-1.31104861291297e-15
Asthma,22,17,90,MELD_lambda0_equal,-0.00108200286665919,-4.485537696661e-16
Asthma,22,17,90,MELD_lambda1_afproj,-0.00612912806711992,-1.4624420562266e-15
Asthma,22,17,90,EUR,-0.0198852595681098,-1.96326111101514e-15
Asthma,22,17,90,EAS,-0.016159390389283,-1.60365670376439e-15
Asthma,22,17,90,AFR,-0.00363976889546151,-1.00754230021361e-15
Asthma,22,17,90,CSA,-0.0132277720563669,-1.57231435694183e-15
Asthma,22,17,90,AMR,-0.014354157125073,-1.67307355096483e-15
Asthma,22,17,90,MID,-0.0113907288311958,-7.30560948471876e-16
Asthma,22,19,218,MELD_lambda0_afproj,-0.0132350735927361,-1.36695511827889e-15
Asthma,22,19,218,MELD_lambda0_reportN,-0.0138136952348712,-1.44984987185074e-15
Asthma,22,19,218,MELD_lambda0_equal,-0.00184964510419336,-6.67396114928949e-16
Asthma,22,19,218,MELD_lambda1_afproj,-0.0126468912955571,-1.21353388641715e-15
Asthma,22,19,218,EUR,-0.0356509625817722,-1.87212901104658e-15
Asthma,22,19,218,EAS,-0.0303055120343627,-1.92892527044636e-15
Asthma,22,19,218,AFR,-0.0106263190452337,-9.70372289487926e-16
Asthma,22,19,218,CSA,-0.02033888543264,-1.35520685892796e-15
Asthma,22,19,218,AMR,-0.0302001030261098,-2.01799821165855e-15
Asthma,22,19,218,MID,-0.0238755114596302,-1.52131441402339e-15
