trait,chr,block_id,candidate,delta,r2,m
Asthma,22,5,AMR,0.001,0.930920324062618,86
Asthma,22,5,MELD_lambda0_afproj,0.01,0.967601671620642,86
Asthma,22,5,MELD_lambda0_reportN,0.01,0.968162937874127,86
Asthma,22,5,MELD_lambda0_equal,0.01,0.959876208902578,86
Asthma,22,5,MELD_lambda1_afproj,0.01,0.965322397566451,86
Asthma,22,5,EUR,0.01,0.960554162664952,86
Asthma,22,5,EAS,0.01,0.834804455544622,86
Asthma,22,5,AFR,0.01,0.816670184475336,86
Asthma,22,5,CSA,0.01,0.958044217058524,86
Asthma,22,5,AMR,0.01,0.931624052587991,86
Asthma,22,5,MELD_lambda0_afproj,0.1,0.969637393094564,86
Asthma,22,5,MELD_lambda0_reportN,0.1,0.969412869312143,86
Asthma,22,5,MELD_lambda0_equal,0.1,0.956527438028591,86
Asthma,22,5,MELD_lambda1_afproj,0.1,0.966452710887663,86
Asthma,22,5,EUR,0.1,0.966337440011182,86
Asthma,22,5,EAS,0.1,0.842691385454645,86
Asthma,22,5,AFR,0.1,0.788503195367832,86
Asthma,22,5,CSA,0.1,0.97491081204868,86
Asthma,22,5,AMR,0.1,0.923176216247479,86
Asthma,22,6,MELD_lambda0_afproj,0.001,0.640907933797236,31
Asthma,22,6,MELD_lambda0_reportN,0.001,0.639250166636299,31
Asthma,22,6,MELD_lambda0_equal,0.001,0.721614362702174,31
Asthma,22,6,MELD_lambda1_afproj,0.001,0.636321504389898,31
Asthma,22,6,EUR,0.001,0.755586678581498,31
Asthma,22,6,EAS,0.001,0.682989780798611,31
Asthma,22,6,AFR,0.001,0.721036213028698,31
Asthma,22,6,CSA,0.001,0.8467794559151,31
Asthma,22,6,AMR,0.001,0.770073557379315,31
Asthma,22,6,MELD_lambda0_afproj,0.01,0.642515789421596,31
Asthma,22,6,MELD_lambda0_reportN,0.01,0.641595580303394,31
Asthma,22,6,MELD_lambda0_equal,0.01,0.718086409044155,31
Asthma,22,6,MELD_lambda1_afproj,0.01,0.639830108889246,31
Asthma,22,6,EUR,0.01,0.7475346094294,31
Asthma,22,6,EAS,0.01,0.695610167527664,31
Asthma,22,6,AFR,0.01,0.728893912846552,31
Asthma,22,6,CSA,0.01,0.842536609864491,31
Asthma,22,6,AMR,0.01,0.776450566515214,31
Asthma,22,6,MELD_lambda0_afproj,0.1,0.656549015736614,31
Asthma,22,6,MELD_lambda0_reportN,0.1,0.655914839467784,31
Asthma,22,6,MELD_lambda0_equal,0.1,0.693271304992908,31
Asthma,22,6,MELD_lambda1_afproj,0.1,0.65880561706401,31
Asthma,22,6,EUR,0.1,0.7332843457774,31
Asthma,22,6,EAS,0.1,0.743754497083712,31
Asthma,22,6,AFR,0.1,0.764172438000078,31
Asthma,22,6,CSA,0.1,0.835198893747063,31
Asthma,22,6,AMR,0.1,0.781525905927611,31
Asthma,22,7,MELD_lambda0_afproj,0.001,0.904194084398488,293
Asthma,22,7,MELD_lambda0_reportN,0.001,0.902598663599671,293
Asthma,22,7,MELD_lambda0_equal,0.001,0.907376801850731,293
Asthma,22,7,MELD_lambda1_afproj,0.001,0.911216551621245,293
Asthma,22,7,EUR,0.001,0.876474050641205,293
Asthma,22,7,EAS,0.001,0.732370570152139,293
Asthma,22,7,AFR,0.001,0.697841858210035,293
Asthma,22,7,CSA,0.001,0.850607099171056,293
Asthma,22,7,AMR,0.001,0.827008782089258,293
Asthma,22,7,MELD_lambda0_afproj,0.01,0.920522287364412,293
Asthma,22,7,MELD_lambda0_reportN,0.01,0.919471861195304,293
Asthma,22,7,MELD_lambda0_equal,0.01,0.920483364351538,293
Asthma,22,7,MELD_lambda1_afproj,0.01,0.92659051382703,293
Asthma,22,7,EUR,0.01,0.906679000868101,293
Asthma,22,7,EAS,0.01,0.866383963358927,293
Asthma,22,7,AFR,0.01,0.777393662606925,293
Asthma,22,7,CSA,0.01,0.895194437336661,293
Asthma,22,7,AMR,0.01,0.876783607953245,293
Asthma,22,7,MELD_lambda0_afproj,0.1,0.917914662342216,293
Asthma,22,7,MELD_lambda0_reportN,0.1,0.917917977184492,293
Asthma,22,7,MELD_lambda0_equal,0.1,0.918679156959546,293
Asthma,22,7,MELD_lambda1_afproj,0.1,0.920989691995428,293
Asthma,22,7,EUR,0.1,0.912315780369485,293
Asthma,22,7,EAS,0.1,0.873841729638215,293
Asthma,22,7,AFR,0.1,0.791992605864298,293
Asthma,22,7,CSA,0.1,0.911571600557382,293
Asthma,22,7,AMR,0.1,0.897056911407897,293
Asthma,22,8,MELD_lambda0_afproj,0.001,0.789320205149282,106
Asthma,22,8,MELD_lambda0_reportN,0.001,0.785000068614512,106
Asthma,22,8,MELD_lambda0_equal,0.001,0.713409311020241,106
Asthma,22,8,MELD_lambda1_afproj,0.001,0.789389403412796,106
Asthma,22,8,EUR,0.001,0.778727190112507,106
Asthma,22,8,EAS,0.001,0.682260427602231,106
Asthma,22,8,AFR,0.001,0.326195797887005,106
Asthma,22,8,CSA,0.001,0.608669597977738,106
Asthma,22,8,AMR,0.001,0.583269965015051,106
Asthma,22,8,MELD_lambda0_afproj,0.01,0.770061898425445,106
Asthma,22,8,MELD_lambda0_reportN,0.01,0.766531131423601,106
Asthma,22,8,MELD_lambda0_equal,0.01,0.6918222541052,106
Asthma,22,8,MELD_lambda1_afproj,0.01,0.769428104547384,106
Asthma,22,8,EUR,0.01,0.749377282874283,106
Asthma,22,8,EAS,0.01,0.646064128296298,106
Asthma,22,8,AFR,0.01,0.385317819975927,106
Asthma,22,8,CSA,0.01,0.685008085929606,106
Asthma,22,8,AMR,0.01,0.651708246811345,106
Asthma,22,8,MELD_lambda0_afproj,0.1,0.713057151261923,106
Asthma,22,8,MELD_lambda0_reportN,0.1,0.710474114529285,106
Asthma,22,8,MELD_lambda0_equal,0.1,0.65516912889417,106
Asthma,22,8,MELD_lambda1_afproj,0.1,0.712355907086648,106
Asthma,22,8,EUR,0.1,0.694333156177108,106
Asthma,22,8,EAS,0.1,0.588642592527464,106
Asthma,22,8,AFR,0.1,0.430589717855534,106
Asthma,22,8,CSA,0.1,0.630598518478574,106
Asthma,22,8,AMR,0.1,0.652891380941759,106
Asthma,22,10,MELD_lambda0_afproj,0.001,0.90983664357974,224
Asthma,22,10,MELD_lambda0_reportN,0.001,0.912857007688353,224
Asthma,22,10,MELD_lambda0_equal,0.001,0.957215848658612,224
Asthma,22,10,MELD_lambda1_afproj,0.001,0.907240133437054,224
Asthma,22,10,EUR,0.001,0.830447061112547,224
Asthma,22,10,EAS,0.001,0.718716719822749,224
Asthma,22,10,AFR,0.001,0.651062444074396,224
Asthma,22,10,CSA,0.001,0.92646741399132,224
Asthma,22,10,AMR,0.001,0.879874322198418,224
Asthma,22,10,MELD_lambda0_afproj,0.01,0.966964947383599,224
Asthma,22,10,MELD_lambda0_reportN,0.01,0.967463481132306,224
Asthma,22,10,MELD_lambda0_equal,0.01,0.959166156942059,224
Asthma,22,10,MELD_lambda1_afproj,0.01,0.966402625499866,224
Asthma,22,10,EUR,0.01,0.947402164096016,224
Asthma,22,10,EAS,0.01,0.830335527869775,224
Asthma,22,10,AFR,0.01,0.722037913325111,224
Asthma,22,10,CSA,0.01,0.950610289630611,224
Asthma,22,10,AMR,0.01,0.921286690025914,224
Asthma,22,10,MELD_lambda0_afproj,0.1,0.953481172645268,224
Asthma,22,10,MELD_lambda0_reportN,0.1,0.954121663375609,224
Asthma,22,10,MELD_lambda0_equal,0.1,0.946940667610254,224
Asthma,22,10,MELD_lambda1_afproj,0.1,0.954426193062208,224
Asthma,22,10,EUR,0.1,0.941921800866791,224
Asthma,22,10,EAS,0.1,0.799239033003429,224
Asthma,22,10,AFR,0.1,0.791573026074362,224
Asthma,22,10,CSA,0.1,0.92576637810956,224
Asthma,22,10,AMR,0.1,0.91059146875038,224
Asthma,22,11,MELD_lambda0_afproj,0.001,0.956717418690268,163
Asthma,22,11,MELD_lambda0_reportN,0.001,0.956426497561264,163
Asthma,22,11,MELD_lambda0_equal,0.001,0.949614117627421,163
Asthma,22,11,MELD_lambda1_afproj,0.001,0.957454536545469,163
Asthma,22,11,EUR,0.001,0.916820023758106,163
Asthma,22,11,EAS,0.001,0.71757695364095,163
Asthma,22,11,AFR,0.001,0.614576007853347,163
Asthma,22,11,CSA,0.001,0.848337098225223,163
Asthma,22,11,AMR,0.001,0.878087674424255,163
Asthma,22,11,MELD_lambda0_afproj,0.01,0.961991332967931,163
Asthma,22,11,MELD_lambda0_reportN,0.01,0.961660890056338,163
Asthma,22,11,MELD_lambda0_equal,0.01,0.949911333413542,163
Asthma,22,11,MELD_lambda1_afproj,0.01,0.962247564568213,163
Asthma,22,11,EUR,0.01,0.932758389972954,163
Asthma,22,11,EAS,0.01,0.896063421515095,163
Asthma,22,11,AFR,0.01,0.806268845758262,163
Asthma,22,11,CSA,0.01,0.905631469664999,163
Asthma,22,11,AMR,0.01,0.911618006390014,163
Asthma,22,11,MELD_lambda0_afproj,0.1,0.958705862904615,163
Asthma,22,11,MELD_lambda0_reportN,0.1,0.958694230612962,163
Asthma,22,11,MELD_lambda0_equal,0.1,0.940235925812297,163
Asthma,22,11,MELD_lambda1_afproj,0.1,0.959313521192782,163
Asthma,22,11,EUR,0.1,0.9382302320838,163
Asthma,22,11,EAS,0.1,0.882839555353221,163
Asthma,22,11,AFR,0.1,0.825109885466676,163
Asthma,22,11,CSA,0.1,0.907934600359641,163
Asthma,22,11,AMR,0.1,0.910921148553891,163
Asthma,22,12,MELD_lambda0_afproj,0.001,0.916355677110112,55
Asthma,22,12,MELD_lambda0_reportN,0.001,0.919575263375321,55
Asthma,22,12,MELD_lambda0_equal,0.001,0.908686075734297,55
Asthma,22,12,MELD_lambda1_afproj,0.001,0.909875917695668,55
Asthma,22,12,EUR,0.001,0.820261247341582,55
Asthma,22,12,EAS,0.001,0.763950399267458,55
Asthma,22,12,AFR,0.001,0.842016150486316,55
Asthma,22,12,CSA,0.001,0.891619974445161,55
Asthma,22,12,AMR,0.001,0.866292634586717,55
Asthma,22,12,MELD_lambda0_afproj,0.01,0.923438391563528,55
Asthma,22,12,MELD_lambda0_reportN,0.01,0.923348739772048,55
Asthma,22,12,MELD_lambda0_equal,0.01,0.909785306373567,55
Asthma,22,12,MELD_lambda1_afproj,0.01,0.915784015368747,55
Asthma,22,12,EUR,0.01,0.887367864447297,55
Asthma,22,12,EAS,0.01,0.800403467938888,55
Asthma,22,12,AFR,0.01,0.826275134536151,55
Asthma,22,12,CSA,0.01,0.914246832882333,55
Asthma,22,12,AMR,0.01,0.881240994025045,55
Asthma,22,12,MELD_lambda0_afproj,0.1,0.9289747899741,55
Asthma,22,12,MELD_lambda0_reportN,0.1,0.927632354518689,55
Asthma,22,12,MELD_lambda0_equal,0.1,0.907143747980135,55
Asthma,22,12,MELD_lambda1_afproj,0.1,0.926215881047391,55
Asthma,22,12,EUR,0.1,0.919651549489722,55
Asthma,22,12,EAS,0.1,0.765210860099789,55
