gwas_pop,ld_pop,gwas,pgs_method,model,r,se,p,n,r_pct_of_diag
CSA,EAS,yengo_csa_ldeas,dbslmm,yengo_csa_ldeas_DBSLMM_1,0.244923345265473,0.0348269927747739,4.45710893305819e-12,777,102.189936870651
CSA,EAS,yengo_csa_ldeas,quickprs,yengo_csa_ldeas_quickprs,0.143718927250042,0.0355481476301594,5.8058670063786e-05,777,54.957120286568
CSA,CSA,yengo_csa_ldcsa,ptclump,yengo_csa_ldcsa_0_0.01,0.186975702665567,0.0352875759295556,1.52206579257911e-07,777,100
CSA,CSA,yengo_csa_ldcsa,dbslmm,yengo_csa_ldcsa_DBSLMM_1,0.239674622341229,0.0348740790218196,1.29668275052813e-11,777,100
CSA,CSA,yengo_csa_ldcsa,quickprs,yengo_csa_ldcsa_quickprs,0.26151102259477,0.0346710250890342,1.29104287167522e-13,777,100
CSA,AMR,yengo_csa_ldamr,ptclump,yengo_csa_ldamr_0_0.01,0.161459257254504,0.035449753777694,6.09420036662344e-06,777,86.353068849431
CSA,AMR,yengo_csa_ldamr,dbslmm,yengo_csa_ldamr_DBSLMM_1,0.228899674655716,0.0349673569239712,1.07401061019053e-10,777,95.5043435219551
CSA,AMR,yengo_csa_ldamr,quickprs,yengo_csa_ldamr_quickprs,0.20556196221854,0.0351539339273185,7.35454615135467e-09,777,78.6054676315012
CSA,AFR,yengo_csa_ldafr,ptclump,yengo_csa_ldafr_0_0.01,0.187511429861854,0.0352839077579634,1.4004891983223e-07,777,100.286522360205
CSA,AFR,yengo_csa_ldafr,dbslmm,yengo_csa_ldafr_DBSLMM_1,0.242863422022421,0.0348456015319111,6.79781108549199e-12,777,101.330470305968
CSA,AFR,yengo_csa_ldafr,quickprs,yengo_csa_ldafr_quickprs,0.237165977935238,0.0348962018251182,2.14121591146339e-11,777,90.6906238911174
AMR,EUR,yengo_amr_ldeur,ptclump,yengo_amr_ldeur_0_0.01,0.19338766543606,0.0352429578572146,5.53153025701323e-08,777,88.1506926548413
