mix,ld_pop,gwas,pgs_method,model,r,se,p,n,r_pct_of_row_max
eur50,CSA,mix_eur50_ldcsa,quickprs,mix_eur50_ldcsa_quickprs,0.268188137286705,0.0346051482841217,2.8856093553287e-14,777,74.4341171008483
eur50,AMR,mix_eur50_ldamr,ptclump,mix_eur50_ldamr_0_0.01,0.301719243834953,0.0342470247900063,8.11429182205531e-18,777,88.3262949420193
eur50,AMR,mix_eur50_ldamr,dbslmm,mix_eur50_ldamr_DBSLMM_1,0.293062317917612,0.034343886676112,7.45003614787757e-17,777,79.5897163628104
eur50,AFR,mix_eur50_ldafr,ptclump,mix_eur50_ldafr_0_0.01,0.341596173634378,0.0337602945667923,1.09329924504245e-22,777,100
eur50,AFR,mix_eur50_ldafr,dbslmm,mix_eur50_ldafr_DBSLMM_1,0.368216311491405,0.0333972521170513,2.33228746692396e-26,777,100
eur50,AFR,mix_eur50_ldafr,quickprs,mix_eur50_ldafr_quickprs,0.360302704905259,0.0335084382408267,3.13124295668047e-25,777,100
eur25,EUR,mix_eur25_ldeur,ptclump,mix_eur25_ldeur_0_0.01,0.192349036390344,0.0352502912035504,6.53238616624762e-08,777,89.4373752392456
eur25,EUR,mix_eur25_ldeur,dbslmm,mix_eur25_ldeur_DBSLMM_1,0.165770327216443,0.0354240705228221,3.39188213643197e-06,777,57.835907265882
eur25,EUR,mix_eur25_ldeur,quickprs,mix_eur25_ldeur_quickprs,0.115531531640154,0.0356805262726427,0.00125519034993429,777,47.435312709815
eur25,EAS,mix_eur25_ldeas,ptclump,mix_eur25_ldeas_0_0.01,0.208453387565716,0.0351319574252859,4.47025972481258e-09,777,96.9254860511625
eur25,EAS,mix_eur25_ldeas,dbslmm,mix_eur25_ldeas_DBSLMM_1,0.225194746900821,0.0349983838515028,2.16917500192961e-10,777,78.5685998044391
eur25,EAS,mix_eur25_ldeas,quickprs,mix_eur25_ldeas_quickprs,0.132163388118307,0.035605958885867,0.000220490498897151,777,54.2640745360089
eur25,CSA,mix_eur25_ldcsa,ptclump,mix_eur25_ldcsa_0_0.01,0.180681761494267,0.0353298576289477,3.97543366861107e-07,777,84.0123912492959
eur25,CSA,mix_eur25_ldcsa,dbslmm,mix_eur25_ldcsa_DBSLMM_1,0.17496166390719,0.0353669869057394,9.24546872657581e-07,777,61.0426892359835
eur25,CSA,mix_eur25_ldcsa,quickprs,mix_eur25_ldcsa_quickprs,0.173950527273441,0.0353734220267921,1.07029345459605e-06,777,71.4211742899207
eur25,AMR,mix_eur25_ldamr,ptclump,mix_eur25_ldamr_0_0.01,0.207117219484604,0.0351421529329823,5.63172716593983e-09,777,96.3042021170407
eur25,AMR,mix_eur25_ldamr,dbslmm,mix_eur25_ldamr_DBSLMM_1,0.211872382880329,0.0351055568319431,2.45814780936262e-09,777,73.9205362879482
eur25,AFR,mix_eur25_ldafr,ptclump,mix_eur25_ldafr_0_0.01,0.215065609736209,0.0350804933115127,1.39332346816837e-09,777,100
eur25,AFR,mix_eur25_ldafr,dbslmm,mix_eur25_ldafr_DBSLMM_1,0.286621815154326,0.0344139494424748,3.69372400994438e-16,777,100
eur25,AFR,mix_eur25_ldafr,quickprs,mix_eur25_ldafr_quickprs,0.243555960823778,0.034839363979736,5.9010151847516e-12,777,100
eur00,EUR,mix_eur00_ldeur,ptclump,mix_eur00_ldeur_0_0.01,0.124507272217523,0.0356415476866979,0.000504111845008985,777,82.2227745313196
eur00,EUR,mix_eur00_ldeur,dbslmm,mix_eur00_ldeur_DBSLMM_1,0.127630847441746,0.0356272886853974,0.000361722793860711,777,65.4089994135669
eur00,EUR,mix_eur00_ldeur,quickprs,mix_eur00_ldeur_quickprs,0.0337432166190413,0.0359006046374135,0.347558301131499,777,22.4050595139984
eur00,EAS,mix_eur00_ldeas,ptclump,mix_eur00_ldeas_0_0.01,0.147265670371653,0.0355294121199195,3.77446998739063e-05,777,97.2520865288695
eur00,EAS,mix_eur00_ldeas,dbslmm,mix_eur00_ldeas_DBSLMM_1,0.147396138577178,0.0355287140272355,3.71444794095349e-05,777,75.5384308339495
eur00,EAS,mix_eur00_ldeas,quickprs,mix_eur00_ldeas_quickprs,0.0696664138921573,0.0358337845772611,0.0522383550141576,777,46.2575979937795
eur00,CSA,mix_eur00_ldcsa,ptclump,mix_eur00_ldcsa_0_0.01,0.130971437950568,0.0356116414898485,0.000251533050641576,777,86.4916146732246
eur00,CSA,mix_eur00_ldcsa,dbslmm,mix_eur00_ldcsa_DBSLMM_1,0.12856024836689,0.0356229766835023,0.000327231277740391,777,65.8853042081068
eur00,CSA,mix_eur00_ldcsa,quickprs,mix_eur00_ldcsa_quickprs,0.061411333812495,0.0358532609409857,0.0871397166098716,777,40.7763315642689
eur00,AMR,mix_eur00_ldamr,ptclump,mix_eur00_ldamr_0_0.01,0.151426746333033,0.0355068360613884,2.24870068726462e-05,777,100
eur00,AMR,mix_eur00_ldamr,dbslmm,mix_eur00_ldamr_DBSLMM_1,0.158875225520315,0.0354648151437698,8.596442344227e-06,777,81.4213001103177
eur00,AMR,mix_eur00_ldamr,quickprs,mix_eur00_ldamr_quickprs,0.120360885474374,0.0356599216116922,0.000774212476374171,777,79.9180716129228
eur00,AFR,mix_eur00_ldafr,ptclump,mix_eur00_ldafr_0_0.01,0.1353741444436,0.0355903908926528,0.000153784474103075,777,89.3990973997893
eur00,AFR,mix_eur00_ldafr,dbslmm,mix_eur00_ldafr_DBSLMM_1,0.195127350343282,0.0352305827032471,4.17810769507823e-08,777,100
eur00,AFR,mix_eur00_ldafr,quickprs,mix_eur00_ldafr_quickprs,0.150605342502924,0.0355113435908198,2.49347968984308e-05,777,100
