trait,sweep_kind,sweep_id,pop,w
Asthma,EUR_AFR,EUR_AFR_11,AFR,0
Asthma,EUR_AFR,EUR_AFR_11,CSA,0
Asthma,EUR_AFR,EUR_AFR_11,AMR,0
Asthma,multi,equal,EUR,0.2
Asthma,multi,equal,EAS,0.2
Asthma,multi,equal,AFR,0.2
Asthma,multi,equal,CSA,0.2
Asthma,multi,equal,AMR,0.2
Asthma,multi,reported,EUR,0.764818709523947
Asthma,multi,reported,EAS,0.189640798305036
Asthma,multi,reported,AFR,0.018151279560163
Asthma,multi,reported,CSA,0.0172886797108957
Asthma,multi,reported,AMR,0.0101005328999584
Asthma,multi,w50rest,EUR,0.5
Asthma,multi,w50rest,EAS,0.125
Asthma,multi,w50rest,AFR,0.125
Asthma,multi,w50rest,CSA,0.125
Asthma,multi,w50rest,AMR,0.125
Asthma,multi,w25rest,EUR,0.25
Asthma,multi,w25rest,EAS,0.1875
Asthma,multi,w25rest,AFR,0.1875
Asthma,multi,w25rest,CSA,0.1875
Asthma,multi,w25rest,AMR,0.1875
COPD,EUR_EAS,EUR_EAS_01,EUR,0
COPD,EUR_EAS,EUR_EAS_01,EAS,1
COPD,EUR_EAS,EUR_EAS_01,AFR,0
COPD,EUR_EAS,EUR_EAS_01,AMR,0
COPD,EUR_EAS,EUR_EAS_02,EUR,0.1
COPD,EUR_EAS,EUR_EAS_02,EAS,0.9
COPD,EUR_EAS,EUR_EAS_02,AFR,0
COPD,EUR_EAS,EUR_EAS_02,AMR,0
COPD,EUR_EAS,EUR_EAS_03,EUR,0.2
COPD,EUR_EAS,EUR_EAS_03,EAS,0.8
COPD,EUR_EAS,EUR_EAS_03,AFR,0
COPD,EUR_EAS,EUR_EAS_03,AMR,0
COPD,EUR_EAS,EUR_EAS_04,EUR,0.3
COPD,EUR_EAS,EUR_EAS_04,EAS,0.7
COPD,EUR_EAS,EUR_EAS_04,AFR,0
COPD,EUR_EAS,EUR_EAS_04,AMR,0
COPD,EUR_EAS,EUR_EAS_05,EUR,0.4
COPD,EUR_EAS,EUR_EAS_05,EAS,0.6
COPD,EUR_EAS,EUR_EAS_05,AFR,0
COPD,EUR_EAS,EUR_EAS_05,AMR,0
COPD,EUR_EAS,EUR_EAS_06,EUR,0.5
COPD,EUR_EAS,EUR_EAS_06,EAS,0.5
COPD,EUR_EAS,EUR_EAS_06,AFR,0
COPD,EUR_EAS,EUR_EAS_06,AMR,0
COPD,EUR_EAS,EUR_EAS_07,EUR,0.6
COPD,EUR_EAS,EUR_EAS_07,EAS,0.4
COPD,EUR_EAS,EUR_EAS_07,AFR,0
COPD,EUR_EAS,EUR_EAS_07,AMR,0
COPD,EUR_EAS,EUR_EAS_08,EUR,0.7
COPD,EUR_EAS,EUR_EAS_08,EAS,0.3
COPD,EUR_EAS,EUR_EAS_08,AFR,0
COPD,EUR_EAS,EUR_EAS_08,AMR,0
COPD,EUR_EAS,EUR_EAS_09,EUR,0.8
COPD,EUR_EAS,EUR_EAS_09,EAS,0.2
COPD,EUR_EAS,EUR_EAS_09,AFR,0
COPD,EUR_EAS,EUR_EAS_09,AMR,0
COPD,EUR_EAS,EUR_EAS_10,EUR,0.9
COPD,EUR_EAS,EUR_EAS_10,EAS,0.1
COPD,EUR_EAS,EUR_EAS_10,AFR,0
COPD,EUR_EAS,EUR_EAS_10,AMR,0
COPD,EUR_EAS,EUR_EAS_11,EUR,1
COPD,EUR_EAS,EUR_EAS_11,EAS,0
COPD,EUR_EAS,EUR_EAS_11,AFR,0
COPD,EUR_EAS,EUR_EAS_11,AMR,0
COPD,EUR_AFR,EUR_AFR_01,EUR,0
