ld_pop,r,se,kind
AFR,0.368216311491405,0.0333972521170513,single-pop
AMR,0.293062317917612,0.034343886676112,single-pop
CSA,0.267029364419057,0.0346167089719542,single-pop
EAS,0.286805864513969,0.0344119708368749,single-pop
EUR,0.222732489940646,0.035018709062716,single-pop
MELD (EUR blocks),0.346082869229102,0.0337012806806747,MELD
MELD (AFR blocks),0.355716977400301,0.0335715976728639,MELD
