w_eur,candidate,n_blocks,err_mean,err_median,err_q25,err_q75
0.75,MELD_lambda0,24,0,0,0,0
0.75,MELD_lambda1,24,0.643890960447013,0.584165401372304,0.496339386326722,0.763505566289457
0.75,MELD_pooled,24,0.652435520131267,0.605876000556918,0.500423750785899,0.768531733277685
0.75,EUR,24,0.242307865686781,0.241150422511795,0.220355514915578,0.259526397223147
0.75,EAS,24,0.740427648748128,0.744926424130793,0.686925400689046,0.801381581632791
0.75,AFR,24,0.702795691000216,0.699105149474099,0.661839130025651,0.731744519064479
0.75,CSA,24,0.569205875214768,0.542536215441799,0.504778739370979,0.632721718812987
0.75,AMR,24,0.864011408881988,0.821740316408186,0.737400633119561,1.02387537279087
0.5,MELD_lambda0,24,0,0,0,0
0.5,MELD_lambda1,24,0.86551113320391,0.787082321020584,0.683362894366058,1.02381193870206
0.5,MELD_pooled,24,0.865955333213324,0.788130583288199,0.685495796909899,1.02360215369518
0.5,EUR,24,0.47285838631777,0.468395511760973,0.438098939763215,0.509143124221335
0.5,EAS,24,0.804473864948232,0.800941386442796,0.74837108642648,0.862407545324695
0.5,AFR,24,0.569162493183786,0.559515584141433,0.531755924414192,0.597376715815611
0.5,CSA,24,0.65526412887875,0.642037593164618,0.586234901972683,0.703352303422559
0.5,AMR,24,0.970421973628623,0.948201044948064,0.820384900395447,1.11577895583004
0.25,MELD_lambda0,24,0,0,0,0
0.25,MELD_lambda1,24,0.793148401315141,0.736030444171271,0.615864818818188,0.921764796855517
0.25,MELD_pooled,24,0.814249614157775,0.738356223788765,0.636548324865466,0.948614541125677
0.25,EUR,24,0.739098456932489,0.732645739621486,0.696497417793908,0.788209326663486
0.25,EAS,24,0.911354042907063,0.915087548012866,0.848050061975934,0.973306482150989
0.25,AFR,24,0.379690360527528,0.37432048854129,0.348367674837715,0.395798536294748
0.25,CSA,24,0.802904788211705,0.787013936891588,0.758159030515931,0.85724298186515
0.25,AMR,24,1.1139650699206,1.10682519302808,0.944622709956873,1.20866441215101
