gwas_pop,ld_pop,gwas,pgs_method,model,r,se,p,n
EUR,AMR,yengo_eur_ldamr,ptclump,yengo_eur_ldamr_0_5e-08,0.393022594732444,0.0330304500771105,4.19628144244592e-30,777
EUR,AMR,yengo_eur_ldamr,ptclump,yengo_eur_ldamr_0_1e-06,0.396131823945142,0.0329824895489849,1.35029033883591e-30,777
EUR,AMR,yengo_eur_ldamr,ptclump,yengo_eur_ldamr_0_1e-04,0.409539839664845,0.032770504435215,8.82988367375183e-33,777
EUR,AMR,yengo_eur_ldamr,ptclump,yengo_eur_ldamr_0_0.01,0.41930891048061,0.0326107054971427,1.95251142341467e-34,777
EUR,AMR,yengo_eur_ldamr,ptclump,yengo_eur_ldamr_0_0.1,0.417165915220525,0.0326461497839153,4.55420198222684e-34,777
EUR,AMR,yengo_eur_ldamr,ptclump,yengo_eur_ldamr_0_0.2,0.410997595941944,0.0327469471835939,5.03960717648503e-33,777
EUR,AMR,yengo_eur_ldamr,ptclump,yengo_eur_ldamr_0_0.3,0.409591940609913,0.0327696642208162,8.65507429668219e-33,777
EUR,AMR,yengo_eur_ldamr,ptclump,yengo_eur_ldamr_0_0.4,0.407361165797413,0.0328055243302232,2.03107522188298e-32,777
EUR,AMR,yengo_eur_ldamr,ptclump,yengo_eur_ldamr_0_0.5,0.407392229578241,0.032805026587287,2.00718131838921e-32,777
EUR,AMR,yengo_eur_ldamr,ptclump,yengo_eur_ldamr_0_1,0.40670610104523,0.0328160100063799,2.6060227694177e-32,777
EUR,AMR,yengo_eur_ldamr,dbslmm,yengo_eur_ldamr_DBSLMM_0.8,0.414106415454907,0.0326963720327202,1.50990951265771e-33,777
EUR,AMR,yengo_eur_ldamr,dbslmm,yengo_eur_ldamr_DBSLMM_1,0.412783319341608,0.0327179526781468,2.52580306633433e-33,777
EUR,AMR,yengo_eur_ldamr,dbslmm,yengo_eur_ldamr_DBSLMM_1.2,0.412281093491196,0.0327261225431504,3.06870765402579e-33,777
EUR,AMR,yengo_eur_ldamr,quickprs,yengo_eur_ldamr_quickprs,0.347889345820283,0.0336772729542034,1.59316016320886e-23,777
EUR,AFR,yengo_eur_ldafr,ptclump,yengo_eur_ldafr_0_5e-08,0.360128074837283,0.0335108604391605,3.31323614165604e-25,777
EUR,AFR,yengo_eur_ldafr,ptclump,yengo_eur_ldafr_0_1e-06,0.369305943878935,0.0333817241831455,1.62179111881997e-26,777
EUR,AFR,yengo_eur_ldafr,ptclump,yengo_eur_ldafr_0_1e-04,0.377193342915552,0.0332677346749106,1.12121929539238e-27,777
EUR,AFR,yengo_eur_ldafr,ptclump,yengo_eur_ldafr_0_0.01,0.382794666713899,0.033185077157981,1.60727707566763e-28,777
EUR,AFR,yengo_eur_ldafr,ptclump,yengo_eur_ldafr_0_0.1,0.381957825794874,0.0331975168001396,2.15362445501026e-28,777
EUR,AFR,yengo_eur_ldafr,ptclump,yengo_eur_ldafr_0_0.2,0.380421625527274,0.0332202694990367,3.67699534731363e-28,777
EUR,AFR,yengo_eur_ldafr,ptclump,yengo_eur_ldafr_0_0.3,0.378966257630162,0.0332417261222134,6.08767206638077e-28,777
EUR,AFR,yengo_eur_ldafr,ptclump,yengo_eur_ldafr_0_0.4,0.377447322354269,0.0332640175419199,1.02752887311624e-27,777
EUR,AFR,yengo_eur_ldafr,ptclump,yengo_eur_ldafr_0_0.5,0.377415403169556,0.0332644848575651,1.03886369791123e-27,777
EUR,AFR,yengo_eur_ldafr,ptclump,yengo_eur_ldafr_0_1,0.377922009578622,0.0332570624015713,8.72721194616201e-28,777
EUR,AFR,yengo_eur_ldafr,dbslmm,yengo_eur_ldafr_DBSLMM_0.8,0.395269500815249,0.0329958359391442,1.85151670449624e-30,777
EUR,AFR,yengo_eur_ldafr,dbslmm,yengo_eur_ldafr_DBSLMM_1,0.394399358435074,0.0330092684162416,2.54367293514327e-30,777
EUR,AFR,yengo_eur_ldafr,dbslmm,yengo_eur_ldafr_DBSLMM_1.2,0.393589230759534,0.0330217429334286,3.41595418512801e-30,777
EUR,AFR,yengo_eur_ldafr,quickprs,yengo_eur_ldafr_quickprs,0.325130222788612,0.0339694424015207,1.37536805295873e-20,777
EAS,EUR,yengo_eas_ldeur,ptclump,yengo_eas_ldeur_0_5e-08,0.179424252427566,0.0353381259455419,4.7970486462584e-07,777
EAS,EUR,yengo_eas_ldeur,ptclump,yengo_eas_ldeur_0_1e-06,0.192630545465308,0.0352483076318289,6.24503271249151e-08,777
EAS,EUR,yengo_eas_ldeur,ptclump,yengo_eas_ldeur_0_1e-04,0.212496319348096,0.0351006904492979,2.20158480272307e-09,777
EAS,EUR,yengo_eas_ldeur,ptclump,yengo_eas_ldeur_0_0.01,0.236283949850045,0.0349039214922864,2.55070470533811e-11,777
EAS,EUR,yengo_eas_ldeur,ptclump,yengo_eas_ldeur_0_0.1,0.212021326699525,0.0351043965084896,2.39438165818417e-09,777
EAS,EUR,yengo_eas_ldeur,ptclump,yengo_eas_ldeur_0_0.2,0.213799568849541,0.0350904774208828,1.7468962092092e-09,777
EAS,EUR,yengo_eas_ldeur,ptclump,yengo_eas_ldeur_0_0.3,0.22132728039562,0.0350302032805181,4.46002370054078e-10,777
EAS,EUR,yengo_eas_ldeur,ptclump,yengo_eas_ldeur_0_0.4,0.206585801287636,0.0351461888303485,6.17092566727975e-09,777
EAS,EUR,yengo_eas_ldeur,ptclump,yengo_eas_ldeur_0_0.5,0.209993412027063,0.0351201213699356,3.41891860800559e-09,777
