ld_pop,r,se,kind
AFR,0.360302704905259,0.0335084382408267,single-pop
CSA,0.268188137286705,0.0346051482841217,single-pop
EAS,0.150655743045652,0.0355110677356459,single-pop
EUR,0.268587584462878,0.0346011506329728,single-pop
MELD,0.331551398660163,0.0338892631212114,MELD
