panel,r,r2,sd,lo95,hi95,r_txt,r2_txt
MELD_lambda0,0.434513442033957,0.188801931308197,0.0278840194147589,0.378145820670053,0.486661117653576,"0.4345 [0.3781, 0.4867]",0.1888
equal,0.431626519490854,0.186301452327788,0.027812850279041,0.375824826191362,0.485540790257663,"0.4316 [0.3758, 0.4855]",0.1863
AFR,0.4014194220847,0.161137552426815,0.029134127251299,0.344888434683427,0.45688018366638,"0.4014 [0.3449, 0.4569]",0.1611
EUR,0.39486634428773,0.155919429851156,0.0292748550008006,0.336063239703507,0.449135128982532,"0.3949 [0.3361, 0.4491]",0.1559
AMR,0.382270770751201,0.146130942170717,0.030555938436466,0.322227413304701,0.441329918649716,"0.3823 [0.3222, 0.4413]",0.1461
CSA,0.364846305949961,0.133112826965333,0.0315432880141222,0.299404083441442,0.423912214905354,"0.3648 [0.2994, 0.4239]",0.1331
EAS,0.319438531030233,0.102040975106753,0.030477428519177,0.25795783433811,0.377662617868526,"0.3194 [0.2580, 0.3777]",0.1020
