trait,delta,candidate,mean,sd,lo95,hi95,source
HF,0.01,MELD_lambda1_afproj,0.90082900767583,0.0101168772953548,0.879238386456508,0.918392874060837,R8_1KG_on_R9blocks
HF,0.01,EUR,0.870633820240153,0.0116904949154576,0.847704743752854,0.893462837305114,R8_1KG_on_R9blocks
HF,0.01,EAS,0.792493841480764,0.0187684025415309,0.752273642749891,0.824598367011354,R8_1KG_on_R9blocks
HF,0.01,AFR,0.674826264389945,0.0212987734019187,0.63161418461937,0.715997381386622,R8_1KG_on_R9blocks
HF,0.01,CSA,0.847001605613327,0.0148232263294056,0.815582636918599,0.874247250698448,R8_1KG_on_R9blocks
HF,0.01,AMR,0.814629368522347,0.0172831983312062,0.779851357408809,0.847669417275841,R8_1KG_on_R9blocks
IPF,0.01,MELD_lambda0_afproj,0.881767894256664,0.0119371450090155,0.856058945412574,0.902666398071067,R8_1KG_on_R9blocks
IPF,0.01,MELD_lambda0_reportN,0.881741146546266,0.0115322363806149,0.857086673867156,0.901799569575895,R8_1KG_on_R9blocks
IPF,0.01,MELD_lambda0_equal,0.869827520580034,0.0123043419261588,0.844841924452004,0.891929195343475,R8_1KG_on_R9blocks
IPF,0.01,MELD_lambda1_afproj,0.880855995650171,0.0123124428519778,0.855101758589625,0.903070703468661,R8_1KG_on_R9blocks
IPF,0.01,EUR,0.856292455942772,0.0134479099336655,0.828161677392462,0.881134609960607,R8_1KG_on_R9blocks
IPF,0.01,EAS,0.776682198210991,0.0165271008698837,0.742620506591889,0.807091036092256,R8_1KG_on_R9blocks
IPF,0.01,AFR,0.654347638024515,0.0239611520170224,0.60624090057005,0.699369849077385,R8_1KG_on_R9blocks
IPF,0.01,CSA,0.825430681729147,0.0156086138855937,0.792010113286365,0.853973017178311,R8_1KG_on_R9blocks
IPF,0.01,AMR,0.816653635247075,0.0159818219855439,0.783480211046236,0.846723250709116,R8_1KG_on_R9blocks
