ld_pop,gwas,pgs_method,model,r,se,p,n
CSA,yengo_eur_ldcsa,ptclump,yengo_eur_ldcsa_0_0.01,0.406246912383631,0.0328233482237532,3.1025415654744e-32,777
CSA,yengo_eur_ldcsa,ptclump,yengo_eur_ldcsa_0_0.1,0.403834728908043,0.0328617340309318,7.72061131272729e-32,777
CSA,yengo_eur_ldcsa,ptclump,yengo_eur_ldcsa_0_0.2,0.400903167564747,0.0329080174609236,2.31462306195448e-31,777
CSA,yengo_eur_ldcsa,ptclump,yengo_eur_ldcsa_0_0.3,0.399359247536964,0.0329322313225148,4.1086068491327e-31,777
CSA,yengo_eur_ldcsa,ptclump,yengo_eur_ldcsa_0_0.4,0.396965734634679,0.0329695500869622,9.94164808361381e-31,777
CSA,yengo_eur_ldcsa,ptclump,yengo_eur_ldcsa_0_0.5,0.398007615864806,0.0329533382265838,6.77320578476096e-31,777
CSA,yengo_eur_ldcsa,ptclump,yengo_eur_ldcsa_0_1,0.398033022089662,0.0329529422706355,6.71000359105593e-31,777
CSA,yengo_eur_ldcsa,dbslmm,yengo_eur_ldcsa_DBSLMM_0.8,0.404796764608964,0.032846457644959,5.37196382591058e-32,777
CSA,yengo_eur_ldcsa,dbslmm,yengo_eur_ldcsa_DBSLMM_1,0.403343958331944,0.0328695103602916,9.28558846269612e-32,777
CSA,yengo_eur_ldcsa,dbslmm,yengo_eur_ldcsa_DBSLMM_1.2,0.402076604600224,0.0328895395476386,1.49344145870358e-31,777
CSA,yengo_eur_ldcsa,quickprs,yengo_eur_ldcsa_quickprs,0.385382464425001,0.0331464075047253,6.46814796436632e-29,777
AMR,yengo_eur_ldamr,ptclump,yengo_eur_ldamr_0_5e-08,0.393022594732444,0.0330304500771105,4.19628144244592e-30,777
AMR,yengo_eur_ldamr,ptclump,yengo_eur_ldamr_0_1e-06,0.396131823945142,0.0329824895489849,1.35029033883591e-30,777
AMR,yengo_eur_ldamr,ptclump,yengo_eur_ldamr_0_1e-04,0.409539839664845,0.032770504435215,8.82988367375183e-33,777
AMR,yengo_eur_ldamr,ptclump,yengo_eur_ldamr_0_0.01,0.41930891048061,0.0326107054971427,1.95251142341467e-34,777
AMR,yengo_eur_ldamr,ptclump,yengo_eur_ldamr_0_0.1,0.417165915220525,0.0326461497839153,4.55420198222684e-34,777
AMR,yengo_eur_ldamr,ptclump,yengo_eur_ldamr_0_0.2,0.410997595941944,0.0327469471835939,5.03960717648503e-33,777
AMR,yengo_eur_ldamr,ptclump,yengo_eur_ldamr_0_0.3,0.409591940609913,0.0327696642208162,8.65507429668219e-33,777
AMR,yengo_eur_ldamr,ptclump,yengo_eur_ldamr_0_0.4,0.407361165797413,0.0328055243302232,2.03107522188298e-32,777
AMR,yengo_eur_ldamr,ptclump,yengo_eur_ldamr_0_0.5,0.407392229578241,0.032805026587287,2.00718131838921e-32,777
AMR,yengo_eur_ldamr,ptclump,yengo_eur_ldamr_0_1,0.40670610104523,0.0328160100063799,2.6060227694177e-32,777
AMR,yengo_eur_ldamr,dbslmm,yengo_eur_ldamr_DBSLMM_0.8,0.41383415374915,0.0327008196245456,1.67885436581196e-33,777
AMR,yengo_eur_ldamr,dbslmm,yengo_eur_ldamr_DBSLMM_1,0.412848800448358,0.0327168865931076,2.46243247678765e-33,777
AMR,yengo_eur_ldamr,dbslmm,yengo_eur_ldamr_DBSLMM_1.2,0.411843927088976,0.0327332243115793,3.63447009737772e-33,777
AMR,yengo_eur_ldamr,quickprs,yengo_eur_ldamr_quickprs,0.34733195447899,0.0336846957380486,1.8928597392505e-23,777
