label,kind,mean,sd,lo95,hi95
EUR_baseline,single_pop,0.924626147199502,0.0114912926948223,0.900806067896233,0.945908488702899
paperN,true_weights,0.955020720518809,0.00697005595268183,0.940372148705588,0.967756578120205
afproj,true_weights,0.954575767564761,0.00734482443178331,0.93891877270407,0.967786312438007
equal,wrong_weight,0.947064950876331,0.00748688069356962,0.931943872546447,0.960672504282251
scramble_swap_EUR_AFR,wrong_weight,0.867390712899649,0.0147270280204192,0.837085772859317,0.894553720658059
scramble_cyclic,wrong_weight,0.898850719137536,0.0104460136683857,0.877548979921538,0.918559285686291
sweep_wEUR_0.00,sweep,0.909411465267239,0.0105482865393848,0.887745096360243,0.929867146623678
sweep_wEUR_0.10,sweep,0.93128907580789,0.00848947605809279,0.914745075859697,0.946879246225755
sweep_wEUR_0.20,sweep,0.941322869524911,0.00760284072134071,0.925369189449427,0.955759720227907
sweep_wEUR_0.30,sweep,0.947672885814956,0.0070636034466893,0.933601979686507,0.960868211273776
sweep_wEUR_0.40,sweep,0.951902160216001,0.00686829808187856,0.937890595976266,0.964479066636868
sweep_wEUR_0.50,sweep,0.954592056326866,0.00707723247316198,0.939730215126365,0.967304502834711
sweep_wEUR_0.60,sweep,0.955906255278728,0.00688031062610546,0.941888494725957,0.968707756501072
sweep_wEUR_0.70,sweep,0.955840943129148,0.00670172842310123,0.942017130385298,0.968370230899751
sweep_wEUR_0.80,sweep,0.954047715449869,0.0072292124198382,0.939825092368677,0.967498168483747
sweep_wEUR_0.90,sweep,0.949315686357915,0.00823767498338442,0.932705792789709,0.964575814087207
sweep_wEUR_1.00,sweep,0.924626147105516,0.0115758263876746,0.899962898935131,0.946395894982106
