w_eur,chr,block_id,m,candidate,err
0.75,22,6,480,MELD_lambda0,0
0.75,22,6,480,MELD_lambda1,0.565203512076065
0.75,22,6,480,MELD_pooled,0.568486579476609
0.75,22,6,480,EUR,0.240623869876317
0.75,22,6,480,EAS,0.598832030056144
0.75,22,6,480,AFR,0.61842709186087
0.75,22,6,480,CSA,0.513894222126775
0.75,22,6,480,AMR,0.671583836367555
0.5,22,6,480,MELD_lambda0,0
0.5,22,6,480,MELD_lambda1,0.734138121005249
0.5,22,6,480,MELD_pooled,0.733841115390474
0.5,22,6,480,EUR,0.458244094568375
0.5,22,6,480,EAS,0.694948992872338
0.5,22,6,480,AFR,0.486211945072129
0.5,22,6,480,CSA,0.601817344803176
0.5,22,6,480,AMR,0.760614635116954
0.25,22,6,480,MELD_lambda0,0
0.25,22,6,480,MELD_lambda1,0.656684375885216
0.25,22,6,480,MELD_pooled,0.66545507246207
0.25,22,6,480,EUR,0.697686116186181
0.25,22,6,480,EAS,0.838647242218225
0.25,22,6,480,AFR,0.314766367643526
0.25,22,6,480,CSA,0.743393042337988
0.25,22,6,480,AMR,0.890822415793194
0.75,22,7,948,MELD_lambda0,0
0.75,22,7,948,MELD_lambda1,1.02331830272936
0.75,22,7,948,MELD_pooled,1.02105756579316
0.75,22,7,948,EUR,0.2848982370992
0.75,22,7,948,EAS,0.84306193079288
0.75,22,7,948,AFR,0.780323227116672
0.75,22,7,948,CSA,0.678713888352126
0.75,22,7,948,AMR,1.21130793933457
0.5,22,7,948,MELD_lambda0,0
0.5,22,7,948,MELD_lambda1,1.35499877831058
0.5,22,7,948,MELD_pooled,1.35658682403217
0.5,22,7,948,EUR,0.529823454803782
0.5,22,7,948,EAS,0.913221969239348
0.5,22,7,948,AFR,0.644160084538407
0.5,22,7,948,CSA,0.763617252627954
0.5,22,7,948,AMR,1.34444521803772
0.25,22,7,948,MELD_lambda0,0
0.25,22,7,948,MELD_lambda1,1.24357106795509
0.25,22,7,948,MELD_pooled,1.28355676202526
0.25,22,7,948,EUR,0.805369844355539
0.25,22,7,948,EAS,1.01704907337633
0.25,22,7,948,AFR,0.44250718904127
0.25,22,7,948,CSA,0.900921322668734
0.25,22,7,948,AMR,1.486855778626
0.75,22,8,863,MELD_lambda0,0
0.75,22,8,863,MELD_lambda1,0.707900921799481
0.75,22,8,863,MELD_pooled,0.722728263337443
0.75,22,8,863,EUR,0.269315046626959
0.75,22,8,863,EAS,0.808187004037653
0.75,22,8,863,AFR,0.742746083469454
0.75,22,8,863,CSA,0.703960889634803
0.75,22,8,863,AMR,1.06826476622985
0.5,22,8,863,MELD_lambda0,0
0.5,22,8,863,MELD_lambda1,0.949558060511892
0.5,22,8,863,MELD_pooled,0.950106571492676
0.5,22,8,863,EUR,0.516941145192969
0.5,22,8,863,EAS,0.861803193288781
0.5,22,8,863,AFR,0.588153570342269
0.5,22,8,863,CSA,0.785371515963359
0.5,22,8,863,AMR,1.17306962169775
0.25,22,8,863,MELD_lambda0,0
0.25,22,8,863,MELD_lambda1,0.839882274852569
0.25,22,8,863,MELD_pooled,0.87564240145736
0.25,22,8,863,EUR,0.785752373483546
0.25,22,8,863,EAS,0.946091608547865
0.25,22,8,863,AFR,0.374283705615049
0.25,22,8,863,CSA,0.911140833256686
0.25,22,8,863,AMR,1.2872508552736
0.75,22,9,733,MELD_lambda0,0
0.75,22,9,733,MELD_lambda1,0.504014804029474
0.75,22,9,733,MELD_pooled,0.505160547078722
0.75,22,9,733,EUR,0.252896311457963
0.75,22,9,733,EAS,0.760430606045023
0.75,22,9,733,AFR,0.693659523778498
0.75,22,9,733,CSA,0.585637462609331
0.75,22,9,733,AMR,0.79041847748408
0.5,22,9,733,MELD_lambda0,0
0.5,22,9,733,MELD_lambda1,0.692933968884711
0.5,22,9,733,MELD_pooled,0.696516184447822
0.5,22,9,733,EUR,0.487429315448853
0.5,22,9,733,EAS,0.799532537370622
0.5,22,9,733,AFR,0.557069224369516
0.5,22,9,733,CSA,0.671890577868293
0.5,22,9,733,AMR,0.89748261273609
0.25,22,9,733,MELD_lambda0,0
0.25,22,9,733,MELD_lambda1,0.646503243429056
0.25,22,9,733,MELD_pooled,0.686813715948343
0.25,22,9,733,EUR,0.742462726584093
0.25,22,9,733,EAS,0.873730108277938
0.25,22,9,733,AFR,0.374357271467531
0.25,22,9,733,CSA,0.808938609175329
0.25,22,9,733,AMR,1.03643028630854
0.75,22,10,689,MELD_lambda0,0
0.75,22,10,689,MELD_lambda1,0.391831409499997
0.75,22,10,689,MELD_pooled,0.413853711229157
0.75,22,10,689,EUR,0.235018806315752
0.75,22,10,689,EAS,0.73841822041354
0.75,22,10,689,AFR,0.713571296189889
0.75,22,10,689,CSA,0.618599470520458
0.75,22,10,689,AMR,0.674875837440086
0.5,22,10,689,MELD_lambda0,0
0.5,22,10,689,MELD_lambda1,0.560201231600672
0.5,22,10,689,MELD_pooled,0.560991509528069
0.5,22,10,689,EUR,0.451313176632561
0.5,22,10,689,EAS,0.779978024993367
0.5,22,10,689,AFR,0.586099641814388
0.5,22,10,689,CSA,0.671355789416386
0.5,22,10,689,AMR,0.758297168912637
0.25,22,10,689,MELD_lambda0,0
0.25,22,10,689,MELD_lambda1,0.550156464682582
0.25,22,10,689,MELD_pooled,0.576560490845681
0.25,22,10,689,EUR,0.720045799129084
0.25,22,10,689,EAS,0.861763047729512
0.25,22,10,689,AFR,0.397738612893429
0.25,22,10,689,CSA,0.781115165210879
0.25,22,10,689,AMR,0.899009703624024
0.75,22,11,437,MELD_lambda0,0
0.75,22,11,437,MELD_lambda1,0.345877607822963
0.75,22,11,437,MELD_pooled,0.344663026704471
0.75,22,11,437,EUR,0.214512434776298
0.75,22,11,437,EAS,0.781941858526039
0.75,22,11,437,AFR,0.629414888849617
0.75,22,11,437,CSA,0.491807747134342
0.75,22,11,437,AMR,0.583951976693961
0.5,22,11,437,MELD_lambda0,0
0.5,22,11,437,MELD_lambda1,0.496220480695937
0.5,22,11,437,MELD_pooled,0.494654451079079
0.5,22,11,437,EUR,0.430680490726317
0.5,22,11,437,EAS,0.828836879170294
0.5,22,11,437,AFR,0.507031283765996
0.5,22,11,437,CSA,0.562985209191717
0.5,22,11,437,AMR,0.683923719802149
0.25,22,11,437,MELD_lambda0,0
0.25,22,11,437,MELD_lambda1,0.484205168369616
0.25,22,11,437,MELD_pooled,0.491337707778293
0.25,22,11,437,EUR,0.679405013697087
0.25,22,11,437,EAS,0.908224669396471
0.25,22,11,437,AFR,0.340009041281224
0.25,22,11,437,CSA,0.694757155310314
0.25,22,11,437,AMR,0.835044497394311
0.75,22,12,1159,MELD_lambda0,0
0.75,22,12,1159,MELD_lambda1,0.87153934463802
0.75,22,12,1159,MELD_pooled,0.875940024226599
0.75,22,12,1159,EUR,0.326820409948422
0.75,22,12,1159,EAS,0.855158252831541
0.75,22,12,1159,AFR,0.830960018398656
0.75,22,12,1159,CSA,0.713259514641019
0.75,22,12,1159,AMR,1.05030586527554
0.5,22,12,1159,MELD_lambda0,0
0.5,22,12,1159,MELD_lambda1,1.13763453819439
0.5,22,12,1159,MELD_pooled,1.13790127923123
0.5,22,12,1159,EUR,0.585910788848445
0.5,22,12,1159,EAS,0.935593013358962
0.5,22,12,1159,AFR,0.674498205007837
0.5,22,12,1159,CSA,0.803171521722165
0.5,22,12,1159,AMR,1.16708529417294
0.25,22,12,1159,MELD_lambda0,0
0.25,22,12,1159,MELD_lambda1,1.01660333778314
0.25,22,12,1159,MELD_pooled,1.02883142711569
0.25,22,12,1159,EUR,0.87368596463075
0.25,22,12,1159,EAS,1.04902170216604
0.25,22,12,1159,AFR,0.44854017756833
0.25,22,12,1159,CSA,0.942501122234575
0.25,22,12,1159,AMR,1.30068873770784
0.75,22,13,618,MELD_lambda0,0
0.75,22,13,618,MELD_lambda1,0.497742743815724
0.75,22,13,618,MELD_pooled,0.500911108787026
0.75,22,13,618,EUR,0.271192457044415
0.75,22,13,618,EAS,0.707934639735435
0.75,22,13,618,AFR,0.720670003760166
0.75,22,13,618,CSA,0.534880942697747
0.75,22,13,618,AMR,0.633801125074846
0.5,22,13,618,MELD_lambda0,0
0.5,22,13,618,MELD_lambda1,0.6546496708101
0.5,22,13,618,MELD_pooled,0.652434634296133
0.5,22,13,618,EUR,0.527101175395642
0.5,22,13,618,EAS,0.792136213613069
0.5,22,13,618,AFR,0.559982082443061
0.5,22,13,618,CSA,0.657711102795907
0.5,22,13,618,AMR,0.745928621957605
0.25,22,13,618,MELD_lambda0,0
0.25,22,13,618,MELD_lambda1,0.57866629864155
0.25,22,13,618,MELD_pooled,0.596074829668918
0.25,22,13,618,EUR,0.80692359813609
0.25,22,13,618,EAS,0.925315883060519
0.25,22,13,618,AFR,0.342715120967941
0.25,22,13,618,CSA,0.842683534930621
0.25,22,13,618,AMR,0.912272895217348
0.75,22,14,1069,MELD_lambda0,0
0.75,22,14,1069,MELD_lambda1,1.29990130686818
0.75,22,14,1069,MELD_pooled,1.31057698188157
0.75,22,14,1069,EUR,0.307195753332564
0.75,22,14,1069,EAS,0.78062420664869
0.75,22,14,1069,AFR,0.78019304408897
0.75,22,14,1069,CSA,0.685140769048922
0.75,22,14,1069,AMR,1.01506520862932
0.5,22,14,1069,MELD_lambda0,0
0.5,22,14,1069,MELD_lambda1,1.6222203559554
0.5,22,14,1069,MELD_pooled,1.62158351321126
0.5,22,14,1069,EUR,0.54695406352311
0.5,22,14,1069,EAS,0.852847782604593
0.5,22,14,1069,AFR,0.613496633152269
0.5,22,14,1069,CSA,0.783330167042361
0.5,22,14,1069,AMR,1.09867684304907
0.25,22,14,1069,MELD_lambda0,0
0.25,22,14,1069,MELD_lambda1,1.38037329708355
0.25,22,14,1069,MELD_pooled,1.39952941095761
0.25,22,14,1069,EUR,0.782935537572882
0.25,22,14,1069,EAS,0.948177062018591
0.25,22,14,1069,AFR,0.392868287256752
0.25,22,14,1069,CSA,0.909378840376474
0.25,22,14,1069,AMR,1.18246893111015
0.75,22,15,709,MELD_lambda0,0
0.75,22,15,709,MELD_lambda1,0.592462830441158
0.75,22,15,709,MELD_pooled,0.612636804940192
0.75,22,15,709,EUR,0.215231278390791
0.75,22,15,709,EAS,0.594631545561739
0.75,22,15,709,AFR,0.674495596541506
0.75,22,15,709,CSA,0.476298007519388
0.75,22,15,709,AMR,0.775580999810853
0.5,22,15,709,MELD_lambda0,0
0.5,22,15,709,MELD_lambda1,0.803039632935443
0.5,22,15,709,MELD_pooled,0.802524171156521
0.5,22,15,709,EUR,0.425509580420226
0.5,22,15,709,EAS,0.652872657564933
0.5,22,15,709,AFR,0.559049085839806
0.5,22,15,709,CSA,0.543367487092745
0.5,22,15,709,AMR,0.88943496197589
0.25,22,15,709,MELD_lambda0,0
0.25,22,15,709,MELD_lambda1,0.751020712904946
