trait,chr,block_id,candidate,delta,r2,m
Asthma,22,1,MELD_lambda0_afproj,0.001,0.857046046650669,92
Asthma,22,1,MELD_lambda0_reportN,0.001,0.854772582111207,92
Asthma,22,1,MELD_lambda0_equal,0.001,0.851885540785948,92
Asthma,22,1,MELD_lambda1_afproj,0.001,0.851972973265279,92
Asthma,22,1,EUR,0.001,0.802728411877873,92
Asthma,22,1,EAS,0.001,0.686470504898128,92
Asthma,22,1,AFR,0.001,0.59405259114423,92
Asthma,22,1,CSA,0.001,0.828854122761218,92
Asthma,22,1,AMR,0.001,0.815272181834247,92
Asthma,22,1,MID,0.001,0.856728519972287,92
Asthma,22,1,MELD_lambda0_afproj,0.01,0.852537954940635,92
Asthma,22,1,MELD_lambda0_reportN,0.01,0.850812926061227,92
Asthma,22,1,MELD_lambda0_equal,0.01,0.849830066552203,92
Asthma,22,1,MELD_lambda1_afproj,0.01,0.848186140748031,92
Asthma,22,1,EUR,0.01,0.847404708038865,92
Asthma,22,1,EAS,0.01,0.802160535358345,92
Asthma,22,1,AFR,0.01,0.607179073228005,92
Asthma,22,1,CSA,0.01,0.876310122366184,92
Asthma,22,1,AMR,0.01,0.815490051487857,92
Asthma,22,1,MID,0.01,0.851872506718647,92
Asthma,22,1,MELD_lambda0_afproj,0.1,0.844025180743679,92
Asthma,22,1,MELD_lambda0_reportN,0.1,0.843468822750715,92
Asthma,22,1,MELD_lambda0_equal,0.1,0.850828848280905,92
Asthma,22,1,MELD_lambda1_afproj,0.1,0.841552832417477,92
Asthma,22,1,EUR,0.1,0.838643116615356,92
Asthma,22,1,EAS,0.1,0.80060151789869,92
Asthma,22,1,AFR,0.1,0.618147537165951,92
Asthma,22,1,CSA,0.1,0.873514720898366,92
Asthma,22,1,AMR,0.1,0.821391473351971,92
Asthma,22,1,MID,0.1,0.855652934877539,92
Asthma,22,2,MELD_lambda0_afproj,0.001,0.959010211541164,46
Asthma,22,2,MELD_lambda0_reportN,0.001,0.958355023461695,46
Asthma,22,2,MELD_lambda0_equal,0.001,0.952034792793164,46
Asthma,22,2,MELD_lambda1_afproj,0.001,0.958934197050455,46
Asthma,22,2,EUR,0.001,0.956831126589605,46
Asthma,22,2,EAS,0.001,0.800422818204012,46
Asthma,22,2,AFR,0.001,0.907390611236417,46
Asthma,22,2,CSA,0.001,0.957905175643812,46
Asthma,22,2,AMR,0.001,0.946782954313985,46
Asthma,22,2,MID,0.001,0.950295978339611,46
Asthma,22,2,MELD_lambda0_afproj,0.01,0.960206598021609,46
Asthma,22,2,MELD_lambda0_reportN,0.01,0.959706236267434,46
Asthma,22,2,MELD_lambda0_equal,0.01,0.951982598019329,46
Asthma,22,2,MELD_lambda1_afproj,0.01,0.960546669974773,46
Asthma,22,2,EUR,0.01,0.959178013582256,46
Asthma,22,2,EAS,0.01,0.799322871583731,46
Asthma,22,2,AFR,0.01,0.906734169808578,46
Asthma,22,2,CSA,0.01,0.960474766219143,46
Asthma,22,2,AMR,0.01,0.947614759013385,46
Asthma,22,2,MID,0.01,0.949885426120503,46
Asthma,22,2,MELD_lambda0_afproj,0.1,0.960900863044171,46
Asthma,22,2,MELD_lambda0_reportN,0.1,0.960825040355413,46
Asthma,22,2,MELD_lambda0_equal,0.1,0.950029635412966,46
