chr,block_id,afr_treatment,w_eur,af_bin,m_bin,af_bin_lo,af_bin_hi,r2_l0,r2_l1,diff
22,11,corrected,0.75,3,146,0.202889144372559,0.457841999256863,0.91758222628169,0.913572936855955,-0.00400928942573553
22,11,corrected,0.5,1,146,0.000444696406714455,0.0626041329375905,0.867773949721027,0.867167823309181,-0.000606126411845875
22,11,corrected,0.5,2,145,0.0626041329375905,0.202889144372559,0.801409347986333,0.800808071172639,-0.000601276813693152
22,11,corrected,0.5,3,146,0.202889144372559,0.457841999256863,0.798688175891047,0.820802358471066,0.0221141825800186
22,11,corrected,0.25,1,146,0.000444696406714455,0.0626041329375905,0.745320016787434,0.744685694236241,-0.000634322551193223
22,11,corrected,0.25,2,145,0.0626041329375905,0.202889144372559,0.734526985422101,0.73410268044461,-0.000424304977491241
22,11,corrected,0.25,3,146,0.202889144372559,0.457841999256863,0.854267449590352,0.871922974162175,0.0176555245718228
22,12,original,0.75,1,387,0.000171826947280865,0.0753202045812205,0.825578914667549,0.824630767447613,-0.000948147219935969
22,12,original,0.75,2,386,0.0753202045812205,0.191667030949467,0.896562048449201,0.895848957100763,-0.000713091348438
22,12,original,0.75,3,386,0.191667030949467,0.738930538555692,0.904702586807944,0.906022246232081,0.00131965942413637
22,12,original,0.5,1,387,0.000171826947280865,0.0753202045812205,0.671613180719136,0.669168004331397,-0.00244517638773922
22,12,original,0.5,2,386,0.0753202045812205,0.191667030949467,0.775517711481121,0.775227581755102,-0.000290129726018828
22,12,original,0.5,3,386,0.191667030949467,0.738930538555692,0.841100520422909,0.850397634603993,0.00929711418108381
22,12,original,0.25,1,387,0.000171826947280865,0.0753202045812205,0.620964974594952,0.61987291323076,-0.00109206136419171
22,12,original,0.25,2,386,0.0753202045812205,0.191667030949467,0.711078788890156,0.71326148017285,0.00218269128269444
22,12,original,0.25,3,386,0.191667030949467,0.738930538555692,0.777931593826498,0.795912327080226,0.0179807332537272
22,12,corrected,0.75,1,387,0.000144162808768639,0.063193651643644,0.825601249677742,0.825056883415246,-0.000544366262495766
22,12,corrected,0.75,2,386,0.063193651643644,0.160808638966603,0.898279714916388,0.897803923568865,-0.000475791347523513
22,12,corrected,0.75,3,386,0.160808638966603,0.619962721848225,0.905538875601101,0.90740927105105,0.00187039544994871
22,12,corrected,0.5,1,387,0.000144162808768639,0.063193651643644,0.668217359451242,0.665841054200509,-0.00237630525073285
22,12,corrected,0.5,2,386,0.063193651643644,0.160808638966603,0.77963011527369,0.779004230382345,-0.000625884891344963
22,12,corrected,0.5,3,386,0.160808638966603,0.619962721848225,0.846151787169197,0.853511274392037,0.00735948722284086
22,12,corrected,0.25,1,387,0.000144162808768639,0.063193651643644,0.61537460043912,0.613412465647361,-0.00196213479175988
22,12,corrected,0.25,2,386,0.063193651643644,0.160808638966603,0.717075417077233,0.717630540345875,0.000555123268642932
22,12,corrected,0.25,3,386,0.160808638966603,0.619962721848225,0.793044690497693,0.80451904421068,0.0114743537129867
22,13,original,0.75,1,206,6.99422976044306e-05,0.0889513026752929,0.891081514635611,0.894152486248405,0.00307097161279424
22,13,original,0.75,2,206,0.0889513026752929,0.211455236929533,0.835486365149739,0.847008851333075,0.0115224861833356
22,13,original,0.75,3,206,0.211455236929533,0.61078204231509,0.887248106947585,0.895547585114017,0.00829947816643217
22,13,original,0.5,1,206,6.99422976044306e-05,0.0889513026752929,0.868028602290799,0.868107758720973,7.91564301740877e-05
22,13,original,0.5,2,206,0.0889513026752929,0.211455236929533,0.793745454068484,0.795156536880545,0.00141108281206115
22,13,original,0.5,3,206,0.211455236929533,0.61078204231509,0.852869421456235,0.862082765620761,0.00921334416452557
22,13,original,0.25,1,206,6.99422976044306e-05,0.0889513026752929,0.868075481678882,0.867577673277978,-0.000497808400904409
22,13,original,0.25,2,206,0.0889513026752929,0.211455236929533,0.768597407604683,0.767036389304792,-0.00156101829989064
22,13,original,0.25,3,206,0.211455236929533,0.61078204231509,0.831764401043987,0.843996479783291,0.0122320787393037
22,13,corrected,0.75,1,206,5.86815876901237e-05,0.0746301429445708,0.889481751440798,0.892332714002928,0.00285096256213002
22,13,corrected,0.75,2,206,0.0746301429445708,0.177410943783878,0.835402059386893,0.846599836458287,0.0111977770713946
22,13,corrected,0.75,3,206,0.177410943783878,0.512446133502361,0.888574502700204,0.895303005215568,0.00672850251536394
22,13,corrected,0.5,1,206,5.86815876901237e-05,0.0746301429445708,0.865810830303214,0.866011816090444,0.00020098578723049
22,13,corrected,0.5,2,206,0.0746301429445708,0.177410943783878,0.79414782866383,0.795900741668068,0.00175291300423852
22,13,corrected,0.5,3,206,0.177410943783878,0.512446133502361,0.855480784734557,0.861901816519634,0.00642103178507669
22,13,corrected,0.25,1,206,5.86815876901237e-05,0.0746301429445708,0.870597686107169,0.870269794427013,-0.000327891680156012
22,13,corrected,0.25,2,206,0.0746301429445708,0.177410943783878,0.775647602746966,0.773184580503035,-0.0024630222439308
22,13,corrected,0.25,3,206,0.177410943783878,0.512446133502361,0.836561850204119,0.843893941221993,0.00733209101787491
22,14,original,0.75,1,357,9.63154945362588e-05,0.110985312117503,0.783189208542071,0.793747229341765,0.0105580207996943
22,14,original,0.75,2,356,0.110985312117503,0.272750917992656,0.680387015062146,0.67536309523973,-0.00502391982241557
