trait,sweep_kind,sweep_id,best_sp_name,adv,adv_lo,adv_hi,eff_groups,mean_B_diag
Asthma,EUR_AFR,EUR_AFR_01,AFR,-3.37655286141863e-07,-4.71777595614932e-06,3.40301815698584e-06,1,0
Asthma,EUR_AFR,EUR_AFR_02,AFR,0.0732774006843946,0.0570981421793185,0.0883955968668716,1.21951219512195,0.0137736826782779
Asthma,EUR_AFR,EUR_AFR_03,AFR,0.0968536088860265,0.0736288745166173,0.117568194929587,1.47058823529412,0.0244865469836052
Asthma,EUR_AFR,EUR_AFR_04,AFR,0.121027790478813,0.0941111753310442,0.150704903723781,1.72413793103448,0.0321385929159818
Asthma,EUR_AFR,EUR_AFR_05,EUR,0.112910849050941,0.0819009578263992,0.140558299737183,1.92307692307692,0.0367298204754078
Asthma,EUR_AFR,EUR_AFR_06,EUR,0.101806333612661,0.0777071324909288,0.123885874645527,2,0.0382602296618831
Asthma,EUR_AFR,EUR_AFR_07,EUR,0.0939578093437401,0.0721749793990604,0.115459581939316,1.92307692307692,0.0367298204754078
Asthma,EUR_AFR,EUR_AFR_08,EUR,0.0707898564034873,0.0554321038881066,0.0862794405133282,1.72413793103448,0.0321385929159818
Asthma,EUR_AFR,EUR_AFR_09,EUR,0.0568100617288341,0.0417155371159068,0.0707171731280064,1.47058823529412,0.0244865469836052
Asthma,EUR_AFR,EUR_AFR_10,EUR,0.0254874053958415,0.0178239734190034,0.0332271397776047,1.21951219512195,0.0137736826782779
Asthma,EUR_AFR,EUR_AFR_11,EUR,1.83010431345522e-15,-1.00394857435349e-16,3.89908914185516e-15,1,0
Asthma,EUR_EAS,EUR_EAS_01,EAS,2.53311073906257e-17,-1.75317352812133e-15,2.05856749423833e-15,1,0
Asthma,EUR_EAS,EUR_EAS_02,EAS,0.0411682220518079,0.031268144273026,0.0527878840575292,1.21951219512195,0.0131772372815578
Asthma,EUR_EAS,EUR_EAS_03,EAS,0.0627491984531163,0.0479955292257454,0.0784230491756928,1.47058823529412,0.0234261996116584
Asthma,EUR_EAS,EUR_EAS_04,EUR,0.0701815285809388,0.0514709690780046,0.0893772263293887,1.72413793103448,0.0307468869903016
