panel,MELD_lambda0,EUR,EAS,AFR,CSA,AMR,equal
MELD_lambda0,1,0.951059509048283,0.757209921761198,0.818624631066297,0.827040883239687,0.851090984340228,0.94709644571292
EUR,0.951059509048283,1,0.673807092600104,0.738672816843672,0.755657355284686,0.795474243142012,0.854442770278664
EAS,0.757209921761198,0.673807092600104,1,0.77468185676325,0.752981566682307,0.722402205128401,0.827312445933732
AFR,0.818624631066297,0.738672816843672,0.77468185676325,1,0.772920902088577,0.772232980991741,0.868618322334916
CSA,0.827040883239687,0.755657355284686,0.752981566682307,0.772920902088577,1,0.784124550625121,0.885224281110183
AMR,0.851090984340228,0.795474243142012,0.722402205128401,0.772232980991741,0.784124550625121,1,0.880137798849623
equal,0.94709644571292,0.854442770278664,0.827312445933732,0.868618322334916,0.885224281110183,0.880137798849623,1
