chr,block_id,m,weight_set,candidate,r2
22,9,734,paperN,AMR,0.854032335327115
22,9,734,afproj,MELD_lambda0,0.960706662528565
22,9,734,afproj,MELD_lambda1,0.956655107108739
22,9,734,afproj,EUR,0.899392703149368
22,9,734,afproj,EAS,0.728339177387058
22,9,734,afproj,AFR,0.379523451595081
22,9,734,afproj,CSA,0.887165716413397
22,9,734,afproj,AMR,0.854032335327115
22,10,689,paperN,MELD_lambda0,0.995760762905878
22,10,689,paperN,MELD_lambda1,0.995064763993161
22,10,689,paperN,EUR,0.992613968374881
22,10,689,paperN,EAS,0.877584968030945
22,10,689,paperN,AFR,0.835607212364908
22,10,689,paperN,CSA,0.937875507248248
22,10,689,paperN,AMR,0.967152521956057
22,10,689,afproj,MELD_lambda0,0.995811674071575
22,10,689,afproj,MELD_lambda1,0.995089623426352
22,10,689,afproj,EUR,0.992613968374881
22,10,689,afproj,EAS,0.877584968030945
22,10,689,afproj,AFR,0.835607212364908
22,10,689,afproj,CSA,0.937875507248248
22,10,689,afproj,AMR,0.967152521956057
22,11,437,paperN,MELD_lambda0,0.99158580344859
22,11,437,paperN,MELD_lambda1,0.992636728416602
22,11,437,paperN,EUR,0.985362687686137
22,11,437,paperN,EAS,0.947907956087074
22,11,437,paperN,AFR,0.866493037025485
22,11,437,paperN,CSA,0.969238975104317
22,11,437,paperN,AMR,0.966224607745295
22,11,437,afproj,MELD_lambda0,0.991641908273822
22,11,437,afproj,MELD_lambda1,0.992610908648149
22,11,437,afproj,EUR,0.985362687686137
22,11,437,afproj,EAS,0.947907956087074
22,11,437,afproj,AFR,0.866493037025485
22,11,437,afproj,CSA,0.969238975104317
22,11,437,afproj,AMR,0.966224607745295
22,12,1159,paperN,MELD_lambda0,0.970277445193642
22,12,1159,paperN,MELD_lambda1,0.980169070231551
22,12,1159,paperN,EUR,0.943688247586869
22,12,1159,paperN,EAS,0.880870429167521
22,12,1159,paperN,AFR,0.739608425506622
22,12,1159,paperN,CSA,0.937385578465238
22,12,1159,paperN,AMR,0.88482406884964
22,12,1159,afproj,MELD_lambda0,0.9690771579215
22,12,1159,afproj,MELD_lambda1,0.979531455212346
22,12,1159,afproj,EUR,0.943688247586869
22,12,1159,afproj,EAS,0.880870429167521
22,12,1159,afproj,AFR,0.739608425506622
22,12,1159,afproj,CSA,0.937385578465238
22,12,1159,afproj,AMR,0.88482406884964
22,13,618,paperN,MELD_lambda0,0.986812020605017
22,13,618,paperN,MELD_lambda1,0.987404312825077
22,13,618,paperN,EUR,0.966735103010791
22,13,618,paperN,EAS,0.919070779564787
22,13,618,paperN,AFR,0.853477860814856
22,13,618,paperN,CSA,0.940491286144356
22,13,618,paperN,AMR,0.9533991241817
22,13,618,afproj,MELD_lambda0,0.986784328758647
22,13,618,afproj,MELD_lambda1,0.98725100084519
22,13,618,afproj,EUR,0.966735103010791
22,13,618,afproj,EAS,0.919070779564787
22,13,618,afproj,AFR,0.853477860814856
22,13,618,afproj,CSA,0.940491286144356
22,13,618,afproj,AMR,0.9533991241817
22,14,1069,paperN,MELD_lambda0,0.959013972905048
22,14,1069,paperN,MELD_lambda1,0.958461758606164
22,14,1069,paperN,EUR,0.948287149989294
22,14,1069,paperN,EAS,0.896669618596994
22,14,1069,paperN,AFR,0.716046015944302
22,14,1069,paperN,CSA,0.948710079113418
22,14,1069,paperN,AMR,0.879404772149339
22,14,1069,afproj,MELD_lambda0,0.958158157184738
22,14,1069,afproj,MELD_lambda1,0.957715808656238
22,14,1069,afproj,EUR,0.948287149989294
22,14,1069,afproj,EAS,0.896669618596994
22,14,1069,afproj,AFR,0.716046015944302
22,14,1069,afproj,CSA,0.948710079113418
22,14,1069,afproj,AMR,0.879404772149339
22,15,710,paperN,MELD_lambda0,0.984649149430313
22,15,710,paperN,MELD_lambda1,0.986616427393115
22,15,710,paperN,EUR,0.984996244593368
22,15,710,paperN,EAS,0.8317615154896
22,15,710,paperN,AFR,0.864021676616964
22,15,710,paperN,CSA,0.964584862655994
22,15,710,paperN,AMR,0.942485966574935
22,15,710,afproj,MELD_lambda0,0.984321648213105
22,15,710,afproj,MELD_lambda1,0.986211694556987
22,15,710,afproj,EUR,0.984996244593368
22,15,710,afproj,EAS,0.8317615154896
22,15,710,afproj,AFR,0.864021676616964
22,15,710,afproj,CSA,0.964584862655994
22,15,710,afproj,AMR,0.942485966574935
22,16,417,paperN,MELD_lambda0,0.984413929892614
22,16,417,paperN,MELD_lambda1,0.985713110919493
22,16,417,paperN,EUR,0.983788154739513
22,16,417,paperN,EAS,0.88335979538148
22,16,417,paperN,AFR,0.832505578442363
22,16,417,paperN,CSA,0.964651000971802
22,16,417,paperN,AMR,0.959266390330933
22,16,417,afproj,MELD_lambda0,0.984115449967941
22,16,417,afproj,MELD_lambda1,0.985542095505144
22,16,417,afproj,EUR,0.983788154739513
22,16,417,afproj,EAS,0.88335979538148
22,16,417,afproj,AFR,0.832505578442363
22,16,417,afproj,CSA,0.964651000971802
22,16,417,afproj,AMR,0.959266390330933
22,17,615,paperN,MELD_lambda0,0.996897895053045
22,17,615,paperN,MELD_lambda1,0.996262758896484
22,17,615,paperN,EUR,0.992369836186767
22,17,615,paperN,EAS,0.887089357565528
22,17,615,paperN,AFR,0.774071042072966
22,17,615,paperN,CSA,0.980598218746744
22,17,615,paperN,AMR,0.98380862145371
22,17,615,afproj,MELD_lambda0,0.996855172657813
