trait,chr,block_id,m,candidate,min_eig_pre,min_eig_post
Asthma,22,1,157,MELD_lambda0_afproj,-0.000732184260735154,-8.07034171692616e-16
Asthma,22,1,157,MELD_lambda0_reportN,-0.000673187831453415,-1.16323116256636e-15
Asthma,22,1,157,MELD_lambda0_equal,-5.2974025664541e-05,-7.03638794772246e-16
Asthma,22,1,157,MELD_lambda1_afproj,-0.000658628770265088,-3.5390125538892e-16
Asthma,22,1,157,EUR,-0.00421301361219079,-2.1250729313322e-15
Asthma,22,1,157,EAS,-0.00155702405047146,-1.0863774992675e-15
Asthma,22,1,157,AFR,-0.000780253260729816,-1.00613070000633e-15
Asthma,22,1,157,CSA,-0.000582937944076116,-2.3052227553021e-15
Asthma,22,1,157,AMR,-0.000139934433009576,-1.61464849953183e-15
Asthma,22,2,217,MELD_lambda0_afproj,-1.46550218027499e-05,-9.20752857448826e-16
Asthma,22,2,217,MELD_lambda0_reportN,-1.31229254262746e-05,-8.80457505888049e-16
Asthma,22,2,217,MELD_lambda0_equal,-0.000107249764483567,-9.87807084526916e-16
Asthma,22,2,217,MELD_lambda1_afproj,-1.42644455850522e-05,-1.0130896057418e-15
Asthma,22,2,217,EUR,-0.00164033461304693,-1.1871584384873e-15
Asthma,22,2,217,EAS,-0.00960633009402814,-3.12458737072942e-15
Asthma,22,2,217,AFR,-5.44690177234354e-16,-7.16647162308205e-16
Asthma,22,2,217,CSA,-0.00269222919563355,-1.28711291106709e-15
Asthma,22,2,217,AMR,-0.0109322305180764,-1.90483692905151e-15
Asthma,22,3,572,MELD_lambda0_afproj,-0.0260149914496889,-2.73480768843321e-15
Asthma,22,3,572,MELD_lambda0_reportN,-0.0249041459081209,-2.12623802693941e-15
Asthma,22,3,572,MELD_lambda0_equal,-0.0208363440768591,-3.60956097318904e-15
Asthma,22,3,572,MELD_lambda1_afproj,-0.0254759146054482,-2.87436078535857e-15
Asthma,22,3,572,EUR,-0.0286040312435301,-3.43798135674391e-15
Asthma,22,3,572,EAS,-0.0558066337152001,-3.76004038733832e-15
Asthma,22,3,572,AFR,-0.104948645667131,-2.70501127436932e-15
Asthma,22,3,572,CSA,-0.0194833811772154,-3.51383941215021e-15
Asthma,22,3,572,AMR,-0.0545748427046058,-5.72878295139547e-15
Asthma,22,4,594,MELD_lambda0_afproj,-0.0356197069781541,-3.51000249876265e-15
Asthma,22,4,594,MELD_lambda0_reportN,-0.0344759684476137,-3.43037802412796e-15
Asthma,22,4,594,MELD_lambda0_equal,-0.0249605363519939,-2.5251217747563e-15
Asthma,22,4,594,MELD_lambda1_afproj,-0.0346275940243588,-3.7154294054137e-15
Asthma,22,4,594,EUR,-0.0388026092623904,-5.55379051763349e-15
Asthma,22,4,594,EAS,-0.0642009791820729,-6.54459044477058e-15
Asthma,22,4,594,AFR,-0.0365738735164983,-1.99334683410052e-15
Asthma,22,4,594,CSA,-0.0659506019443429,-4.28468669375421e-15
Asthma,22,4,594,AMR,-0.0541782419815326,-6.58367727180124e-15
Asthma,22,5,249,MELD_lambda0_afproj,-0.000474332552034838,-1.04036342016179e-15
Asthma,22,5,249,MELD_lambda0_reportN,-0.000354669008217216,-1.13657857431998e-15
Asthma,22,5,249,MELD_lambda0_equal,-0.000968254984935511,-1.46261714986916e-15
Asthma,22,5,249,MELD_lambda1_afproj,-0.000427116741730528,-1.31811018160701e-15
Asthma,22,5,249,EUR,-0.0029350187981367,-2.14281348805066e-15
Asthma,22,5,249,EAS,-0.00742184235927504,-2.39792819442115e-15
Asthma,22,5,249,AFR,-0.00620802036961201,-9.96981926808897e-16
Asthma,22,5,249,CSA,-0.00687686477542175,-2.23628584610386e-15
Asthma,22,5,249,AMR,-0.00688001717512289,-1.73698558880693e-15
Asthma,22,6,360,MELD_lambda0_afproj,-0.014618005322172,-8.56274463021319e-16
Asthma,22,6,360,MELD_lambda0_reportN,-0.0137985293415335,-9.80271288792178e-16
Asthma,22,6,360,MELD_lambda0_equal,-0.00403773312380744,-1.09126902408979e-15
Asthma,22,6,360,MELD_lambda1_afproj,-0.0141172687969294,-1.1545363265404e-15
Asthma,22,6,360,EUR,-0.021751991141468,-4.08806145562313e-15
Asthma,22,6,360,EAS,-0.0176624111512418,-2.2185145132448e-15
Asthma,22,6,360,AFR,-0.00989293021547339,-1.71741980247352e-15
Asthma,22,6,360,CSA,-0.02508327122991,-2.14111427803466e-15
Asthma,22,6,360,AMR,-0.036595070393169,-3.09049947156953e-15
Asthma,22,7,678,MELD_lambda0_afproj,-0.0425670080015228,-1.84801780385465e-15
Asthma,22,7,678,MELD_lambda0_reportN,-0.0384108525936575,-1.19885002917851e-15
Asthma,22,7,678,MELD_lambda0_equal,-0.000789282422099244,-1.53517365206778e-15
Asthma,22,7,678,MELD_lambda1_afproj,-0.0396359334068423,-2.20579385859612e-15
Asthma,22,7,678,EUR,-0.0938527412493733,-3.27543672036604e-15
Asthma,22,7,678,EAS,-0.0774626602152189,-4.17846970386342e-15
Asthma,22,7,678,AFR,-0.0760748170916487,-1.91894313238656e-15
Asthma,22,7,678,CSA,-0.0674244598220015,-2.24123551789917e-15
Asthma,22,7,678,AMR,-0.128278878288163,-8.19210378168418e-15
Asthma,22,8,647,MELD_lambda0_afproj,-0.0439857838083449,-1.03953331098632e-15
Asthma,22,8,647,MELD_lambda0_reportN,-0.0413780616404553,-1.53908559865151e-15
Asthma,22,8,647,MELD_lambda0_equal,-0.0248953012848947,-7.64614157931378e-16
Asthma,22,8,647,MELD_lambda1_afproj,-0.041460665388692,-1.05821986548003e-15
Asthma,22,8,647,EUR,-0.0503407250867539,-2.22693248278353e-15
Asthma,22,8,647,EAS,-0.185523399230188,-2.21366382418299e-15
Asthma,22,8,647,AFR,-0.0575205801971918,-1.64240306840041e-15
Asthma,22,8,647,CSA,-0.056814791660707,-2.16260559601797e-15
Asthma,22,8,647,AMR,-0.157690012021589,-4.25054446568524e-15
Asthma,22,9,593,MELD_lambda0_afproj,-0.0129915383211973,-1.52070216825655e-15
Asthma,22,9,593,MELD_lambda0_reportN,-0.0121025680246634,-2.04835576936623e-15
Asthma,22,9,593,MELD_lambda0_equal,-0.00577238682461241,-5.65975137568485e-16
Asthma,22,9,593,MELD_lambda1_afproj,-0.0123606909601895,-1.8182059500609e-15
Asthma,22,9,593,EUR,-0.0497616772036649,-3.12262398709663e-15
Asthma,22,9,593,EAS,-0.0429852305670036,-3.57474729699166e-15
Asthma,22,9,593,AFR,-0.0438084446588425,-2.10034479560133e-15
Asthma,22,9,593,CSA,-0.02645332687364,-3.87286820769899e-15
Asthma,22,9,593,AMR,-0.0632289315747813,-5.33578329331433e-15
Asthma,22,10,517,MELD_lambda0_afproj,-0.0262426528324021,-2.48212542960243e-15
Asthma,22,10,517,MELD_lambda0_reportN,-0.0258874113865244,-1.70635334994669e-15
Asthma,22,10,517,MELD_lambda0_equal,-0.0711886509388842,-1.5061848192167e-15
Asthma,22,10,517,MELD_lambda1_afproj,-0.0253343462576655,-2.08421271389945e-15
Asthma,22,10,517,EUR,-0.0320433954887784,-4.0215521660818e-15
Asthma,22,10,517,EAS,-0.104634203456329,-3.82768469974301e-15
Asthma,22,10,517,AFR,-0.129955784074334,-2.21589370382926e-15
Asthma,22,10,517,CSA,-0.2383559978391,-2.58907905805306e-15
Asthma,22,10,517,AMR,-0.186685182265712,-3.58494098023958e-15
Asthma,22,11,369,MELD_lambda0_afproj,-0.117047289809521,-2.02819731436326e-15
Asthma,22,11,369,MELD_lambda0_reportN,-0.113999809018002,-1.70017127077344e-15
Asthma,22,11,369,MELD_lambda0_equal,-0.0459979601065666,-1.52536220566486e-15
Asthma,22,11,369,MELD_lambda1_afproj,-0.108865694944332,-1.79531347073514e-15
Asthma,22,11,369,EUR,-0.150546329516047,-3.03908222919496e-15
Asthma,22,11,369,EAS,-0.132015638695189,-2.71224388799795e-15
Asthma,22,11,369,AFR,-0.035229996251929,-1.90186454456004e-15
Asthma,22,11,369,CSA,-0.141563037271625,-3.18331485428222e-15
Asthma,22,11,369,AMR,-0.148112430416502,-5.37721562043638e-15
Asthma,22,12,836,MELD_lambda0_afproj,-0.126672754427228,-1.72701552003702e-15
Asthma,22,12,836,MELD_lambda0_reportN,-0.124667278100971,-4.11510473089503e-15
Asthma,22,12,836,MELD_lambda0_equal,-0.0621346263842911,-1.25042148478254e-15
Asthma,22,12,836,MELD_lambda1_afproj,-0.119187757917091,-2.89905563952733e-15
Asthma,22,12,836,EUR,-0.178396877682381,-2.73000694912262e-15
Asthma,22,12,836,EAS,-0.153628169304883,-3.15874256816836e-15
Asthma,22,12,836,AFR,-0.123009608686965,-4.11031651778896e-15
Asthma,22,12,836,CSA,-0.183103836898695,-3.55286033253483e-15
Asthma,22,12,836,AMR,-0.287601929942605,-1.59080306853733e-14
Asthma,22,13,510,MELD_lambda0_afproj,-0.0184283437284454,-1.80546680249537e-15
Asthma,22,13,510,MELD_lambda0_reportN,-0.0178024891884307,-2.65223351809469e-15
Asthma,22,13,510,MELD_lambda0_equal,-0.0124446255768621,-8.04937926262216e-16
Asthma,22,13,510,MELD_lambda1_afproj,-0.0174821948511462,-1.65683341597229e-15
Asthma,22,13,510,EUR,-0.0272132298285317,-3.38093627015735e-15
Asthma,22,13,510,EAS,-0.0195347265698128,-3.67034905406026e-15
Asthma,22,13,510,AFR,-0.0346554663696508,-1.13795261345395e-15
Asthma,22,13,510,CSA,-0.0240397004561466,-4.23947962685422e-15
Asthma,22,13,510,AMR,-0.0545084774185825,-4.9918514215781e-15
Asthma,22,14,706,MELD_lambda0_afproj,-0.181848360737289,-1.93632173981125e-15
Asthma,22,14,706,MELD_lambda0_reportN,-0.178077961029259,-1.63947171358419e-15
Asthma,22,14,706,MELD_lambda0_equal,-0.0734854926529772,-1.25849351087014e-15
Asthma,22,14,706,MELD_lambda1_afproj,-0.160395761607199,-3.0652050646004e-15
Asthma,22,14,706,EUR,-0.300912896238592,-5.23868002430571e-15
Asthma,22,14,706,EAS,-0.0335320222533909,-7.25028122471173e-15
Asthma,22,14,706,AFR,-0.0530258796033992,-3.05900652180683e-15
Asthma,22,14,706,CSA,-0.26474397153389,-4.92904800000997e-15
Asthma,22,14,706,AMR,-0.378234670760749,-6.51232354591773e-15
Asthma,22,15,513,MELD_lambda0_afproj,-0.172543445595411,-2.63957087916498e-15
Asthma,22,15,513,MELD_lambda0_reportN,-0.171535956714941,-1.9691649485423e-15
Asthma,22,15,513,MELD_lambda0_equal,-0.156773303953745,-1.18585328962576e-15
Asthma,22,15,513,MELD_lambda1_afproj,-0.166463321413167,-2.29300120730221e-15
Asthma,22,15,513,EUR,-0.209393882907658,-3.53540822043365e-15
Asthma,22,15,513,EAS,-0.34682153074506,-3.35186198512178e-15
Asthma,22,15,513,AFR,-0.287369328107286,-2.08920619621294e-15
Asthma,22,15,513,CSA,-0.21368950587583,-5.06893577995635e-15
Asthma,22,15,513,AMR,-0.299349851780222,-8.78405518984646e-15
Asthma,22,16,310,MELD_lambda0_afproj,-0.00117075181250351,-7.8040682681225e-16
Asthma,22,16,310,MELD_lambda0_reportN,-0.00108670460049848,-4.75621509071731e-16
Asthma,22,16,310,MELD_lambda0_equal,-6.73220403047709e-05,-3.01299062149922e-16
Asthma,22,16,310,MELD_lambda1_afproj,-0.00110252934337771,-6.91570720744522e-16
Asthma,22,16,310,EUR,-0.00310333194767446,-1.39631801397132e-15
Asthma,22,16,310,EAS,-0.0192415081197902,-1.37333977145067e-15
Asthma,22,16,310,AFR,-0.00136527712242355,-7.72279052654348e-16
Asthma,22,16,310,CSA,-0.00647926139613623,-1.11203286966907e-15
Asthma,22,16,310,AMR,-0.0121386752349439,-1.05443207850413e-15
Asthma,22,17,448,MELD_lambda0_afproj,-0.0400554015045236,-3.78068582208966e-15
Asthma,22,17,448,MELD_lambda0_reportN,-0.0389551072971831,-7.70793873774501e-15
