comparison,diff_r,sd,lo95,hi95,txt
MELD_lambda0 − EUR,0.0396470977462267,0.0105306731795825,0.0193995808453573,0.059391415068055,"+0.0396 [+0.0194, +0.0594]"
MELD_lambda0 − EAS,0.115074911003724,0.0236916130439811,0.0681742435796342,0.162126883288279,"+0.1151 [+0.0682, +0.1621]"
MELD_lambda0 − AFR,0.033094019949257,0.0198838698376492,-0.00603026719564492,0.0703028348765374,"+0.0331 [-0.0060, +0.0703]"
MELD_lambda0 − CSA,0.0696671360839957,0.0200635430244417,0.0327521114002335,0.109166527312244,"+0.0697 [+0.0328, +0.1092]"
MELD_lambda0 − AMR,0.0522426712827563,0.0175034857834595,0.0191256405568633,0.0874399571308581,"+0.0522 [+0.0191, +0.0874]"
MELD_lambda0 − equal,0.00288692254310341,0.0105363890869852,-0.0172585944736453,0.02317812461382,"+0.0029 [-0.0173, +0.0232]"
equal − EUR,0.0367601752031232,0.0188571408601793,-0.000148079690010917,0.073210247060072,"+0.0368 [-0.0001, +0.0732]"
