chr,block_id,w_eur,af_bin,m_bin,af_bin_lo,af_bin_hi,delta,r2_l0,r2_l1,diff
22,1,0.75,1,85,0.000627294981640131,0.0852529676320248,0.001,0.642720079995584,0.638360691270339,-0.00435938872524488
22,1,0.75,1,85,0.000627294981640131,0.0852529676320248,0.01,0.641941903675549,0.638374216757338,-0.00356768691821041
22,1,0.75,1,85,0.000627294981640131,0.0852529676320248,0.1,0.655988111874051,0.655027132915579,-0.000960978958472802
22,1,0.75,2,85,0.0852529676320248,0.180294662197568,0.001,0.901614644706928,0.903713475713908,0.00209883100698005
22,1,0.75,2,85,0.0852529676320248,0.180294662197568,0.01,0.900257257510152,0.904489011188677,0.00423175367852446
22,1,0.75,2,85,0.0852529676320248,0.180294662197568,0.1,0.872202172612829,0.880532289322522,0.00833011670969253
22,1,0.75,3,85,0.180294662197568,0.48813166637524,0.001,0.329178672190713,0.35731489473957,0.0281362225488568
22,1,0.75,3,85,0.180294662197568,0.48813166637524,0.01,0.327190443253589,0.359804575339181,0.0326141320855918
22,1,0.75,3,85,0.180294662197568,0.48813166637524,0.1,0.36073516940361,0.420295325557457,0.059560156153847
22,1,0.5,1,85,0.000627294981640131,0.0852529676320248,0.001,0.202466163870409,0.159287683445372,-0.0431784804250372
22,1,0.5,1,85,0.000627294981640131,0.0852529676320248,0.01,0.152377022970266,0.122201934704713,-0.0301750882655535
22,1,0.5,1,85,0.000627294981640131,0.0852529676320248,0.1,0.158521816867806,0.134812530106663,-0.0237092867611428
22,1,0.5,2,85,0.0852529676320248,0.180294662197568,0.001,0.713565899156592,0.716692883713447,0.00312698455685567
22,1,0.5,2,85,0.0852529676320248,0.180294662197568,0.01,0.709546265685926,0.715026839672747,0.00548057398682134
22,1,0.5,2,85,0.0852529676320248,0.180294662197568,0.1,0.674674084963568,0.686212729740103,0.0115386447765351
22,1,0.5,3,85,0.180294662197568,0.48813166637524,0.001,0.431895001117168,0.435782212759716,0.00388721164254835
22,1,0.5,3,85,0.180294662197568,0.48813166637524,0.01,0.42018522981572,0.427015471155676,0.00683024133995675
22,1,0.5,3,85,0.180294662197568,0.48813166637524,0.1,0.40986403486276,0.433696489589981,0.0238324547272217
