chr,block_id,m,w_eur,candidate,delta,r2_pre,r2_post
22,3,715,0.75,EUR,0.1,0.866937289996328,0.869975663386954
22,3,715,0.75,AFR,0.001,0.0844278999632852,0.386721608400695
22,3,715,0.75,AFR,0.01,0.291277631102828,0.607329670040432
22,3,715,0.75,AFR,0.1,0.744788543850268,0.74705109866699
22,3,715,0.5,MELD_lambda0,0.001,0.647019863246364,0.69282371801694
22,3,715,0.5,MELD_lambda0,0.01,0.819656335681684,0.839866673133339
22,3,715,0.5,MELD_lambda0,0.1,0.728304515971145,0.84752566370188
22,3,715,0.5,MELD_lambda1,0.001,0.447706703902526,0.69682693579487
22,3,715,0.5,MELD_lambda1,0.01,0.807621889437626,0.827880314581066
22,3,715,0.5,MELD_lambda1,0.1,0.83326914922189,0.837756799725258
22,3,715,0.5,EUR,0.001,0.232215998331576,0.386738919380523
22,3,715,0.5,EUR,0.01,0.635528398858491,0.679154361767338
22,3,715,0.5,EUR,0.1,0.780821136367681,0.791811140314245
22,3,715,0.5,AFR,0.001,0.0584138341878723,0.401583385773736
22,3,715,0.5,AFR,0.01,0.235027769486251,0.544046494159614
22,3,715,0.5,AFR,0.1,0.696257797823755,0.696063920118297
22,3,715,0.5,MELD_pooled,0.001,0.065682146413323,0.482964985700821
22,3,715,0.5,MELD_pooled,0.01,0.762919343775027,0.809494203655969
22,3,715,0.5,MELD_pooled,0.1,0.837336986098929,0.837175314729427
22,3,715,0.25,MELD_lambda0,0.001,0.0510039961182046,0.631974073160649
22,3,715,0.25,MELD_lambda0,0.01,0.610830043057126,0.763079993329992
22,3,715,0.25,MELD_lambda0,0.1,0.806219372565838,0.80660490298337
22,3,715,0.25,MELD_lambda1,0.001,0.0829854399909076,0.641137210147027
22,3,715,0.25,MELD_lambda1,0.01,0.557758899140612,0.751851988255433
22,3,715,0.25,MELD_lambda1,0.1,0.793972004947919,0.795587692899566
22,3,715,0.25,EUR,0.001,0.186484251051754,0.377118716573221
22,3,715,0.25,EUR,0.01,0.609606986448247,0.660747322978556
22,3,715,0.25,EUR,0.1,0.767292391773799,0.781855090625559
22,3,715,0.25,AFR,0.001,0.0780272972852429,0.445647463855032
22,3,715,0.25,AFR,0.01,0.272353513419154,0.542893164220645
22,3,715,0.25,AFR,0.1,0.684533908547402,0.682283228034876
22,4,809,0.75,MELD_lambda0,0.001,0.423532028464703,0.943546807832167
22,4,809,0.75,MELD_lambda0,0.01,0.95634510998176,0.960211280047398
22,4,809,0.75,MELD_lambda0,0.1,0.957792558451014,0.957747133389676
22,4,809,0.75,MELD_lambda1,0.001,0.105646163007204,0.94248355312108
22,4,809,0.75,MELD_lambda1,0.01,0.954866289297575,0.957649517470002
22,4,809,0.75,MELD_lambda1,0.1,0.956349640788316,0.956308700585538
22,4,809,0.75,EUR,0.001,0.284731253121335,0.803606884857338
22,4,809,0.75,EUR,0.01,0.832802551421049,0.884809966459519
22,4,809,0.75,EUR,0.1,0.887735572607403,0.888201132960169
22,4,809,0.75,AFR,0.001,0.318310046329978,0.659663931346961
22,4,809,0.75,AFR,0.01,0.656403358255732,0.779216579266113
22,4,809,0.75,AFR,0.1,0.836310603938672,0.839513143456095
22,4,809,0.5,MELD_lambda0,0.001,0.676002833092077,0.864174957072143
22,4,809,0.5,MELD_lambda0,0.01,0.831446027630189,0.909129927693028
22,4,809,0.5,MELD_lambda0,0.1,0.921915354589649,0.921901119873764
22,4,809,0.5,MELD_lambda1,0.001,0.732217658539295,0.869032943733644
22,4,809,0.5,MELD_lambda1,0.01,0.313961722896183,0.908411414596739
22,4,809,0.5,MELD_lambda1,0.1,0.920613443400674,0.920591899668665
22,4,809,0.5,EUR,0.001,0.037292473462394,0.571860912058191
22,4,809,0.5,EUR,0.01,0.63523419212836,0.73590926709932
22,4,809,0.5,EUR,0.1,0.745792242406862,0.746639220085942
22,4,809,0.5,AFR,0.001,0.38108598263366,0.665355629783123
22,4,809,0.5,AFR,0.01,0.60977454617973,0.767715092220559
22,4,809,0.5,AFR,0.1,0.834018503912079,0.834999409717628
22,4,809,0.5,MELD_pooled,0.001,0.881240969922894,0.835525200863436
22,4,809,0.5,MELD_pooled,0.01,0.897128606354182,0.898195624349954
22,4,809,0.5,MELD_pooled,0.1,0.917902953562399,0.917930737182825
22,4,809,0.25,MELD_lambda0,0.001,0.741477761343013,0.81011055433261
22,4,809,0.25,MELD_lambda0,0.01,0.834267931403596,0.8560722669938
22,4,809,0.25,MELD_lambda0,0.1,0.887355582177464,0.887281194637765
22,4,809,0.25,MELD_lambda1,0.001,0.724306705561404,0.821822777253657
22,4,809,0.25,MELD_lambda1,0.01,0.853543208786162,0.864508864849857
22,4,809,0.25,MELD_lambda1,0.1,0.890405825474198,0.890371607433016
22,4,809,0.25,EUR,0.001,0.00990829289581306,0.427468114170327
22,4,809,0.25,EUR,0.01,0.512888252017315,0.634437661606219
22,4,809,0.25,EUR,0.1,0.65275458335945,0.653444007993727
22,4,809,0.25,AFR,0.001,0.435699050725615,0.652710357417912
22,4,809,0.25,AFR,0.01,0.593684147987247,0.757570201236289
22,4,809,0.25,AFR,0.1,0.83156843721686,0.831131078434838
22,5,417,0.75,MELD_lambda0,0.001,0.397528666650011,0.418791868698869
22,5,417,0.75,MELD_lambda0,0.01,0.505328126076585,0.504734852042682
22,5,417,0.75,MELD_lambda0,0.1,0.582858961143121,0.58284806167265
22,5,417,0.75,MELD_lambda1,0.001,0.392008290233568,0.410080530235907
22,5,417,0.75,MELD_lambda1,0.01,0.478041974680589,0.477628890299355
22,5,417,0.75,MELD_lambda1,0.1,0.563929582117922,0.563922177120719
22,5,417,0.75,EUR,0.001,0.0973496161901984,0.047709551489308
22,5,417,0.75,EUR,0.01,0.0635931594952461,0.242481466311253
22,5,417,0.75,EUR,0.1,0.0903417834147475,0.49145373490141
22,5,417,0.75,AFR,0.001,0.157710531451721,0.429447829441634
22,5,417,0.75,AFR,0.01,0.456352464096773,0.464896117643208
22,5,417,0.75,AFR,0.1,0.555538343022913,0.555460287055123
22,5,417,0.5,MELD_lambda0,0.001,0.127564405989761,0.47298753396058
22,5,417,0.5,MELD_lambda0,0.01,0.54455225916295,0.537784586227921
22,5,417,0.5,MELD_lambda0,0.1,0.596512360606299,0.596424812645059
22,5,417,0.5,MELD_lambda1,0.001,0.146043626805428,0.447961071421929
22,5,417,0.5,MELD_lambda1,0.01,0.505969357280726,0.498337102437904
22,5,417,0.5,MELD_lambda1,0.1,0.574085095641294,0.574003828258023
22,5,417,0.5,EUR,0.001,0.0691527182626377,0.02231552365859
22,5,417,0.5,EUR,0.01,0.0248947499993017,0.170769538931762
22,5,417,0.5,EUR,0.1,0.0553638060414075,0.428863364574706
22,5,417,0.5,AFR,0.001,0.114476297834092,0.416271793827073
22,5,417,0.5,AFR,0.01,0.480022779833921,0.495652911213921
22,5,417,0.5,AFR,0.1,0.594006145881216,0.5939400160211
22,5,417,0.5,MELD_pooled,0.001,0.100364935321153,0.44994192538234
22,5,417,0.5,MELD_pooled,0.01,0.469774624664548,0.512388042843628
22,5,417,0.5,MELD_pooled,0.1,0.579538416970278,0.579569560569848
22,5,417,0.25,MELD_lambda0,0.001,0.480403038658767,0.487750532467462
22,5,417,0.25,MELD_lambda0,0.01,0.469346398157583,0.556680689079365
22,5,417,0.25,MELD_lambda0,0.1,0.614845281471572,0.614676517729425
22,5,417,0.25,MELD_lambda1,0.001,0.469888009498309,0.474445741152845
22,5,417,0.25,MELD_lambda1,0.01,0.427009816096068,0.534473386975632
22,5,417,0.25,MELD_lambda1,0.1,0.604381266438351,0.604230725638774
22,5,417,0.25,EUR,0.001,0.0488416602564316,0.0232523757102965
22,5,417,0.25,EUR,0.01,0.0295629615710961,0.160693173401256
22,5,417,0.25,EUR,0.1,0.0558706333743565,0.413835855505934
22,5,417,0.25,AFR,0.001,0.0946947067210441,0.420224045408931
22,5,417,0.25,AFR,0.01,0.496893655134205,0.51482354948684
22,5,417,0.25,AFR,0.1,0.612327392473969,0.612391688009367
22,6,480,0.75,MELD_lambda0,0.001,0.869139466805232,0.875083450631468
22,6,480,0.75,MELD_lambda0,0.01,0.495423334035834,0.891604681981643
22,6,480,0.75,MELD_lambda0,0.1,0.888784576732653,0.888790881658633
22,6,480,0.75,MELD_lambda1,0.001,0.867146051973076,0.855804640806267
22,6,480,0.75,MELD_lambda1,0.01,0.866700043507696,0.882165731562168
22,6,480,0.75,MELD_lambda1,0.1,0.880237760103853,0.880239120513778
22,6,480,0.75,EUR,0.001,0.04465457457143,0.645805516279989
22,6,480,0.75,EUR,0.01,0.76258922338258,0.775562075344866
22,6,480,0.75,EUR,0.1,0.793885425087919,0.792922361516132
22,6,480,0.75,AFR,0.001,0.539487687832495,0.43461457308409
22,6,480,0.75,AFR,0.01,0.750379666780965,0.757327715814577
22,6,480,0.75,AFR,0.1,0.8657547548565,0.86713391448387
22,6,480,0.5,MELD_lambda0,0.001,0.224755193515173,0.772237634765817
22,6,480,0.5,MELD_lambda0,0.01,0.816836536992312,0.817840794527809
22,6,480,0.5,MELD_lambda0,0.1,0.808505878500713,0.808673411336365
22,6,480,0.5,MELD_lambda1,0.001,0.331512090525104,0.753070932434574
22,6,480,0.5,MELD_lambda1,0.01,0.802690084509139,0.803670118212483
22,6,480,0.5,MELD_lambda1,0.1,0.796851172159234,0.796929036469561
22,6,480,0.5,EUR,0.001,0.0231744510293325,0.424876962581002
22,6,480,0.5,EUR,0.01,0.536619330003612,0.530237545102741
22,6,480,0.5,EUR,0.1,0.556766524137461,0.554580474602454
22,6,480,0.5,AFR,0.001,0.609677844862358,0.451715909699131
22,6,480,0.5,AFR,0.01,0.719327183492018,0.73954486669949
22,6,480,0.5,AFR,0.1,0.805427244872982,0.807999724061541
22,6,480,0.5,MELD_pooled,0.001,0.719504922130902,0.784140952690013
22,6,480,0.5,MELD_pooled,0.01,0.808620317416923,0.816991906126449
22,6,480,0.5,MELD_pooled,0.1,0.801389103120995,0.801541182667289
22,6,480,0.25,MELD_lambda0,0.001,0.790558813916311,0.685882752837146
22,6,480,0.25,MELD_lambda0,0.01,0.778811618284094,0.785091670974834
22,6,480,0.25,MELD_lambda0,0.1,0.782589092034227,0.783417515235653
22,6,480,0.25,MELD_lambda1,0.001,0.789532728278077,0.675046325558659
22,6,480,0.25,MELD_lambda1,0.01,0.775104011944152,0.779441130755736
22,6,480,0.25,MELD_lambda1,0.1,0.774873456023951,0.775541888618391
22,6,480,0.25,EUR,0.001,0.0157739755113134,0.313882160227356
22,6,480,0.25,EUR,0.01,0.400497696107404,0.383376868660905
22,6,480,0.25,EUR,0.1,0.426106840426757,0.423550317542012
22,6,480,0.25,AFR,0.001,0.700516399630598,0.531173455077595
22,6,480,0.25,AFR,0.01,0.731410566595922,0.758689383485502
22,6,480,0.25,AFR,0.1,0.780524075036536,0.783721778714115
22,7,948,0.75,MELD_lambda0,0.001,0.228321376144118,0.577852520931951
22,7,948,0.75,MELD_lambda0,0.01,0.605292430303218,0.765282379471567
22,7,948,0.75,MELD_lambda0,0.1,0.788654380677985,0.795215088240834
22,7,948,0.75,MELD_lambda1,0.001,0.0381866327104031,0.575395216615345
22,7,948,0.75,MELD_lambda1,0.01,0.714980232509906,0.764157164923495
22,7,948,0.75,MELD_lambda1,0.1,0.796444480396966,0.802543757669602
22,7,948,0.75,EUR,0.001,0.0200388523732717,0.366601846998404
22,7,948,0.75,EUR,0.01,0.0841724805307549,0.570287997087904
22,7,948,0.75,EUR,0.1,0.681791469173486,0.708716476744253
22,7,948,0.75,AFR,0.001,0.0486388237462932,0.37299659364158
22,7,948,0.75,AFR,0.01,0.306866312322414,0.506577024377736
22,7,948,0.75,AFR,0.1,0.311571948327069,0.587467298482585
22,7,948,0.5,MELD_lambda0,0.001,0.120533330993547,0.500309957089164
22,7,948,0.5,MELD_lambda0,0.01,0.650478405502573,0.654621977405794
22,7,948,0.5,MELD_lambda0,0.1,0.65627000498956,0.683602165433593
22,7,948,0.5,MELD_lambda1,0.001,0.330933597159561,0.530423471019332
22,7,948,0.5,MELD_lambda1,0.01,0.0130879890754696,0.671579241216699
22,7,948,0.5,MELD_lambda1,0.1,0.682811723058051,0.693109835255746
22,7,948,0.5,EUR,0.001,0.0148800541968691,0.161824886421457
22,7,948,0.5,EUR,0.01,0.0739169651021404,0.362772648655843
22,7,948,0.5,EUR,0.1,0.483523597643501,0.516578644814341
22,7,948,0.5,AFR,0.001,0.0505890227933015,0.378620053495216
22,7,948,0.5,AFR,0.01,0.217519123675544,0.50372985153897
22,7,948,0.5,AFR,0.1,0.347889945905624,0.579918173929564
22,7,948,0.5,MELD_pooled,0.001,0.486761394615329,0.519816248547656
22,7,948,0.5,MELD_pooled,0.01,0.630084675892091,0.662793475578034
22,7,948,0.5,MELD_pooled,0.1,0.679048916351533,0.685125714001049
22,7,948,0.25,MELD_lambda0,0.001,0.00251773735118336,0.452899314536306
22,7,948,0.25,MELD_lambda0,0.01,0.578533511050687,0.608403812555837
22,7,948,0.25,MELD_lambda0,0.1,0.663296704557453,0.654971442009859
22,7,948,0.25,MELD_lambda1,0.001,0.211556076599903,0.487283591245956
22,7,948,0.25,MELD_lambda1,0.01,0.598738914512718,0.632739706641908
22,7,948,0.25,MELD_lambda1,0.1,0.669432585385794,0.661876665168372
22,7,948,0.25,EUR,0.001,0.0165331856089669,0.127187063264617
22,7,948,0.25,EUR,0.01,0.0797056849228208,0.326182216183295
22,7,948,0.25,EUR,0.1,0.428223957367989,0.471274417795279
22,7,948,0.25,AFR,0.001,0.0713920159286262,0.364003213147289
22,7,948,0.25,AFR,0.01,0.184366345073272,0.499457513758061
22,7,948,0.25,AFR,0.1,0.395152780509691,0.584761270271055
22,8,863,0.75,MELD_lambda0,0.001,0.451446371341883,0.66806154280872
22,8,863,0.75,MELD_lambda0,0.01,0.722935586838851,0.823694757954628
22,8,863,0.75,MELD_lambda0,0.1,0.839142548419902,0.841584810383085
22,8,863,0.75,MELD_lambda1,0.001,0.506021549744866,0.676647583822206
22,8,863,0.75,MELD_lambda1,0.01,0.744819397865869,0.826189167824767
22,8,863,0.75,MELD_lambda1,0.1,0.83909417719578,0.841468241088847
22,8,863,0.75,EUR,0.001,0.0564380431742538,0.259641742716562
22,8,863,0.75,EUR,0.01,0.384266724810821,0.481712451225919
