chr,block_id,m,w_eur,candidate,delta,r2_pre,r2_post
22,10,689,0.5,EUR,0.01,0.832393719307371,0.832745349241823
22,10,689,0.5,EUR,0.1,0.878303070761578,0.878835706186164
22,10,689,0.5,AFR,0.001,0.533932350646009,0.673132779476465
22,10,689,0.5,AFR,0.01,0.841711681942762,0.839806140993382
22,10,689,0.5,AFR,0.1,0.873814896458855,0.874027219736173
22,10,689,0.5,MELD_pooled,0.001,0.719671898837765,0.913475735597281
22,10,689,0.5,MELD_pooled,0.01,0.931290656746937,0.944473470350034
22,10,689,0.5,MELD_pooled,0.1,0.953822757603641,0.954104197288045
22,10,689,0.25,MELD_lambda0,0.001,0.843713606539719,0.853267911937492
22,10,689,0.25,MELD_lambda0,0.01,0.923397004495671,0.907461988873915
22,10,689,0.25,MELD_lambda0,0.1,0.922352386981605,0.924314989420569
22,10,689,0.25,MELD_lambda1,0.001,0.917327692045423,0.860867203063223
22,10,689,0.25,MELD_lambda1,0.01,0.927604386750213,0.905900721283486
22,10,689,0.25,MELD_lambda1,0.1,0.923375733705959,0.923492047843353
22,10,689,0.25,EUR,0.001,0.372686676570841,0.536920401410172
22,10,689,0.25,EUR,0.01,0.713710854945096,0.715032482313985
22,10,689,0.25,EUR,0.1,0.787176976891031,0.788513891615464
22,10,689,0.25,AFR,0.001,0.609885948017685,0.697965874553467
22,10,689,0.25,AFR,0.01,0.854932925844981,0.856350304260827
22,10,689,0.25,AFR,0.1,0.881868875222618,0.88262135129559
22,11,437,0.75,MELD_lambda0,0.001,0.945089164471033,0.949809375351412
22,11,437,0.75,MELD_lambda0,0.01,0.932556108880462,0.919052252144413
22,11,437,0.75,MELD_lambda0,0.1,0.895047340517767,0.894823061971016
22,11,437,0.75,MELD_lambda1,0.001,0.909798605556697,0.957958038225645
22,11,437,0.75,MELD_lambda1,0.01,0.925583079164648,0.918018732348353
22,11,437,0.75,MELD_lambda1,0.1,0.895285993203964,0.893299455404591
22,11,437,0.75,EUR,0.001,0.480546175803002,0.770727414037915
22,11,437,0.75,EUR,0.01,0.81440453837402,0.811408833440555
22,11,437,0.75,EUR,0.1,0.800492566366563,0.804048168927361
22,11,437,0.75,AFR,0.001,0.438458890304847,0.631400165940252
22,11,437,0.75,AFR,0.01,0.747130279267561,0.713819008352937
22,11,437,0.75,AFR,0.1,0.803127146133051,0.806515144231293
22,11,437,0.5,MELD_lambda0,0.001,0.879639062672795,0.945294196947405
22,11,437,0.5,MELD_lambda0,0.01,0.151206775185009,0.933178902268728
22,11,437,0.5,MELD_lambda0,0.1,0.904426309536169,0.904659493081283
22,11,437,0.5,MELD_lambda1,0.001,0.937026564099872,0.94654252730869
22,11,437,0.5,MELD_lambda1,0.01,0.917523217119015,0.932731677731148
22,11,437,0.5,MELD_lambda1,0.1,0.903636129097625,0.903434159521372
22,11,437,0.5,EUR,0.001,0.258637342817878,0.521096472198017
22,11,437,0.5,EUR,0.01,0.62378876864631,0.615482049632804
22,11,437,0.5,EUR,0.1,0.619026497487316,0.625775040465606
22,11,437,0.5,AFR,0.001,0.746925630325106,0.737950710363665
22,11,437,0.5,AFR,0.01,0.839878592092902,0.814220742924784
22,11,437,0.5,AFR,0.1,0.858553081932851,0.863329406389163
22,11,437,0.5,MELD_pooled,0.001,0.941627063923699,0.922946332737914
22,11,437,0.5,MELD_pooled,0.01,0.890307148605193,0.929265203387336
22,11,437,0.5,MELD_pooled,0.1,0.905108690461302,0.904776161859791
22,11,437,0.25,MELD_lambda0,0.001,0.847542275041496,0.940289717144003
22,11,437,0.25,MELD_lambda0,0.01,0.0279980183852622,0.936139458901417
22,11,437,0.25,MELD_lambda0,0.1,0.908184735198407,0.908556551566769
22,11,437,0.25,MELD_lambda1,0.001,0.794702401441798,0.947992419061993
22,11,437,0.25,MELD_lambda1,0.01,0.890909417602675,0.937986507931642
22,11,437,0.25,MELD_lambda1,0.1,0.907883233635218,0.908019283293081
22,11,437,0.25,EUR,0.001,0.248716115809104,0.414407381798889
22,11,437,0.25,EUR,0.01,0.546555078819997,0.537423535225693
22,11,437,0.25,EUR,0.1,0.55872112032256,0.567037196633794
22,11,437,0.25,AFR,0.001,0.913460691092401,0.78757688046758
22,11,437,0.25,AFR,0.01,0.884676884882587,0.867688237515135
22,11,437,0.25,AFR,0.1,0.875493579861423,0.879507525929608
22,12,1159,0.75,MELD_lambda0,0.001,0.0565083433605114,0.883758871221872
22,12,1159,0.75,MELD_lambda0,0.01,0.913000357032878,0.921684646719027
22,12,1159,0.75,MELD_lambda0,0.1,0.92602008903394,0.925560628925705
22,12,1159,0.75,MELD_lambda1,0.001,0.779800271355525,0.863779829907427
22,12,1159,0.75,MELD_lambda1,0.01,0.906123097923299,0.905131715759623
22,12,1159,0.75,MELD_lambda1,0.1,0.912084132599594,0.911865012578735
22,12,1159,0.75,EUR,0.001,0.177137458724008,0.729588923250364
22,12,1159,0.75,EUR,0.01,0.739250756657652,0.83363564602044
22,12,1159,0.75,EUR,0.1,0.837674980898485,0.843405559046322
22,12,1159,0.75,AFR,0.001,0.0518318299077032,0.590132768804416
22,12,1159,0.75,AFR,0.01,0.314186070941178,0.660636325443415
22,12,1159,0.75,AFR,0.1,0.684104297894932,0.686941226284754
22,12,1159,0.5,MELD_lambda0,0.001,0.0221146569857455,0.726566594854938
22,12,1159,0.5,MELD_lambda0,0.01,0.124020631277659,0.821827467186617
22,12,1159,0.5,MELD_lambda0,0.1,0.85841744350581,0.858411182375789
22,12,1159,0.5,MELD_lambda1,0.001,0.525622842117248,0.726084623141994
22,12,1159,0.5,MELD_lambda1,0.01,0.815692457472013,0.817325136421791
22,12,1159,0.5,MELD_lambda1,0.1,0.84564364987521,0.845845266356169
22,12,1159,0.5,EUR,0.001,0.116850409640939,0.474523685453962
22,12,1159,0.5,EUR,0.01,0.471081128017002,0.621774525569569
22,12,1159,0.5,EUR,0.1,0.625526198185728,0.638342070071742
22,12,1159,0.5,AFR,0.001,0.0698282211099741,0.521465227117349
22,12,1159,0.5,AFR,0.01,0.415542283663075,0.630722419929692
22,12,1159,0.5,AFR,0.1,0.708932194690456,0.712610318927612
22,12,1159,0.5,MELD_pooled,0.001,0.382258487735099,0.673838233154274
22,12,1159,0.5,MELD_pooled,0.01,0.695806068506517,0.810802443026877
22,12,1159,0.5,MELD_pooled,0.1,0.846452704881911,0.847273349558734
22,12,1159,0.25,MELD_lambda0,0.001,0.231119654276999,0.611950092810771
22,12,1159,0.25,MELD_lambda0,0.01,0.0747555828886747,0.749068166875276
22,12,1159,0.25,MELD_lambda0,0.1,0.814605141761229,0.815065201491567
22,12,1159,0.25,MELD_lambda1,0.001,0.28735031484513,0.638028511002811
22,12,1159,0.25,MELD_lambda1,0.01,0.252211689078358,0.76205876621285
22,12,1159,0.25,MELD_lambda1,0.1,0.812414026263457,0.812709593605693
22,12,1159,0.25,EUR,0.001,0.10135768083482,0.368444102169858
22,12,1159,0.25,EUR,0.01,0.368819704704363,0.494093605007078
22,12,1159,0.25,EUR,0.1,0.496684676187204,0.508675616736452
22,12,1159,0.25,AFR,0.001,0.113244086239533,0.475139234288727
22,12,1159,0.25,AFR,0.01,0.483586412083978,0.604798509729043
22,12,1159,0.25,AFR,0.1,0.720504650815971,0.723337668166075
22,13,618,0.75,MELD_lambda0,0.001,0.889342340505862,0.906778783884995
22,13,618,0.75,MELD_lambda0,0.01,0.90566293285607,0.912714783554241
22,13,618,0.75,MELD_lambda0,0.1,0.914556180410388,0.914486918135613
22,13,618,0.75,MELD_lambda1,0.001,0.758065528833856,0.891799856335118
22,13,618,0.75,MELD_lambda1,0.01,0.88706160927631,0.901199682173522
22,13,618,0.75,MELD_lambda1,0.1,0.909188329850662,0.909122085079973
22,13,618,0.75,EUR,0.001,0.000735807059542448,0.634677710862163
22,13,618,0.75,EUR,0.01,0.58618533378625,0.74491822099463
22,13,618,0.75,EUR,0.1,0.423624439111437,0.745164926556738
22,13,618,0.75,AFR,0.001,0.55712354996354,0.760303779334614
22,13,618,0.75,AFR,0.01,0.816563409034465,0.83485757247839
22,13,618,0.75,AFR,0.1,0.864404196816242,0.863875883659228
22,13,618,0.5,MELD_lambda0,0.001,0.761918772017452,0.858234657049867
22,13,618,0.5,MELD_lambda0,0.01,0.852893463163305,0.863207073640685
22,13,618,0.5,MELD_lambda0,0.1,0.863851432571048,0.863828302083819
22,13,618,0.5,MELD_lambda1,0.001,0.681851995576098,0.831276537969462
22,13,618,0.5,MELD_lambda1,0.01,0.827660180107321,0.851239535309015
22,13,618,0.5,MELD_lambda1,0.1,0.860111718956954,0.860003563415564
22,13,618,0.5,EUR,0.001,0.00288280607770072,0.411771090743906
22,13,618,0.5,EUR,0.01,0.328730043406866,0.565567862474945
22,13,618,0.5,EUR,0.1,0.222481418073504,0.55522289731157
22,13,618,0.5,AFR,0.001,0.582857493526688,0.741676036121344
22,13,618,0.5,AFR,0.01,0.83968781747186,0.855391679470921
22,13,618,0.5,AFR,0.1,0.864172960115482,0.863630882350831
22,13,618,0.5,MELD_pooled,0.001,0.330799840026921,0.828238748059446
22,13,618,0.5,MELD_pooled,0.01,0.831251468690347,0.84813051530864
22,13,618,0.5,MELD_pooled,0.1,0.85856445647929,0.858666815759372
22,13,618,0.25,MELD_lambda0,0.001,0.0159080091553267,0.820291790447347
22,13,618,0.25,MELD_lambda0,0.01,0.662317215875878,0.843266196465363
22,13,618,0.25,MELD_lambda0,0.1,0.845764207302389,0.845694586914168
22,13,618,0.25,MELD_lambda1,0.001,0.568379078015653,0.800489391793617
22,13,618,0.25,MELD_lambda1,0.01,0.377817701163956,0.839875874293777
22,13,618,0.25,MELD_lambda1,0.1,0.847256752243072,0.847145035689873
22,13,618,0.25,EUR,0.001,0.00508514604638503,0.342323279874645
22,13,618,0.25,EUR,0.01,0.236369844630437,0.500555868610808
22,13,618,0.25,EUR,0.1,0.166854468482688,0.486118931415045
22,13,618,0.25,AFR,0.001,0.630861072304633,0.749892327680544
22,13,618,0.25,AFR,0.01,0.854063696026462,0.866836994460211
22,13,618,0.25,AFR,0.1,0.858622318930742,0.858334493087254
22,14,1069,0.75,MELD_lambda0,0.001,0.0249391086550533,0.847671770285782
22,14,1069,0.75,MELD_lambda0,0.01,0.929507130910724,0.933386700286139
22,14,1069,0.75,MELD_lambda0,0.1,0.953158040400738,0.953873818103321
22,14,1069,0.75,MELD_lambda1,0.001,0.0348109313550004,0.89859838504786
22,14,1069,0.75,MELD_lambda1,0.01,0.923450111981458,0.931958771781262
22,14,1069,0.75,MELD_lambda1,0.1,0.941918099011818,0.944938910126924
22,14,1069,0.75,EUR,0.001,0.00752231096061573,0.731348253035406
22,14,1069,0.75,EUR,0.01,0.279876712475805,0.852024199685422
22,14,1069,0.75,EUR,0.1,0.894667166735203,0.897523664778447
22,14,1069,0.75,AFR,0.001,0.143660201915738,0.653447261191851
22,14,1069,0.75,AFR,0.01,1.85871967161954e-09,0.79203379212389
22,14,1069,0.75,AFR,0.1,0.838335517401753,0.848756118119779
22,14,1069,0.5,MELD_lambda0,0.001,0.044913513557864,0.640302455804978
22,14,1069,0.5,MELD_lambda0,0.01,0.240483363014231,0.8280323833045
22,14,1069,0.5,MELD_lambda0,0.1,0.88384232832041,0.886286091870732
22,14,1069,0.5,MELD_lambda1,0.001,0.424963261567525,0.723334919035357
22,14,1069,0.5,MELD_lambda1,0.01,0.809993415625594,0.841113244114844
22,14,1069,0.5,MELD_lambda1,0.1,0.794939719208474,0.875967355610962
22,14,1069,0.5,EUR,0.001,0.0140176300679373,0.42812029349273
22,14,1069,0.5,EUR,0.01,0.0991915564223052,0.613243077102938
22,14,1069,0.5,EUR,0.1,0.732209830760886,0.735846059957077
22,14,1069,0.5,AFR,0.001,0.128931631289749,0.593996898458355
22,14,1069,0.5,AFR,0.01,0.00284625733886814,0.732569486659687
22,14,1069,0.5,AFR,0.1,0.800664284970779,0.800043358338105
22,14,1069,0.5,MELD_pooled,0.001,0.826659704977606,0.594498424479039
22,14,1069,0.5,MELD_pooled,0.01,0.847854866037051,0.801228532655872
22,14,1069,0.5,MELD_pooled,0.1,0.869289549862087,0.869453942005075
22,14,1069,0.25,MELD_lambda0,0.001,0.574518606800014,0.431685197282741
22,14,1069,0.25,MELD_lambda0,0.01,0.723956531776348,0.7080997600316
22,14,1069,0.25,MELD_lambda0,0.1,0.79190133936647,0.812678680120828
22,14,1069,0.25,MELD_lambda1,0.001,0.682191772166072,0.500435360684313
22,14,1069,0.25,MELD_lambda1,0.01,0.728154679172573,0.721897259811176
22,14,1069,0.25,MELD_lambda1,0.1,0.814423536846296,0.807612883448201
22,14,1069,0.25,EUR,0.001,0.0198895755959671,0.275968776561423
22,14,1069,0.25,EUR,0.01,0.0362906032346336,0.443205157313945
22,14,1069,0.25,EUR,0.1,0.592185292386728,0.5973469334362
22,14,1069,0.25,AFR,0.001,0.0939249716848254,0.509263347137115
22,14,1069,0.25,AFR,0.01,0.00714070013899135,0.661459077901696
22,14,1069,0.25,AFR,0.1,0.758495190204526,0.748700578360185
22,15,709,0.75,MELD_lambda0,0.001,0.917764818158904,0.885043619093056
22,15,709,0.75,MELD_lambda0,0.01,0.929715603123345,0.964672647005846
22,15,709,0.75,MELD_lambda0,0.1,0.905205414662365,0.95814669958806
22,15,709,0.75,MELD_lambda1,0.001,0.925188184023163,0.886932920106707
22,15,709,0.75,MELD_lambda1,0.01,0.941496958036001,0.961635113304692
22,15,709,0.75,MELD_lambda1,0.1,0.897728423888604,0.956043658901042
22,15,709,0.75,EUR,0.001,0.638596717278901,0.752187467298526
22,15,709,0.75,EUR,0.01,0.889897514911016,0.898199455524413
22,15,709,0.75,EUR,0.1,0.911781664922754,0.936457911661776
22,15,709,0.75,AFR,0.001,0.372356196677091,0.591865749580183
22,15,709,0.75,AFR,0.01,0.667523124674169,0.806397203512073
22,15,709,0.75,AFR,0.1,0.486033668064235,0.897360220757131
22,15,709,0.5,MELD_lambda0,0.001,0.439300367231903,0.805118201688978
22,15,709,0.5,MELD_lambda0,0.01,0.85191278577056,0.891525572036418
22,15,709,0.5,MELD_lambda0,0.1,0.219014161150145,0.882832381661078
22,15,709,0.5,MELD_lambda1,0.001,0.75768672989859,0.7855444496035
22,15,709,0.5,MELD_lambda1,0.01,0.807441031500123,0.883089115409828
22,15,709,0.5,MELD_lambda1,0.1,0.0341187529749425,0.87577745425821
22,15,709,0.5,EUR,0.001,0.330142560874349,0.434631504648269
22,15,709,0.5,EUR,0.01,0.66612264230647,0.687132129560979
22,15,709,0.5,EUR,0.1,0.751828648812237,0.792738596427618
22,15,709,0.5,AFR,0.001,0.211508102340877,0.532146875787758
22,15,709,0.5,AFR,0.01,0.630572141043095,0.745339156833409
22,15,709,0.5,AFR,0.1,0.349920240565893,0.844802992615181
22,15,709,0.5,MELD_pooled,0.001,0.00300751199599923,0.746587440680528
22,15,709,0.5,MELD_pooled,0.01,0.852217694295919,0.864679214414202
22,15,709,0.5,MELD_pooled,0.1,0.445929701771723,0.870267203033753
22,15,709,0.25,MELD_lambda0,0.001,0.499770089866981,0.706277211130112
22,15,709,0.25,MELD_lambda0,0.01,0.584618175427305,0.7933327115125
22,15,709,0.25,MELD_lambda0,0.1,0.621742552182597,0.802000629180208
22,15,709,0.25,MELD_lambda1,0.001,0.255455430260777,0.708584499052346
22,15,709,0.25,MELD_lambda1,0.01,0.72680526139759,0.79009183837632
22,15,709,0.25,MELD_lambda1,0.1,0.591094175464997,0.792534322524684
22,15,709,0.25,EUR,0.001,0.15931756888645,0.220639263540956
22,15,709,0.25,EUR,0.01,0.444039721453918,0.465134461095316
22,15,709,0.25,EUR,0.1,0.556679367882803,0.615306668440287
22,15,709,0.25,AFR,0.001,0.170554983710636,0.479260866548232
22,15,709,0.25,AFR,0.01,0.57987074586089,0.667673855461912
22,15,709,0.25,AFR,0.1,0.268641503393315,0.764841549606637
22,16,417,0.75,MELD_lambda0,0.001,0.966684875190288,0.976648442233124
22,16,417,0.75,MELD_lambda0,0.01,0.977317672303649,0.977296920205262
22,16,417,0.75,MELD_lambda0,0.1,0.97514550167952,0.975127965127647
22,16,417,0.75,MELD_lambda1,0.001,0.972552180731049,0.972925408071548
22,16,417,0.75,MELD_lambda1,0.01,0.975591545566408,0.975559987062406
22,16,417,0.75,MELD_lambda1,0.1,0.97417350408911,0.974153254985161
22,16,417,0.75,EUR,0.001,0.333376207492287,0.878180023814083
22,16,417,0.75,EUR,0.01,0.968996041924466,0.970999807946954
22,16,417,0.75,EUR,0.1,0.973442971754387,0.973254114664413
22,16,417,0.75,AFR,0.001,0.714865260420819,0.744197661699272
22,16,417,0.75,AFR,0.01,0.774723701080368,0.77462635450296
22,16,417,0.75,AFR,0.1,0.838928016096474,0.838914515160041
22,16,417,0.5,MELD_lambda0,0.001,0.915695939116804,0.913301459075302
22,16,417,0.5,MELD_lambda0,0.01,0.919592472959651,0.919563502018817
22,16,417,0.5,MELD_lambda0,0.1,0.91776111834215,0.917736654419421
22,16,417,0.5,MELD_lambda1,0.001,0.908083671428875,0.905944628100599
22,16,417,0.5,MELD_lambda1,0.01,0.914713175980592,0.914670371835428
22,16,417,0.5,MELD_lambda1,0.1,0.91374685401478,0.91371994946156
22,16,417,0.5,EUR,0.001,0.239121720821064,0.595996514438813
22,16,417,0.5,EUR,0.01,0.847183490390061,0.854728663134745
22,16,417,0.5,EUR,0.1,0.88805624665438,0.887313166838599
22,16,417,0.5,AFR,0.001,0.637716373057107,0.723113847215348
22,16,417,0.5,AFR,0.01,0.761200191813295,0.760273837033586
22,16,417,0.5,AFR,0.1,0.829485326032962,0.829453605056424
22,16,417,0.5,MELD_pooled,0.001,0.747260559457943,0.897020984662873
22,16,417,0.5,MELD_pooled,0.01,0.913342246777999,0.913561028050441
22,16,417,0.5,MELD_pooled,0.1,0.912667127446924,0.912634269844484
22,16,417,0.25,MELD_lambda0,0.001,0.772616040060156,0.806928414304265
22,16,417,0.25,MELD_lambda0,0.01,0.830496798769785,0.830614611447124
22,16,417,0.25,MELD_lambda0,0.1,0.835128637908426,0.835117375084214
22,16,417,0.25,MELD_lambda1,0.001,0.79197183222242,0.809111264073612
22,16,417,0.25,MELD_lambda1,0.01,0.828370495820163,0.828435162402339
22,16,417,0.25,MELD_lambda1,0.1,0.827989783709797,0.827977001544404
22,16,417,0.25,EUR,0.001,0.313082317552929,0.422972286614742
22,16,417,0.25,EUR,0.01,0.693117260011829,0.701310814254568
22,16,417,0.25,EUR,0.1,0.749386200850113,0.747863272245032
22,16,417,0.25,AFR,0.001,0.534031341277512,0.649217351028215
22,16,417,0.25,AFR,0.01,0.698719195755703,0.69720529230889
22,16,417,0.25,AFR,0.1,0.764227310696665,0.764187323420794
22,17,615,0.75,MELD_lambda0,0.001,0.232788527278344,0.966544911061583
22,17,615,0.75,MELD_lambda0,0.01,0.980531012623144,0.980040765638583
22,17,615,0.75,MELD_lambda0,0.1,0.985918863305453,0.98615221461319
22,17,615,0.75,MELD_lambda1,0.001,0.905613574295961,0.948512591883684
22,17,615,0.75,MELD_lambda1,0.01,0.95981455185119,0.977867772312397
22,17,615,0.75,MELD_lambda1,0.1,0.98213498290917,0.982951220844448
22,17,615,0.75,EUR,0.001,0.448402056619438,0.887764636325521
22,17,615,0.75,EUR,0.01,0.88725669827012,0.954884389717184
22,17,615,0.75,EUR,0.1,0.959784277100447,0.960246599233772
22,17,615,0.75,AFR,0.001,0.649716489726248,0.636973903644584
22,17,615,0.75,AFR,0.01,0.708146919081766,0.777547113798609
22,17,615,0.75,AFR,0.1,0.826341956363002,0.82901716141623
22,17,615,0.5,MELD_lambda0,0.001,0.900483045996756,0.892512407469349
22,17,615,0.5,MELD_lambda0,0.01,0.940197010488342,0.946016301909366
22,17,615,0.5,MELD_lambda0,0.1,0.963080662636589,0.964092572794121
22,17,615,0.5,MELD_lambda1,0.001,0.876717198529219,0.864076710666378
22,17,615,0.5,MELD_lambda1,0.01,0.947549177783262,0.940919575380421
22,17,615,0.5,MELD_lambda1,0.1,0.957280550274484,0.959212451747565
22,17,615,0.5,EUR,0.001,0.164945946718239,0.735334177186839
22,17,615,0.5,EUR,0.01,0.659177291728824,0.881978925445205
22,17,615,0.5,EUR,0.1,0.876547737226757,0.880751491510952
22,17,615,0.5,AFR,0.001,0.576571043539017,0.689424380979186
22,17,615,0.5,AFR,0.01,0.731770572781726,0.792132077141571
22,17,615,0.5,AFR,0.1,0.838094888623584,0.839855499425119
22,17,615,0.5,MELD_pooled,0.001,0.817688300771087,0.754330069183301
22,17,615,0.5,MELD_pooled,0.01,0.920874714779399,0.929660316627552
22,17,615,0.5,MELD_pooled,0.1,0.920676042716526,0.959487410313899
22,17,615,0.25,MELD_lambda0,0.001,0.727872385446975,0.802898410660825
22,17,615,0.25,MELD_lambda0,0.01,0.60279871065553,0.911856796896569
22,17,615,0.25,MELD_lambda0,0.1,0.93469324935525,0.936850942704695
22,17,615,0.25,MELD_lambda1,0.001,0.241558918078678,0.809765229041528
22,17,615,0.25,MELD_lambda1,0.01,0.00502790113204059,0.905464974045173
22,17,615,0.25,MELD_lambda1,0.1,0.928613792873548,0.930889901688743
22,17,615,0.25,EUR,0.001,0.0957307376474811,0.608064903120168
22,17,615,0.25,EUR,0.01,0.439122955011568,0.817637178801663
22,17,615,0.25,EUR,0.1,0.782883334827289,0.803754065547003
22,17,615,0.25,AFR,0.001,0.4927749606892,0.735789538143405
22,17,615,0.25,AFR,0.01,0.771101963295832,0.824165376430707
22,17,615,0.25,AFR,0.1,0.855230342343894,0.860469570947902
22,18,507,0.75,MELD_lambda0,0.001,0.14430981713679,0.930514366398629
22,18,507,0.75,MELD_lambda0,0.01,0.794501405015023,0.957683515737401
22,18,507,0.75,MELD_lambda0,0.1,0.944606513109536,0.944708358519429
22,18,507,0.75,MELD_lambda1,0.001,0.599354164898358,0.920908510806146
22,18,507,0.75,MELD_lambda1,0.01,0.153780476794268,0.948587947941482
22,18,507,0.75,MELD_lambda1,0.1,0.936387964126675,0.936552401816912
22,18,507,0.75,EUR,0.001,0.0319748783372689,0.718553804459775
22,18,507,0.75,EUR,0.01,0.869642803115375,0.905852886333397
22,18,507,0.75,EUR,0.1,0.911784416032125,0.912955740718568
22,18,507,0.75,AFR,0.001,0.462292993741074,0.665536802037117
22,18,507,0.75,AFR,0.01,0.704428159508651,0.84131298009104
22,18,507,0.75,AFR,0.1,0.829798215769242,0.818495999816602
22,18,507,0.5,MELD_lambda0,0.001,0.738177570899425,0.906061630623645
22,18,507,0.5,MELD_lambda0,0.01,0.93420923266728,0.940209854460931
22,18,507,0.5,MELD_lambda0,0.1,0.923851653928948,0.923600324480428
22,18,507,0.5,MELD_lambda1,0.001,0.705093812269149,0.878783686134208
22,18,507,0.5,MELD_lambda1,0.01,0.916929474179678,0.923051336114379
22,18,507,0.5,MELD_lambda1,0.1,0.909891071588928,0.909394376384383
22,18,507,0.5,EUR,0.001,0.00689855746254901,0.542448287200003
22,18,507,0.5,EUR,0.01,0.747348177654712,0.811824264505073
22,18,507,0.5,EUR,0.1,0.752244883835986,0.827630858535966
22,18,507,0.5,AFR,0.001,0.350576709792956,0.782433949033589
22,18,507,0.5,AFR,0.01,0.713079386396197,0.870945996280653
22,18,507,0.5,AFR,0.1,0.854506070213273,0.841617550955357
22,18,507,0.5,MELD_pooled,0.001,0.00289172666599859,0.705916346436224
22,18,507,0.5,MELD_pooled,0.01,0.919032516431035,0.905804301605879
22,18,507,0.5,MELD_pooled,0.1,0.910146266294325,0.909767413302981
22,18,507,0.25,MELD_lambda0,0.001,0.779786030117929,0.874910721650281
22,18,507,0.25,MELD_lambda0,0.01,0.902789726511245,0.920301290377077
22,18,507,0.25,MELD_lambda0,0.1,0.91047838386615,0.909045951768712
22,18,507,0.25,MELD_lambda1,0.001,0.755778198499864,0.868672729469328
22,18,507,0.25,MELD_lambda1,0.01,0.886141054946359,0.914108513816722
22,18,507,0.25,MELD_lambda1,0.1,0.902713724138222,0.900526713024193
22,18,507,0.25,EUR,0.001,0.00327471557644251,0.508878073958742
22,18,507,0.25,EUR,0.01,0.694078154866229,0.770163038950004
22,18,507,0.25,EUR,0.1,0.711595231717762,0.773690616008496
22,18,507,0.25,AFR,0.001,0.2883978856835,0.824133948941632
22,18,507,0.25,AFR,0.01,0.731221354299001,0.881215126165041
22,18,507,0.25,AFR,0.1,0.876731885290345,0.868242361046622
22,19,829,0.75,MELD_lambda0,0.001,0.559320736839712,0.772158738799368
22,19,829,0.75,MELD_lambda0,0.01,0.794342545812819,0.847423630303594
22,19,829,0.75,MELD_lambda0,0.1,0.859614218495034,0.859820443183579
22,19,829,0.75,MELD_lambda1,0.001,0.73436829044656,0.757737414192996
22,19,829,0.75,MELD_lambda1,0.01,0.809813392797377,0.832151289130538
22,19,829,0.75,MELD_lambda1,0.1,0.848350407772408,0.848603984043991
22,19,829,0.75,EUR,0.001,0.0214483787726135,0.512432020653248
22,19,829,0.75,EUR,0.01,0.192138948000468,0.636002124647308
22,19,829,0.75,EUR,0.1,0.702970685498862,0.705620629670821
22,19,829,0.75,AFR,0.001,0.044794439080371,0.328993250565284
22,19,829,0.75,AFR,0.01,0.0981221837234871,0.570356184106258
22,19,829,0.75,AFR,0.1,0.701480351166452,0.700421655326872
22,19,829,0.5,MELD_lambda0,0.001,0.0807761535133587,0.69852426813059
22,19,829,0.5,MELD_lambda0,0.01,0.780234975067649,0.812479132682669
22,19,829,0.5,MELD_lambda0,0.1,0.840523390268365,0.841170157897946
22,19,829,0.5,MELD_lambda1,0.001,0.388868920423407,0.708975699939846
22,19,829,0.5,MELD_lambda1,0.01,0.782177671471365,0.808454037978109
22,19,829,0.5,MELD_lambda1,0.1,0.840532214676103,0.84115259329014
22,19,829,0.5,EUR,0.001,0.0218714792840742,0.31870867183365
22,19,829,0.5,EUR,0.01,0.095756253105241,0.488226742830885
22,19,829,0.5,EUR,0.1,0.59410092855313,0.597522171553963
22,19,829,0.5,AFR,0.001,0.167077175059407,0.326456915918965
22,19,829,0.5,AFR,0.01,0.0564773635848109,0.604694664994928
22,19,829,0.5,AFR,0.1,0.728659146568546,0.72720398390249
22,19,829,0.5,MELD_pooled,0.001,0.555334140797953,0.548945338795905
22,19,829,0.5,MELD_pooled,0.01,0.274347484274241,0.720258208123819
22,19,829,0.5,MELD_pooled,0.1,0.816782188112368,0.82797329104142
22,19,829,0.25,MELD_lambda0,0.001,0.124832337259308,0.647991650041738
22,19,829,0.25,MELD_lambda0,0.01,0.662116798633726,0.784986087007058
22,19,829,0.25,MELD_lambda0,0.1,0.827311943053035,0.82885129737046
22,19,829,0.25,MELD_lambda1,0.001,0.0119474461132324,0.681178611335556
22,19,829,0.25,MELD_lambda1,0.01,0.686484671247445,0.798348225150283
22,19,829,0.25,MELD_lambda1,0.1,0.840863504247407,0.84244742407211
22,19,829,0.25,EUR,0.001,0.0336783713700792,0.265631129472691
22,19,829,0.25,EUR,0.01,0.142719117175662,0.444940627051073
22,19,829,0.25,EUR,0.1,0.569009712455937,0.571702705693627
22,19,829,0.25,AFR,0.001,0.270837000318518,0.335123981338408
22,19,829,0.25,AFR,0.01,0.0594360271804484,0.613101768759952
22,19,829,0.25,AFR,0.1,0.747233111433104,0.745571671143697
22,20,769,0.75,MELD_lambda0,0.001,0.917531494262253,0.901728392687133
22,20,769,0.75,MELD_lambda0,0.01,0.934170844704146,0.932879098789436
22,20,769,0.75,MELD_lambda0,0.1,0.944804205143252,0.944688413508765
22,20,769,0.75,MELD_lambda1,0.001,0.902404959046243,0.903009091858741
22,20,769,0.75,MELD_lambda1,0.01,0.928337437994636,0.929541548393371
22,20,769,0.75,MELD_lambda1,0.1,0.944864897800982,0.944640836830163
22,20,769,0.75,EUR,0.001,0.157336742951728,0.807748965124997
