chr,block_id,m,label,kind,r2
22,6,480,sweep_wEUR_0.30,sweep,0.974868985846108
22,6,480,sweep_wEUR_0.40,sweep,0.975554338270443
22,6,480,sweep_wEUR_0.50,sweep,0.975593997341201
22,6,480,sweep_wEUR_0.60,sweep,0.975017730935905
22,6,480,sweep_wEUR_0.70,sweep,0.973744035003994
22,6,480,sweep_wEUR_0.80,sweep,0.971449489857909
22,6,480,sweep_wEUR_0.90,sweep,0.966981736900132
22,6,480,sweep_wEUR_1.00,sweep,0.950946558834965
22,7,948,EUR_baseline,single_pop,0.871215124043928
22,7,948,paperN,true_weights,0.909730647313146
22,7,948,afproj,true_weights,0.908689053678328
22,7,948,equal,wrong_weight,0.917684664814809
22,7,948,scramble_swap_EUR_AFR,wrong_weight,0.832253076557974
22,7,948,scramble_cyclic,wrong_weight,0.865742120100632
22,7,948,sweep_wEUR_0.00,sweep,0.874549748356679
22,7,948,sweep_wEUR_0.10,sweep,0.904607766475641
22,7,948,sweep_wEUR_0.20,sweep,0.91299363890044
22,7,948,sweep_wEUR_0.30,sweep,0.916875270213171
22,7,948,sweep_wEUR_0.40,sweep,0.918370787860403
22,7,948,sweep_wEUR_0.50,sweep,0.918041831962485
22,7,948,sweep_wEUR_0.60,sweep,0.916074669025496
22,7,948,sweep_wEUR_0.70,sweep,0.912550876404108
22,7,948,sweep_wEUR_0.80,sweep,0.907568529443479
22,7,948,sweep_wEUR_0.90,sweep,0.900812464700066
22,7,948,sweep_wEUR_1.00,sweep,0.871215124043926
22,8,863,EUR_baseline,single_pop,0.808319696696616
22,8,863,paperN,true_weights,0.893237283171143
22,8,863,afproj,true_weights,0.893096668781502
22,8,863,equal,wrong_weight,0.883046924052255
22,8,863,scramble_swap_EUR_AFR,wrong_weight,0.780164780381236
22,8,863,scramble_cyclic,wrong_weight,0.826951513309701
22,8,863,sweep_wEUR_0.00,sweep,0.841948453498919
22,8,863,sweep_wEUR_0.10,sweep,0.873418723871826
22,8,863,sweep_wEUR_0.20,sweep,0.888630126033424
22,8,863,sweep_wEUR_0.30,sweep,0.896962824389224
22,8,863,sweep_wEUR_0.40,sweep,0.901339401823963
22,8,863,sweep_wEUR_0.50,sweep,0.903043230616398
22,8,863,sweep_wEUR_0.60,sweep,0.902462631335593
22,8,863,sweep_wEUR_0.70,sweep,0.899037727968094
22,8,863,sweep_wEUR_0.80,sweep,0.890951150224352
22,8,863,sweep_wEUR_0.90,sweep,0.873162775016857
22,8,863,sweep_wEUR_1.00,sweep,0.808319696696623
22,9,734,EUR_baseline,single_pop,0.956568732116216
22,9,734,paperN,true_weights,0.975177901987952
22,9,734,afproj,true_weights,0.975235584990603
22,9,734,equal,wrong_weight,0.961808603718785
22,9,734,scramble_swap_EUR_AFR,wrong_weight,0.847529486963918
22,9,734,scramble_cyclic,wrong_weight,0.905017671785157
22,9,734,sweep_wEUR_0.00,sweep,0.910998662658091
22,9,734,sweep_wEUR_0.10,sweep,0.944965914264681
22,9,734,sweep_wEUR_0.20,sweep,0.957999067862584
22,9,734,sweep_wEUR_0.30,sweep,0.965339248527582
22,9,734,sweep_wEUR_0.40,sweep,0.970001790621958
22,9,734,sweep_wEUR_0.50,sweep,0.973024683237807
22,9,734,sweep_wEUR_0.60,sweep,0.974862774221395
22,9,734,sweep_wEUR_0.70,sweep,0.975593275876671
22,9,734,sweep_wEUR_0.80,sweep,0.974978864217615
22,9,734,sweep_wEUR_0.90,sweep,0.971988445797226
22,9,734,sweep_wEUR_1.00,sweep,0.956568732116217
22,10,689,EUR_baseline,single_pop,0.98443929339128
22,10,689,paperN,true_weights,0.989891623357594
22,10,689,afproj,true_weights,0.989966073767164
22,10,689,equal,wrong_weight,0.981451945013437
22,10,689,scramble_swap_EUR_AFR,wrong_weight,0.950917155300509
22,10,689,scramble_cyclic,wrong_weight,0.944569873603853
22,10,689,sweep_wEUR_0.00,sweep,0.955822598009413
22,10,689,sweep_wEUR_0.10,sweep,0.973940681846146
22,10,689,sweep_wEUR_0.20,sweep,0.981155996345798
22,10,689,sweep_wEUR_0.30,sweep,0.985167294609042
22,10,689,sweep_wEUR_0.40,sweep,0.987610084446723
22,10,689,sweep_wEUR_0.50,sweep,0.98910065325099
22,10,689,sweep_wEUR_0.60,sweep,0.989905446594092
22,10,689,sweep_wEUR_0.70,sweep,0.99014061624896
22,10,689,sweep_wEUR_0.80,sweep,0.989878833134435
22,10,689,sweep_wEUR_0.90,sweep,0.989257917565341
22,10,689,sweep_wEUR_1.00,sweep,0.984439293399159
22,11,437,EUR_baseline,single_pop,0.951482682129314
22,11,437,paperN,true_weights,0.988998281614547
22,11,437,afproj,true_weights,0.989017707398888
22,11,437,equal,wrong_weight,0.974638305346901
22,11,437,scramble_swap_EUR_AFR,wrong_weight,0.941202003374144
22,11,437,scramble_cyclic,wrong_weight,0.931188215193227
22,11,437,sweep_wEUR_0.00,sweep,0.939628015961796
22,11,437,sweep_wEUR_0.10,sweep,0.955664151001139
22,11,437,sweep_wEUR_0.20,sweep,0.96649243967202
22,11,437,sweep_wEUR_0.30,sweep,0.97446113376326
22,11,437,sweep_wEUR_0.40,sweep,0.980289531012436
22,11,437,sweep_wEUR_0.50,sweep,0.984451412033004
22,11,437,sweep_wEUR_0.60,sweep,0.987250884327089
22,11,437,sweep_wEUR_0.70,sweep,0.98880297206733
22,11,437,sweep_wEUR_0.80,sweep,0.988881083304462
22,11,437,sweep_wEUR_0.90,sweep,0.986124919059029
22,11,437,sweep_wEUR_1.00,sweep,0.951482682129318
22,12,1159,EUR_baseline,single_pop,0.936838206229198
22,12,1159,paperN,true_weights,0.97418018447184
22,12,1159,afproj,true_weights,0.973530029202051
22,12,1159,equal,wrong_weight,0.969379307043299
22,12,1159,scramble_swap_EUR_AFR,wrong_weight,0.914839251111259
22,12,1159,scramble_cyclic,wrong_weight,0.918249227647979
22,12,1159,sweep_wEUR_0.00,sweep,0.936242091449016
22,12,1159,sweep_wEUR_0.10,sweep,0.948702276406827
22,12,1159,sweep_wEUR_0.20,sweep,0.956774924667216
22,12,1159,sweep_wEUR_0.30,sweep,0.963593935336565
22,12,1159,sweep_wEUR_0.40,sweep,0.968899329129331
22,12,1159,sweep_wEUR_0.50,sweep,0.972633919444499
22,12,1159,sweep_wEUR_0.60,sweep,0.974715330290013
22,12,1159,sweep_wEUR_0.70,sweep,0.974947337178772
22,12,1159,sweep_wEUR_0.80,sweep,0.972901592032805
22,12,1159,sweep_wEUR_0.90,sweep,0.967309935396665
22,12,1159,sweep_wEUR_1.00,sweep,0.936838206229199
22,13,618,EUR_baseline,single_pop,0.963729052504763
22,13,618,paperN,true_weights,0.981293484610331
22,13,618,afproj,true_weights,0.981216573168157
22,13,618,equal,wrong_weight,0.972843396405864
22,13,618,scramble_swap_EUR_AFR,wrong_weight,0.942238271779108
22,13,618,scramble_cyclic,wrong_weight,0.935918189510086
22,13,618,sweep_wEUR_0.00,sweep,0.950900342223875
22,13,618,sweep_wEUR_0.10,sweep,0.961119676188049
22,13,618,sweep_wEUR_0.20,sweep,0.967500797687693
22,13,618,sweep_wEUR_0.30,sweep,0.972163029632465
22,13,618,sweep_wEUR_0.40,sweep,0.975634133328825
22,13,618,sweep_wEUR_0.50,sweep,0.97818703912997
22,13,618,sweep_wEUR_0.60,sweep,0.979961590456022
22,13,618,sweep_wEUR_0.70,sweep,0.980992756498957
22,13,618,sweep_wEUR_0.80,sweep,0.981168081169082
22,13,618,sweep_wEUR_0.90,sweep,0.979833690886751
22,13,618,sweep_wEUR_1.00,sweep,0.963729052504762
22,14,1069,EUR_baseline,single_pop,0.966118570677152
22,14,1069,paperN,true_weights,0.979154886921052
22,14,1069,afproj,true_weights,0.978917039552166
22,14,1069,equal,wrong_weight,0.970091873238163
22,14,1069,scramble_swap_EUR_AFR,wrong_weight,0.893865689259175
22,14,1069,scramble_cyclic,wrong_weight,0.960988488286916
22,14,1069,sweep_wEUR_0.00,sweep,0.955450147149258
