trait,chr,block_id,candidate,delta,r2,m
Asthma,22,4,AMR,0.001,0.865573158963267,594
Asthma,22,4,MELD_lambda0_afproj,0.01,0.946038118958746,594
Asthma,22,4,MELD_lambda0_reportN,0.01,0.946021576884127,594
Asthma,22,4,MELD_lambda0_equal,0.01,0.935819824179283,594
Asthma,22,4,MELD_lambda1_afproj,0.01,0.945672326668582,594
Asthma,22,4,EUR,0.01,0.923069386333085,594
Asthma,22,4,EAS,0.01,0.783300783845683,594
Asthma,22,4,AFR,0.01,0.813716845516623,594
Asthma,22,4,CSA,0.01,0.886791653431202,594
Asthma,22,4,AMR,0.01,0.905842351982458,594
Asthma,22,4,MELD_lambda0_afproj,0.1,0.948495944984713,594
Asthma,22,4,MELD_lambda0_reportN,0.1,0.94818740969153,594
Asthma,22,4,MELD_lambda0_equal,0.1,0.934525064477695,594
Asthma,22,4,MELD_lambda1_afproj,0.1,0.947641210615386,594
Asthma,22,4,EUR,0.1,0.933493557201844,594
Asthma,22,4,EAS,0.1,0.812477776265783,594
Asthma,22,4,AFR,0.1,0.820831170502566,594
Asthma,22,4,CSA,0.1,0.897329775295034,594
Asthma,22,4,AMR,0.1,0.902320808392759,594
Asthma,22,5,MELD_lambda0_afproj,0.001,0.827115747062813,249
Asthma,22,5,MELD_lambda0_reportN,0.001,0.830177591772825,249
Asthma,22,5,MELD_lambda0_equal,0.001,0.844876309585576,249
Asthma,22,5,MELD_lambda1_afproj,0.001,0.823080651433664,249
Asthma,22,5,EUR,0.001,0.846257064815728,249
Asthma,22,5,EAS,0.001,0.710909909039753,249
Asthma,22,5,AFR,0.001,0.715221998316693,249
Asthma,22,5,CSA,0.001,0.765662231153369,249
Asthma,22,5,AMR,0.001,0.554344217750511,249
Asthma,22,5,MELD_lambda0_afproj,0.01,0.898408808873712,249
Asthma,22,5,MELD_lambda0_reportN,0.01,0.89630644201844,249
Asthma,22,5,MELD_lambda0_equal,0.01,0.863275551398159,249
Asthma,22,5,MELD_lambda1_afproj,0.01,0.89675035306037,249
Asthma,22,5,EUR,0.01,0.918860632095201,249
Asthma,22,5,EAS,0.01,0.821496376543811,249
Asthma,22,5,AFR,0.01,0.776197417442612,249
Asthma,22,5,CSA,0.01,0.845847197666571,249
Asthma,22,5,AMR,0.01,0.761793334409739,249
Asthma,22,5,MELD_lambda0_afproj,0.1,0.899309351002708,249
Asthma,22,5,MELD_lambda0_reportN,0.1,0.89824680442074,249
Asthma,22,5,MELD_lambda0_equal,0.1,0.876643742423833,249
Asthma,22,5,MELD_lambda1_afproj,0.1,0.900338287125933,249
Asthma,22,5,EUR,0.1,0.90012035232769,249
Asthma,22,5,EAS,0.1,0.859152710675052,249
Asthma,22,5,AFR,0.1,0.835508252450859,249
Asthma,22,5,CSA,0.1,0.872255505217687,249
Asthma,22,5,AMR,0.1,0.834065152131265,249
Asthma,22,6,MELD_lambda0_afproj,0.001,0.959697372770167,360
Asthma,22,6,MELD_lambda0_reportN,0.001,0.96037956095967,360
Asthma,22,6,MELD_lambda0_equal,0.001,0.939682938627836,360
Asthma,22,6,MELD_lambda1_afproj,0.001,0.953329244203013,360
Asthma,22,6,EUR,0.001,0.934360389075087,360
Asthma,22,6,EAS,0.001,0.811660590637756,360
Asthma,22,6,AFR,0.001,0.786147954240121,360
Asthma,22,6,CSA,0.001,0.892453484958566,360
Asthma,22,6,AMR,0.001,0.901368814048218,360
Asthma,22,6,MELD_lambda0_afproj,0.01,0.971150110820837,360
Asthma,22,6,MELD_lambda0_reportN,0.01,0.97102671900593,360
Asthma,22,6,MELD_lambda0_equal,0.01,0.95077119594928,360
Asthma,22,6,MELD_lambda1_afproj,0.01,0.96919595211314,360
Asthma,22,6,EUR,0.01,0.963629425194682,360
Asthma,22,6,EAS,0.01,0.890211243739526,360
Asthma,22,6,AFR,0.01,0.848850967853608,360
Asthma,22,6,CSA,0.01,0.926803016817417,360
Asthma,22,6,AMR,0.01,0.937470467139351,360
Asthma,22,6,MELD_lambda0_afproj,0.1,0.9688009707464,360
Asthma,22,6,MELD_lambda0_reportN,0.1,0.968561196356106,360
Asthma,22,6,MELD_lambda0_equal,0.1,0.949422309868083,360
Asthma,22,6,MELD_lambda1_afproj,0.1,0.967952767285472,360
Asthma,22,6,EUR,0.1,0.962899058322944,360
Asthma,22,6,EAS,0.1,0.923365381197432,360
Asthma,22,6,AFR,0.1,0.884512114512622,360
Asthma,22,6,CSA,0.1,0.936929062150007,360
Asthma,22,6,AMR,0.1,0.933886890693731,360
Asthma,22,7,MELD_lambda0_afproj,0.001,0.832024493220445,678
Asthma,22,7,MELD_lambda0_reportN,0.001,0.833044612721029,678
Asthma,22,7,MELD_lambda0_equal,0.001,0.841218720972678,678
Asthma,22,7,MELD_lambda1_afproj,0.001,0.819693571109563,678
Asthma,22,7,EUR,0.001,0.718530256738952,678
Asthma,22,7,EAS,0.001,0.646938206229051,678
Asthma,22,7,AFR,0.001,0.225167611655614,678
Asthma,22,7,CSA,0.001,0.526769994261021,678
Asthma,22,7,AMR,0.001,0.610856155286145,678
Asthma,22,7,MELD_lambda0_afproj,0.01,0.873083666208695,678
Asthma,22,7,MELD_lambda0_reportN,0.01,0.874358666892814,678
Asthma,22,7,MELD_lambda0_equal,0.01,0.844177822331958,678
Asthma,22,7,MELD_lambda1_afproj,0.01,0.870450651547317,678
Asthma,22,7,EUR,0.01,0.82011467735625,678
Asthma,22,7,EAS,0.01,0.749478712009563,678
Asthma,22,7,AFR,0.01,0.457283853036533,678
Asthma,22,7,CSA,0.01,0.715456915201865,678
Asthma,22,7,AMR,0.01,0.744439519717149,678
Asthma,22,7,MELD_lambda0_afproj,0.1,0.86467925902281,678
Asthma,22,7,MELD_lambda0_reportN,0.1,0.864774509658435,678
Asthma,22,7,MELD_lambda0_equal,0.1,0.833711741827493,678
Asthma,22,7,MELD_lambda1_afproj,0.1,0.862701830742216,678
Asthma,22,7,EUR,0.1,0.84672718146517,678
Asthma,22,7,EAS,0.1,0.734960920765204,678
Asthma,22,7,AFR,0.1,0.5884567678349,678
Asthma,22,7,CSA,0.1,0.758321890180437,678
Asthma,22,7,AMR,0.1,0.78634411020939,678
Asthma,22,8,MELD_lambda0_afproj,0.001,0.775026079396156,647
Asthma,22,8,MELD_lambda0_reportN,0.001,0.778078334232738,647
Asthma,22,8,MELD_lambda0_equal,0.001,0.780427396478677,647
Asthma,22,8,MELD_lambda1_afproj,0.001,0.768921943523524,647
Asthma,22,8,EUR,0.001,0.660674825482794,647
