candidate,draw,delta,r2,w_eur,chr,block_id,m
MELD_pooled,1,0.01,0.100678909840983,0.5,22,23,712
EUR,1,0.01,0.0567073906273899,0.5,22,23,712
EAS,1,0.01,0.169002125378803,0.5,22,23,712
AFR,1,0.01,0.390705058651686,0.5,22,23,712
CSA,1,0.01,0.00118691227862025,0.5,22,23,712
AMR,1,0.01,0.362566357558563,0.5,22,23,712
MELD_lambda1,1,0.01,0.639616923304478,0.25,22,23,712
MELD_pooled,1,0.01,0.647137807915983,0.25,22,23,712
EUR,1,0.01,0.050476814784292,0.25,22,23,712
EAS,1,0.01,0.153857750459945,0.25,22,23,712
AFR,1,0.01,0.476183507444981,0.25,22,23,712
CSA,1,0.01,0.000602236189314163,0.25,22,23,712
AMR,1,0.01,0.360426016086829,0.25,22,23,712
MELD_lambda1,1,0.01,0.900839901815798,0.75,22,24,552
MELD_pooled,1,0.01,0.910342737232878,0.75,22,24,552
EUR,1,0.01,0.7431422244968,0.75,22,24,552
EAS,1,0.01,0.4537889635845,0.75,22,24,552
AFR,1,0.01,0.630023924278899,0.75,22,24,552
CSA,1,0.01,0.767646195880314,0.75,22,24,552
AMR,1,0.01,0.137824447346386,0.75,22,24,552
MELD_lambda1,1,0.01,0.814946405149232,0.5,22,24,552
MELD_pooled,1,0.01,0.816727384374688,0.5,22,24,552
EUR,1,0.01,0.514763347164198,0.5,22,24,552
EAS,1,0.01,0.277731144468418,0.5,22,24,552
AFR,1,0.01,0.622711256434328,0.5,22,24,552
CSA,1,0.01,0.600036775718133,0.5,22,24,552
AMR,1,0.01,0.177859278009252,0.5,22,24,552
MELD_lambda1,1,0.01,0.757817329572255,0.25,22,24,552
MELD_pooled,1,0.01,0.723321403791843,0.25,22,24,552
EUR,1,0.01,0.413147602693524,0.25,22,24,552
EAS,1,0.01,0.0766064130250493,0.25,22,24,552
AFR,1,0.01,0.618939083338094,0.25,22,24,552
CSA,1,0.01,0.480062984672492,0.25,22,24,552
AMR,1,0.01,0.233903672411317,0.25,22,24,552
