candidate,draw,delta,r2,w_eur,chr,block_id,m
EAS,1,0.01,0.0515860982904859,0.5,22,5,417
AFR,1,0.01,0.480022779833921,0.5,22,5,417
CSA,1,0.01,0.188440027168903,0.5,22,5,417
AMR,1,0.01,0.121931286516595,0.5,22,5,417
MELD_lambda1,1,0.01,0.427009816096068,0.25,22,5,417
MELD_pooled,1,0.01,0.44596451263592,0.25,22,5,417
EUR,1,0.01,0.0295629615710961,0.25,22,5,417
EAS,1,0.01,0.0154464810589092,0.25,22,5,417
AFR,1,0.01,0.496893655134205,0.25,22,5,417
CSA,1,0.01,0.184233111824865,0.25,22,5,417
AMR,1,0.01,0.106674182875909,0.25,22,5,417
MELD_lambda1,1,0.01,0.866700043507696,0.75,22,6,480
MELD_pooled,1,0.01,0.303008243560738,0.75,22,6,480
EUR,1,0.01,0.76258922338258,0.75,22,6,480
EAS,1,0.01,0.655344250663983,0.75,22,6,480
AFR,1,0.01,0.750379666780965,0.75,22,6,480
CSA,1,0.01,0.662902026892301,0.75,22,6,480
AMR,1,0.01,0.760573050771483,0.75,22,6,480
MELD_lambda1,1,0.01,0.802690084509139,0.5,22,6,480
MELD_pooled,1,0.01,0.801379035290818,0.5,22,6,480
EUR,1,0.01,0.536619330003612,0.5,22,6,480
EAS,1,0.01,0.368502079263139,0.5,22,6,480
AFR,1,0.01,0.719327183492018,0.5,22,6,480
CSA,1,0.01,0.429390533885462,0.5,22,6,480
AMR,1,0.01,0.549345974648222,0.5,22,6,480
MELD_lambda1,1,0.01,0.775104011944152,0.25,22,6,480
MELD_pooled,1,0.01,0.775404336641226,0.25,22,6,480
EUR,1,0.01,0.400497696107404,0.25,22,6,480
EAS,1,0.01,0.227641688824026,0.25,22,6,480
AFR,1,0.01,0.731410566595922,0.25,22,6,480
CSA,1,0.01,0.320564927362264,0.25,22,6,480
AMR,1,0.01,0.462815931398967,0.25,22,6,480
MELD_lambda1,1,0.01,0.714980232509906,0.75,22,7,948
MELD_pooled,1,0.01,0.00689422677254825,0.75,22,7,948
EUR,1,0.01,0.0841724805307549,0.75,22,7,948
