trait,n_variants,eff_groups,mean_B_diag,top_pop,top_pop_weight
Asthma,11803,1.68701475703413,0.0250925220985487,EUR,0.745047674504768
COPD,11690,1.75562833162567,0.0288367774626083,EUR,0.712138677660366
Gout,11722,1.78878014843416,0.0290040841690564,EUR,0.704662129533787
HF,10625,1.63593705897059,0.0259439227207646,EUR,0.755602
IPF,10563,1.61679863599242,0.0254234627135502,EUR,0.757714124228588
Stroke,10275,1.59254099007448,0.0249533514366273,EUR,0.7664579
VTE,10563,1.29009104242103,0.0139883929224579,EUR,0.876803087680309
