trait,mean_diff,lo95,hi95,eff_groups,mean_B_diag
Asthma,-0.00131185827328554,-0.00247785048456273,-0.000179911866703706,1.68701475703413,0.0250925220985487
COPD,-0.0026554190353725,-0.00418148909566202,-0.00120818936374604,1.75562833162567,0.0288367774626083
Gout,-0.00219541540826893,-0.00381409554498771,-0.00083606545736332,1.78878014843416,0.0290040841690564
HF,-0.000585625027375378,-0.00181848574046661,0.000684929019177459,1.63593705897059,0.0259439227207646
IPF,-0.00371060367109342,-0.00667746476001088,-0.00150420380961516,1.61679863599242,0.0254234627135502
Stroke,0.000831096426896574,-0.00030833373792297,0.00201044850631625,1.59254099007448,0.0249533514366273
VTE,0.000833293174059573,-0.000241085872483116,0.00172979657834216,1.29009104242103,0.0139883929224579
