panel,r,r2,sd,lo95,hi95,r_txt,r2_txt
AFR,0.356088609203362,0.126799097604385,0.0316533875784905,0.292521245124929,0.418170754799903,"0.3561 [0.2925, 0.4182]",0.1268
MELD_lambda0,0.315157194935549,0.0993240575196435,0.031294066853041,0.251125161150209,0.374382197547796,"0.3152 [0.2511, 0.3744]",0.0993
AMR,0.288796313589137,0.083403310742675,0.0328505485746983,0.222300016067892,0.352742584487817,"0.2888 [0.2223, 0.3527]",0.0834
EAS,0.264841781986808,0.0701411694859478,0.0317725336919487,0.203024141209962,0.327933643010425,"0.2648 [0.2030, 0.3279]",0.0701
CSA,0.261093545754102,0.0681698396344494,0.0329274941980284,0.197027726313237,0.323960575452105,"0.2611 [0.1970, 0.3240]",0.0682
EUR,0.146070606590685,0.0213366221097708,0.0332501777153935,0.0841884757388945,0.21226451878218,"0.1461 [0.0842, 0.2123]",0.0213
