chr,block_id,m,w_eur,lambda,delta,r2
22,3,715,0.25,0.5,0.001,0.641082028765744
22,3,715,0.25,0.5,0.01,0.755068330881319
22,3,715,0.25,0.5,0.1,0.797283296462892
22,3,715,0.25,0.75,0.001,0.641619464235606
22,3,715,0.25,0.75,0.01,0.753562532496808
22,3,715,0.25,0.75,0.1,0.796449152157199
22,3,715,0.25,1,0.001,0.641137210147027
22,3,715,0.25,1,0.01,0.751851988255433
22,3,715,0.25,1,0.1,0.795587692899566
22,4,809,0.75,0,0.001,0.943546807832167
22,4,809,0.75,0,0.01,0.960211280047398
22,4,809,0.75,0,0.1,0.957747133389676
22,4,809,0.75,0.25,0.001,0.943897657763927
22,4,809,0.75,0.25,0.01,0.959880337082386
22,4,809,0.75,0.25,0.1,0.957580493136954
22,4,809,0.75,0.5,0.001,0.943701075812409
22,4,809,0.75,0.5,0.01,0.959186275036737
22,4,809,0.75,0.5,0.1,0.957181493483097
22,4,809,0.75,0.75,0.001,0.943205044975345
22,4,809,0.75,0.75,0.01,0.958435074702982
22,4,809,0.75,0.75,0.1,0.956756186948331
22,4,809,0.75,1,0.001,0.94248355312108
22,4,809,0.75,1,0.01,0.957649517470002
22,4,809,0.75,1,0.1,0.956308700585538
22,4,809,0.5,0,0.001,0.864174957072143
22,4,809,0.5,0,0.01,0.909129927693028
22,4,809,0.5,0,0.1,0.921901119873764
22,4,809,0.5,0.25,0.001,0.868172719766965
22,4,809,0.5,0.25,0.01,0.910708368022355
22,4,809,0.5,0.25,0.1,0.922420714724541
22,4,809,0.5,0.5,0.001,0.869199758909696
22,4,809,0.5,0.5,0.01,0.910223224255403
22,4,809,0.5,0.5,0.1,0.921938127281658
22,4,809,0.5,0.75,0.001,0.869412393608362
22,4,809,0.5,0.75,0.01,0.909420167529579
22,4,809,0.5,0.75,0.1,0.921311203736676
22,4,809,0.5,1,0.001,0.869032943733644
22,4,809,0.5,1,0.01,0.908411414596739
22,4,809,0.5,1,0.1,0.920591899668665
22,4,809,0.25,0,0.001,0.81011055433261
22,4,809,0.25,0,0.01,0.8560722669938
22,4,809,0.25,0,0.1,0.887281194637765
22,4,809,0.25,0.25,0.001,0.814564204054736
22,4,809,0.25,0.25,0.01,0.860840887127155
22,4,809,0.25,0.25,0.1,0.889271491421397
22,4,809,0.25,0.5,0.001,0.817826806251403
22,4,809,0.25,0.5,0.01,0.862629630600153
22,4,809,0.25,0.5,0.1,0.889908303590168
22,4,809,0.25,0.75,0.001,0.82019561550246
22,4,809,0.25,0.75,0.01,0.86378691897107
22,4,809,0.25,0.75,0.1,0.890239698380586
22,4,809,0.25,1,0.001,0.821822777253657
22,4,809,0.25,1,0.01,0.864508864849857
22,4,809,0.25,1,0.1,0.890371607433016
22,5,417,0.75,0,0.001,0.418791868698869
22,5,417,0.75,0,0.01,0.504734852042682
22,5,417,0.75,0,0.1,0.58284806167265
22,5,417,0.75,0.25,0.001,0.420554722345045
22,5,417,0.75,0.25,0.01,0.498363759416699
22,5,417,0.75,0.25,0.1,0.57658145791872
22,5,417,0.75,0.5,0.001,0.417963000617121
22,5,417,0.75,0.5,0.01,0.491522554485184
22,5,417,0.75,0.5,0.1,0.57207550981949
22,5,417,0.75,0.75,0.001,0.414341894164798
22,5,417,0.75,0.75,0.01,0.484559192157184
22,5,417,0.75,0.75,0.1,0.567877664432174
22,5,417,0.75,1,0.001,0.410080530235907
22,5,417,0.75,1,0.01,0.477628890299355
22,5,417,0.75,1,0.1,0.563922177120719
22,5,417,0.5,0,0.001,0.47298753396058
22,5,417,0.5,0,0.01,0.537784586227921
22,5,417,0.5,0,0.1,0.596424812645059
22,5,417,0.5,0.25,0.001,0.472896859525717
22,5,417,0.5,0.25,0.01,0.528901649117845
22,5,417,0.5,0.25,0.1,0.589486700121222
22,5,417,0.5,0.5,0.001,0.465393956824998
22,5,417,0.5,0.5,0.01,0.518553507260375
22,5,417,0.5,0.5,0.1,0.583993072582288
22,5,417,0.5,0.75,0.001,0.456901175265516
22,5,417,0.5,0.75,0.01,0.50831835067755
22,5,417,0.5,0.75,0.1,0.578856462757247
22,5,417,0.5,1,0.001,0.447961071421929
22,5,417,0.5,1,0.01,0.498337102437904
22,5,417,0.5,1,0.1,0.574003828258023
22,5,417,0.25,0,0.001,0.487750532467462
22,5,417,0.25,0,0.01,0.556680689079365
22,5,417,0.25,0,0.1,0.614676517729425
22,5,417,0.25,0.25,0.001,0.490276666772869
22,5,417,0.25,0.25,0.01,0.552862667946915
22,5,417,0.25,0.25,0.1,0.611612508500725
22,5,417,0.25,0.5,0.001,0.485756001797855
22,5,417,0.25,0.5,0.01,0.546824642756528
22,5,417,0.25,0.5,0.1,0.609085423335762
22,5,417,0.25,0.75,0.001,0.480320305669353
22,5,417,0.25,0.75,0.01,0.540647041117898
22,5,417,0.25,0.75,0.1,0.606641359257482
22,5,417,0.25,1,0.001,0.474445741152845
22,5,417,0.25,1,0.01,0.534473386975632
22,5,417,0.25,1,0.1,0.604230725638774
22,6,480,0.75,0,0.001,0.875083450631468
22,6,480,0.75,0,0.01,0.891604681981643
22,6,480,0.75,0,0.1,0.888790881658633
22,6,480,0.75,0.25,0.001,0.869160517327576
22,6,480,0.75,0.25,0.01,0.88889801449564
22,6,480,0.75,0.25,0.1,0.886206882075142
22,6,480,0.75,0.5,0.001,0.864931834085308
22,6,480,0.75,0.5,0.01,0.886809154710562
22,6,480,0.75,0.5,0.1,0.88422836153211
22,6,480,0.75,0.75,0.001,0.860453325070697
22,6,480,0.75,0.75,0.01,0.884554786475492
22,6,480,0.75,0.75,0.1,0.882237218700611
22,6,480,0.75,1,0.001,0.855804640806267
22,6,480,0.75,1,0.01,0.882165731562168
22,6,480,0.75,1,0.1,0.880239120513778
22,6,480,0.5,0,0.001,0.772237634765817
22,6,480,0.5,0,0.01,0.817840794527809
22,6,480,0.5,0,0.1,0.808673411336365
22,6,480,0.5,0.25,0.001,0.76648078542928
22,6,480,0.5,0.25,0.01,0.813597134259037
22,6,480,0.5,0.25,0.1,0.805302037740857
22,6,480,0.5,0.5,0.001,0.762159387816931
22,6,480,0.5,0.5,0.01,0.810315414055821
22,6,480,0.5,0.5,0.1,0.80236917227691
22,6,480,0.5,0.75,0.001,0.757669744130621
22,6,480,0.5,0.75,0.01,0.807008012012919
22,6,480,0.5,0.75,0.1,0.799580245692826
22,6,480,0.5,1,0.001,0.753070932434574
22,6,480,0.5,1,0.01,0.803670118212483
22,6,480,0.5,1,0.1,0.796929036469561
22,6,480,0.25,0,0.001,0.685882752837146
22,6,480,0.25,0,0.01,0.785091670974834
