chr,block_id,m,w_eur,lambda,delta,r2
22,12,1159,0.25,1,0.01,0.76205876621285
22,12,1159,0.25,1,0.1,0.812709593605693
22,13,618,0.75,0,0.001,0.906778783884995
22,13,618,0.75,0,0.01,0.912714783554241
22,13,618,0.75,0,0.1,0.914486918135613
22,13,618,0.75,0.25,0.001,0.902744033794792
22,13,618,0.75,0.25,0.01,0.909711334695691
22,13,618,0.75,0.25,0.1,0.913265875224629
22,13,618,0.75,0.5,0.001,0.899071378662526
22,13,618,0.75,0.5,0.01,0.90682343716279
22,13,618,0.75,0.5,0.1,0.911943683708127
22,13,618,0.75,0.75,0.001,0.895421886582566
22,13,618,0.75,0.75,0.01,0.903985690497293
22,13,618,0.75,0.75,0.1,0.910551605534264
22,13,618,0.75,1,0.001,0.891799856335118
22,13,618,0.75,1,0.01,0.901199682173522
22,13,618,0.75,1,0.1,0.909122085079973
22,13,618,0.5,0,0.001,0.858234657049867
22,13,618,0.5,0,0.01,0.863207073640685
22,13,618,0.5,0,0.1,0.863828302083819
22,13,618,0.5,0.25,0.001,0.850732706230684
22,13,618,0.5,0.25,0.01,0.859892725366468
22,13,618,0.5,0.25,0.1,0.862759150120721
22,13,618,0.5,0.5,0.001,0.843789591550048
22,13,618,0.5,0.5,0.01,0.856854344593372
22,13,618,0.5,0.5,0.1,0.86184300951355
22,13,618,0.5,0.75,0.001,0.83731499101469
22,13,618,0.5,0.75,0.01,0.853977933058783
22,13,618,0.5,0.75,0.1,0.860924216439648
22,13,618,0.5,1,0.001,0.831276537969462
22,13,618,0.5,1,0.01,0.851239535309015
22,13,618,0.5,1,0.1,0.860003563415564
22,13,618,0.25,0,0.001,0.820291790447347
22,13,618,0.25,0,0.01,0.843266196465363
22,13,618,0.25,0,0.1,0.845694586914168
22,13,618,0.25,0.25,0.001,0.816534344441592
22,13,618,0.25,0.25,0.01,0.842744802920534
22,13,618,0.25,0.25,0.1,0.846093706048869
22,13,618,0.25,0.5,0.001,0.811132475949633
22,13,618,0.25,0.5,0.01,0.841826308053087
22,13,618,0.25,0.5,0.1,0.846538874965639
22,13,618,0.25,0.75,0.001,0.805735626078305
22,13,618,0.25,0.75,0.01,0.840855586914911
22,13,618,0.25,0.75,0.1,0.846886664442651
22,13,618,0.25,1,0.001,0.800489391793617
22,13,618,0.25,1,0.01,0.839875874293777
22,13,618,0.25,1,0.1,0.847145035689873
22,14,1069,0.75,0,0.001,0.847671770285782
22,14,1069,0.75,0,0.01,0.933386700286139
22,14,1069,0.75,0,0.1,0.953873818103321
22,14,1069,0.75,0.25,0.001,0.896959879701433
22,14,1069,0.75,0.25,0.01,0.937363515476386
22,14,1069,0.75,0.25,0.1,0.951817207387962
22,14,1069,0.75,0.5,0.001,0.910575344871252
22,14,1069,0.75,0.5,0.01,0.936781480016305
22,14,1069,0.75,0.5,0.1,0.949632065485973
22,14,1069,0.75,0.75,0.001,0.908960680269816
22,14,1069,0.75,0.75,0.01,0.934763286997267
22,14,1069,0.75,0.75,0.1,0.947311744080086
22,14,1069,0.75,1,0.001,0.89859838504786
22,14,1069,0.75,1,0.01,0.931958771781262
22,14,1069,0.75,1,0.1,0.944938910126924
22,14,1069,0.5,0,0.001,0.640302455804978
22,14,1069,0.5,0,0.01,0.8280323833045
22,14,1069,0.5,0,0.1,0.886286091870732
22,14,1069,0.5,0.25,0.001,0.725060939334582
22,14,1069,0.5,0.25,0.01,0.843657119857905
22,14,1069,0.5,0.25,0.1,0.884321631367022
22,14,1069,0.5,0.5,0.001,0.740231810809798
22,14,1069,0.5,0.5,0.01,0.845148663482684
22,14,1069,0.5,0.5,0.1,0.881909813908923
22,14,1069,0.5,0.75,0.001,0.736371481746411
22,14,1069,0.5,0.75,0.01,0.843830987671247
22,14,1069,0.5,0.75,0.1,0.879050682861594
22,14,1069,0.5,1,0.001,0.723334919035357
22,14,1069,0.5,1,0.01,0.841113244114844
22,14,1069,0.5,1,0.1,0.875967355610962
22,14,1069,0.25,0,0.001,0.431685197282741
22,14,1069,0.25,0,0.01,0.7080997600316
22,14,1069,0.25,0,0.1,0.812678680120828
22,14,1069,0.25,0.25,0.001,0.486755674602745
22,14,1069,0.25,0.25,0.01,0.716093156840994
22,14,1069,0.25,0.25,0.1,0.810462804712067
22,14,1069,0.25,0.5,0.001,0.497450953382546
22,14,1069,0.25,0.5,0.01,0.719359821912206
22,14,1069,0.25,0.5,0.1,0.809811429038792
22,14,1069,0.25,0.75,0.001,0.500662730601881
22,14,1069,0.25,0.75,0.01,0.72107716752645
22,14,1069,0.25,0.75,0.1,0.808857398683804
22,14,1069,0.25,1,0.001,0.500435360684313
22,14,1069,0.25,1,0.01,0.721897259811176
22,14,1069,0.25,1,0.1,0.807612883448201
22,15,709,0.75,0,0.001,0.885043619093056
22,15,709,0.75,0,0.01,0.964672647005846
22,15,709,0.75,0,0.1,0.95814669958806
22,15,709,0.75,0.25,0.001,0.890115332107606
22,15,709,0.75,0.25,0.01,0.964257233539904
22,15,709,0.75,0.25,0.1,0.957538279116258
22,15,709,0.75,0.5,0.001,0.889678360624956
22,15,709,0.75,0.5,0.01,0.963558120912631
22,15,709,0.75,0.5,0.1,0.957072484599211
22,15,709,0.75,0.75,0.001,0.888506550820595
22,15,709,0.75,0.75,0.01,0.96266649013865
22,15,709,0.75,0.75,0.1,0.956575218849354
22,15,709,0.75,1,0.001,0.886932920106707
22,15,709,0.75,1,0.01,0.961635113304692
22,15,709,0.75,1,0.1,0.956043658901042
22,15,709,0.5,0,0.001,0.805118201688978
22,15,709,0.5,0,0.01,0.891525572036418
22,15,709,0.5,0,0.1,0.882832381661078
22,15,709,0.5,0.25,0.001,0.803704435069289
22,15,709,0.5,0.25,0.01,0.891065148120343
22,15,709,0.5,0.25,0.1,0.881170509841493
22,15,709,0.5,0.5,0.001,0.797657199941428
22,15,709,0.5,0.5,0.01,0.888620098872695
22,15,709,0.5,0.5,0.1,0.879323397854544
22,15,709,0.5,0.75,0.001,0.791546639438128
22,15,709,0.5,0.75,0.01,0.885912195193321
22,15,709,0.5,0.75,0.1,0.877522194992871
22,15,709,0.5,1,0.001,0.7855444496035
22,15,709,0.5,1,0.01,0.883089115409828
22,15,709,0.5,1,0.1,0.87577745425821
22,15,709,0.25,0,0.001,0.706277211130112
22,15,709,0.25,0,0.01,0.7933327115125
22,15,709,0.25,0,0.1,0.802000629180208
22,15,709,0.25,0.25,0.001,0.71401284636199
22,15,709,0.25,0.25,0.01,0.795574888798319
22,15,709,0.25,0.25,0.1,0.799112224476734
22,15,709,0.25,0.5,0.001,0.713079471994795
22,15,709,0.25,0.5,0.01,0.794201422855762
22,15,709,0.25,0.5,0.1,0.796738701463796
22,15,709,0.25,0.75,0.001,0.711074206965311
22,15,709,0.25,0.75,0.01,0.792275897321689
22,15,709,0.25,0.75,0.1,0.794566502818484
22,15,709,0.25,1,0.001,0.708584499052346
22,15,709,0.25,1,0.01,0.79009183837632
22,15,709,0.25,1,0.1,0.792534322524684
22,16,417,0.75,0,0.001,0.976648442233124
22,16,417,0.75,0,0.01,0.977296920205262
22,16,417,0.75,0,0.1,0.975127965127647
22,16,417,0.75,0.25,0.001,0.977435557072122
22,16,417,0.75,0.25,0.01,0.978578276644856
22,16,417,0.75,0.25,0.1,0.976455164971178
22,16,417,0.75,0.5,0.001,0.976139897584992
22,16,417,0.75,0.5,0.01,0.977757261282944
22,16,417,0.75,0.5,0.1,0.975849033960015
22,16,417,0.75,0.75,0.001,0.974608914975652
22,16,417,0.75,0.75,0.01,0.976724132795061
22,16,417,0.75,0.75,0.1,0.975058864800413
22,16,417,0.75,1,0.001,0.972925408071548
22,16,417,0.75,1,0.01,0.975559987062406
22,16,417,0.75,1,0.1,0.974153254985161
22,16,417,0.5,0,0.001,0.913301459075302
22,16,417,0.5,0,0.01,0.919563502018817
22,16,417,0.5,0,0.1,0.917736654419421
22,16,417,0.5,0.25,0.001,0.913403476730631
22,16,417,0.5,0.25,0.01,0.920472911087812
22,16,417,0.5,0.25,0.1,0.918364303863487
22,16,417,0.5,0.5,0.001,0.91111034174102
22,16,417,0.5,0.5,0.01,0.918764980800695
22,16,417,0.5,0.5,0.1,0.917026419822226
22,16,417,0.5,0.75,0.001,0.908607401096665
22,16,417,0.5,0.75,0.01,0.916799696220029
22,16,417,0.5,0.75,0.1,0.915459661310914
22,16,417,0.5,1,0.001,0.905944628100599
22,16,417,0.5,1,0.01,0.914670371835428
22,16,417,0.5,1,0.1,0.91371994946156
22,16,417,0.25,0,0.001,0.806928414304265
22,16,417,0.25,0,0.01,0.830614611447124
22,16,417,0.25,0,0.1,0.835117375084214
22,16,417,0.25,0.25,0.001,0.808265288179293
22,16,417,0.25,0.25,0.01,0.830301132034761
22,16,417,0.25,0.25,0.1,0.832230879553349
22,16,417,0.25,0.5,0.001,0.808766494440903
22,16,417,0.25,0.5,0.01,0.829730215531192
22,16,417,0.25,0.5,0.1,0.830633796421038
22,16,417,0.25,0.75,0.001,0.80908737976947
22,16,417,0.25,0.75,0.01,0.829149322297872
22,16,417,0.25,0.75,0.1,0.829307788478976
22,16,417,0.25,1,0.001,0.809111264073612
22,16,417,0.25,1,0.01,0.828435162402339
22,16,417,0.25,1,0.1,0.827977001544404
22,17,615,0.75,0,0.001,0.966544911061583
22,17,615,0.75,0,0.01,0.980040765638583
22,17,615,0.75,0,0.1,0.98615221461319
22,17,615,0.75,0.25,0.001,0.96142309787758
22,17,615,0.75,0.25,0.01,0.97981826763816
22,17,615,0.75,0.25,0.1,0.985366734558627
22,17,615,0.75,0.5,0.001,0.957114744528657
22,17,615,0.75,0.5,0.01,0.979384644838475
22,17,615,0.75,0.5,0.1,0.98462554887399
22,17,615,0.75,0.75,0.001,0.952791929699584
22,17,615,0.75,0.75,0.01,0.978700832908453
22,17,615,0.75,0.75,0.1,0.98380946640125
22,17,615,0.75,1,0.001,0.948512591883684
22,17,615,0.75,1,0.01,0.977867772312397
22,17,615,0.75,1,0.1,0.982951220844448
22,17,615,0.5,0,0.001,0.892512407469349
22,17,615,0.5,0,0.01,0.946016301909366
22,17,615,0.5,0,0.1,0.964092572794121
22,17,615,0.5,0.25,0.001,0.885061820350463
22,17,615,0.5,0.25,0.01,0.94513935754369
22,17,615,0.5,0.25,0.1,0.962801300896562
22,17,615,0.5,0.5,0.001,0.878089057983057
22,17,615,0.5,0.5,0.01,0.944141018339621
22,17,615,0.5,0.5,0.1,0.96176217801054
22,17,615,0.5,0.75,0.001,0.87099589962836
22,17,615,0.5,0.75,0.01,0.942652518719236
22,17,615,0.5,0.75,0.1,0.960536521825003
22,17,615,0.5,1,0.001,0.864076710666378
22,17,615,0.5,1,0.01,0.940919575380421
22,17,615,0.5,1,0.1,0.959212451747565
22,17,615,0.25,0,0.001,0.802898410660825
22,17,615,0.25,0,0.01,0.911856796896569
22,17,615,0.25,0,0.1,0.936850942704695
22,17,615,0.25,0.25,0.001,0.807619783041475
22,17,615,0.25,0.25,0.01,0.910221183199232
22,17,615,0.25,0.25,0.1,0.934809079655429
22,17,615,0.25,0.5,0.001,0.809773917306356
22,17,615,0.25,0.5,0.01,0.90890810121144
22,17,615,0.25,0.5,0.1,0.933521382256965
22,17,615,0.25,0.75,0.001,0.810254688473003
22,17,615,0.25,0.75,0.01,0.907279707358434
22,17,615,0.25,0.75,0.1,0.932220298277415
22,17,615,0.25,1,0.001,0.809765229041528
22,17,615,0.25,1,0.01,0.905464974045173
22,17,615,0.25,1,0.1,0.930889901688743
22,18,507,0.75,0,0.001,0.930514366398629
22,18,507,0.75,0,0.01,0.957683515737401
22,18,507,0.75,0,0.1,0.944708358519429
22,18,507,0.75,0.25,0.001,0.931599781434661
22,18,507,0.75,0.25,0.01,0.955667797601332
22,18,507,0.75,0.25,0.1,0.942454941815519
22,18,507,0.75,0.5,0.001,0.92865476433317
22,18,507,0.75,0.5,0.01,0.953538180346442
22,18,507,0.75,0.5,0.1,0.940484962460268
22,18,507,0.75,0.75,0.001,0.925014394117851
22,18,507,0.75,0.75,0.01,0.951163272563084
22,18,507,0.75,0.75,0.1,0.938531354662345
22,18,507,0.75,1,0.001,0.920908510806146
22,18,507,0.75,1,0.01,0.948587947941482
22,18,507,0.75,1,0.1,0.936552401816912
22,18,507,0.5,0,0.001,0.906061630623645
22,18,507,0.5,0,0.01,0.940209854460931
22,18,507,0.5,0,0.1,0.923600324480428
22,18,507,0.5,0.25,0.001,0.904792462700759
22,18,507,0.5,0.25,0.01,0.936469975881456
22,18,507,0.5,0.25,0.1,0.918965360654358
22,18,507,0.5,0.5,0.001,0.897155394351625
22,18,507,0.5,0.5,0.01,0.932336794238048
22,18,507,0.5,0.5,0.1,0.915601087740423
22,18,507,0.5,0.75,0.001,0.888330805759229
22,18,507,0.5,0.75,0.01,0.927816635854661
22,18,507,0.5,0.75,0.1,0.912442330628758
22,18,507,0.5,1,0.001,0.878783686134208
22,18,507,0.5,1,0.01,0.923051336114379
22,18,507,0.5,1,0.1,0.909394376384383
22,18,507,0.25,0,0.001,0.874910721650281
22,18,507,0.25,0,0.01,0.920301290377077
22,18,507,0.25,0,0.1,0.909045951768712
22,18,507,0.25,0.25,0.001,0.877805442860517
22,18,507,0.25,0.25,0.01,0.919993982492824
22,18,507,0.25,0.25,0.1,0.906725296562294
22,18,507,0.25,0.5,0.001,0.875750927954519
22,18,507,0.25,0.5,0.01,0.918561494190622
22,18,507,0.25,0.5,0.1,0.904654960158174
22,18,507,0.25,0.75,0.001,0.872568331249567
22,18,507,0.25,0.75,0.01,0.916540297986443
22,18,507,0.25,0.75,0.1,0.902599850590827
22,18,507,0.25,1,0.001,0.868672729469328
22,18,507,0.25,1,0.01,0.914108513816722
22,18,507,0.25,1,0.1,0.900526713024193
22,19,829,0.75,0,0.001,0.772158738799368
22,19,829,0.75,0,0.01,0.847423630303594
22,19,829,0.75,0,0.1,0.859820443183579
22,19,829,0.75,0.25,0.001,0.774923018188605
22,19,829,0.75,0.25,0.01,0.845508841290223
22,19,829,0.75,0.25,0.1,0.857557862558409
22,19,829,0.75,0.5,0.001,0.769398988335581
22,19,829,0.75,0.5,0.01,0.840976671670686
22,19,829,0.75,0.5,0.1,0.854383872308044
22,19,829,0.75,0.75,0.001,0.763600415388406
22,19,829,0.75,0.75,0.01,0.83651051820092
22,19,829,0.75,0.75,0.1,0.851416197807617
22,19,829,0.75,1,0.001,0.757737414192996
22,19,829,0.75,1,0.01,0.832151289130538
22,19,829,0.75,1,0.1,0.848603984043991
22,19,829,0.5,0,0.001,0.69852426813059
22,19,829,0.5,0,0.01,0.812479132682669
22,19,829,0.5,0,0.1,0.841170157897946
22,19,829,0.5,0.25,0.001,0.717366675610165
22,19,829,0.5,0.25,0.01,0.819462220800807
22,19,829,0.5,0.25,0.1,0.845818389969941
22,19,829,0.5,0.5,0.001,0.715805309784482
22,19,829,0.5,0.5,0.01,0.816285735054182
22,19,829,0.5,0.5,0.1,0.844596591051443
22,19,829,0.5,0.75,0.001,0.712783366336418
22,19,829,0.5,0.75,0.01,0.812498206886769
22,19,829,0.5,0.75,0.1,0.842966210855991
22,19,829,0.5,1,0.001,0.708975699939846
22,19,829,0.5,1,0.01,0.808454037978109
22,19,829,0.5,1,0.1,0.84115259329014
22,19,829,0.25,0,0.001,0.647991650041738
22,19,829,0.25,0,0.01,0.784986087007058
22,19,829,0.25,0,0.1,0.82885129737046
22,19,829,0.25,0.25,0.001,0.671098946456399
22,19,829,0.25,0.25,0.01,0.79619491964104
22,19,829,0.25,0.25,0.1,0.837075309500191
22,19,829,0.25,0.5,0.001,0.676102865183061
22,19,829,0.25,0.5,0.01,0.79794618178433
22,19,829,0.25,0.5,0.1,0.839697846797648
22,19,829,0.25,0.75,0.001,0.679198456664985
22,19,829,0.25,0.75,0.01,0.79849322965084
22,19,829,0.25,0.75,0.1,0.841361632499011
22,19,829,0.25,1,0.001,0.681178611335556
22,19,829,0.25,1,0.01,0.798348225150283
22,19,829,0.25,1,0.1,0.84244742407211
22,20,769,0.75,0,0.001,0.901728392687133
22,20,769,0.75,0,0.01,0.932879098789436
22,20,769,0.75,0,0.1,0.944688413508765
22,20,769,0.75,0.25,0.001,0.905910720313563
22,20,769,0.75,0.25,0.01,0.933667636973824
22,20,769,0.75,0.25,0.1,0.946187305101865
22,20,769,0.75,0.5,0.001,0.905926188211609
22,20,769,0.75,0.5,0.01,0.932745433711952
22,20,769,0.75,0.5,0.1,0.945881178182743
22,20,769,0.75,0.75,0.001,0.904809600254836
22,20,769,0.75,0.75,0.01,0.931311705261399
22,20,769,0.75,0.75,0.1,0.945343721291486
22,20,769,0.75,1,0.001,0.903009091858741
22,20,769,0.75,1,0.01,0.929541548393371
22,20,769,0.75,1,0.1,0.944640836830163
22,20,769,0.5,0,0.001,0.758891538886977
22,20,769,0.5,0,0.01,0.850707762813008
22,20,769,0.5,0,0.1,0.879414009995588
22,20,769,0.5,0.25,0.001,0.780383818614644
22,20,769,0.5,0.25,0.01,0.856492516976063
22,20,769,0.5,0.25,0.1,0.885694521112725
22,20,769,0.5,0.5,0.001,0.784474455407588
22,20,769,0.5,0.5,0.01,0.858677230472799
22,20,769,0.5,0.5,0.1,0.887462605235258
22,20,769,0.5,0.75,0.001,0.786200184343957
22,20,769,0.5,0.75,0.01,0.859487213544584
22,20,769,0.5,0.75,0.1,0.888328831343649
22,20,769,0.5,1,0.001,0.786623014307948
22,20,769,0.5,1,0.01,0.859410568069409
22,20,769,0.5,1,0.1,0.888619806752007
22,20,769,0.25,0,0.001,0.576485119889578
22,20,769,0.25,0,0.01,0.739701125661342
22,20,769,0.25,0,0.1,0.792202714973181
22,20,769,0.25,0.25,0.001,0.614008798618393
22,20,769,0.25,0.25,0.01,0.751755015525439
22,20,769,0.25,0.25,0.1,0.803049923923107
22,20,769,0.25,0.5,0.001,0.627059357388071
22,20,769,0.25,0.5,0.01,0.758460398896883
22,20,769,0.25,0.5,0.1,0.80755617470461
22,20,769,0.25,0.75,0.001,0.63604930956202
22,20,769,0.25,0.75,0.01,0.763220640091588
22,20,769,0.25,0.75,0.1,0.810646333156104
22,20,769,0.25,1,0.001,0.64275343648453
22,20,769,0.25,1,0.01,0.766633058065737
22,20,769,0.25,1,0.1,0.812819880285086
22,21,571,0.75,0,0.001,0.809794020569576
22,21,571,0.75,0,0.01,0.893911407242635
22,21,571,0.75,0,0.1,0.893522264176601
22,21,571,0.75,0.25,0.001,0.80758541543819
22,21,571,0.75,0.25,0.01,0.897714952404096
22,21,571,0.75,0.25,0.1,0.891887803823752
22,21,571,0.75,0.5,0.001,0.821303996407796
22,21,571,0.75,0.5,0.01,0.903023758268051
22,21,571,0.75,0.5,0.1,0.892395309899414
22,21,571,0.75,0.75,0.001,0.832826797913877
22,21,571,0.75,0.75,0.01,0.906869945552949
22,21,571,0.75,0.75,0.1,0.892254664401633
22,21,571,0.75,1,0.001,0.842097920275705
22,21,571,0.75,1,0.01,0.909578895929232
22,21,571,0.75,1,0.1,0.891565125313728
22,21,571,0.5,0,0.001,0.770402914224813
22,21,571,0.5,0,0.01,0.870355393421594
22,21,571,0.5,0,0.1,0.871515731860578
22,21,571,0.5,0.25,0.001,0.746943837968999
22,21,571,0.5,0.25,0.01,0.865353934325882
22,21,571,0.5,0.25,0.1,0.864555324850222
22,21,571,0.5,0.5,0.001,0.754133543170606
22,21,571,0.5,0.5,0.01,0.867932424169844
22,21,571,0.5,0.5,0.1,0.86457242028084
22,21,571,0.5,0.75,0.001,0.760745444290923
22,21,571,0.5,0.75,0.01,0.869684495655044
22,21,571,0.5,0.75,0.1,0.86406421585959
22,21,571,0.5,1,0.001,0.765949620880551
22,21,571,0.5,1,0.01,0.870665839485914
22,21,571,0.5,1,0.1,0.863042216918748
22,21,571,0.25,0,0.001,0.734948188793316
22,21,571,0.25,0,0.01,0.844057957518598
22,21,571,0.25,0,0.1,0.850425228617612
22,21,571,0.25,0.25,0.001,0.708270965597438
22,21,571,0.25,0.25,0.01,0.837676239268851
22,21,571,0.25,0.25,0.1,0.845373966124791
22,21,571,0.25,0.5,0.001,0.708399610281883
22,21,571,0.25,0.5,0.01,0.838769398636813
22,21,571,0.25,0.5,0.1,0.846228663129158
22,21,571,0.25,0.75,0.001,0.710209365893029
22,21,571,0.25,0.75,0.01,0.839697528921313
22,21,571,0.25,0.75,0.1,0.846654467867021
22,21,571,0.25,1,0.001,0.711987836853659
22,21,571,0.25,1,0.01,0.840240135331991
22,21,571,0.25,1,0.1,0.846613741186646
22,22,875,0.75,0,0.001,0.663470939017587
22,22,875,0.75,0,0.01,0.839145463268626
22,22,875,0.75,0,0.1,0.880741035228296
22,22,875,0.75,0.25,0.001,0.690662498797647
22,22,875,0.75,0.25,0.01,0.844805652924671
22,22,875,0.75,0.25,0.1,0.883625838689004
22,22,875,0.75,0.5,0.001,0.695181312532318
22,22,875,0.75,0.5,0.01,0.846356499379885
22,22,875,0.75,0.5,0.1,0.882909413689305
22,22,875,0.75,0.75,0.001,0.697986137336201
22,22,875,0.75,0.75,0.01,0.847356782308178
22,22,875,0.75,0.75,0.1,0.882103727420226
22,22,875,0.75,1,0.001,0.699900270600994
22,22,875,0.75,1,0.01,0.847971456315804
22,22,875,0.75,1,0.1,0.881194809135519
22,22,875,0.5,0,0.001,0.521510968247179
22,22,875,0.5,0,0.01,0.735566298907332
22,22,875,0.5,0,0.1,0.801095946221415
22,22,875,0.5,0.25,0.001,0.543839497819028
22,22,875,0.5,0.25,0.01,0.748998358227944
22,22,875,0.5,0.25,0.1,0.814338685555306
22,22,875,0.5,0.5,0.001,0.545475070984746
22,22,875,0.5,0.5,0.01,0.752643453549942
22,22,875,0.5,0.5,0.1,0.815934855474436
22,22,875,0.5,0.75,0.001,0.54566807897767
22,22,875,0.5,0.75,0.01,0.755364554783726
22,22,875,0.5,0.75,0.1,0.816831017156431
22,22,875,0.5,1,0.001,0.545141293076366
22,22,875,0.5,1,0.01,0.757461435133426
22,22,875,0.5,1,0.1,0.817321320664111
22,22,875,0.25,0,0.001,0.411006036103108
22,22,875,0.25,0,0.01,0.697882195349169
22,22,875,0.25,0,0.1,0.769519935392009
22,22,875,0.25,0.25,0.001,0.434277436649511
22,22,875,0.25,0.25,0.01,0.716029626984638
22,22,875,0.25,0.25,0.1,0.78304380007269
22,22,875,0.25,0.5,0.001,0.436684867594249
22,22,875,0.25,0.5,0.01,0.720654135674775
22,22,875,0.25,0.5,0.1,0.786004356977439
22,22,875,0.25,0.75,0.001,0.437353157130933
22,22,875,0.25,0.75,0.01,0.724091090418042
22,22,875,0.25,0.75,0.1,0.788147740081102
22,22,875,0.25,1,0.001,0.437224609236226
22,22,875,0.25,1,0.01,0.726833776927389
22,22,875,0.25,1,0.1,0.789827012288292
22,23,712,0.75,0,0.001,0.608062984316943
22,23,712,0.75,0,0.01,0.68336877190236
22,23,712,0.75,0,0.1,0.669472269035356
22,23,712,0.75,0.25,0.001,0.623120673488046
22,23,712,0.75,0.25,0.01,0.686490918203592
22,23,712,0.75,0.25,0.1,0.666252282085088
22,23,712,0.75,0.5,0.001,0.624504180591839
22,23,712,0.75,0.5,0.01,0.685651745555989
22,23,712,0.75,0.5,0.1,0.664166325164729
22,23,712,0.75,0.75,0.001,0.625412771596046
22,23,712,0.75,0.75,0.01,0.685031053758023
22,23,712,0.75,0.75,0.1,0.663212575102174
22,23,712,0.75,1,0.001,0.626091182565958
22,23,712,0.75,1,0.01,0.684520375557849
22,23,712,0.75,1,0.1,0.662776746011197
22,23,712,0.5,0,0.001,0.558285818285563
22,23,712,0.5,0,0.01,0.657601406727555
22,23,712,0.5,0,0.1,0.651658046634943
22,23,712,0.5,0.25,0.001,0.584272558323174
22,23,712,0.5,0.25,0.01,0.672563536701167
22,23,712,0.5,0.25,0.1,0.667803061559714
22,23,712,0.5,0.5,0.001,0.585178134460601
22,23,712,0.5,0.5,0.01,0.673342247465891
22,23,712,0.5,0.5,0.1,0.669937479373802
22,23,712,0.5,0.75,0.001,0.585007432757661
22,23,712,0.5,0.75,0.01,0.673569337238903
22,23,712,0.5,0.75,0.1,0.671637252301743
22,23,712,0.5,1,0.001,0.584489101548434
22,23,712,0.5,1,0.01,0.673610326975166
22,23,712,0.5,1,0.1,0.673181071068246
22,23,712,0.25,0,0.001,0.526655422646981
22,23,712,0.25,0,0.01,0.620892332702229
22,23,712,0.25,0,0.1,0.646300631441017
22,23,712,0.25,0.25,0.001,0.544432267487665
22,23,712,0.25,0.25,0.01,0.635027865669785
22,23,712,0.25,0.25,0.1,0.665706339030478
22,23,712,0.25,0.5,0.001,0.546203610698509
22,23,712,0.25,0.5,0.01,0.637301747308954
22,23,712,0.25,0.5,0.1,0.670147333692724
22,23,712,0.25,0.75,0.001,0.546874608335713
22,23,712,0.25,0.75,0.01,0.638647118927044
22,23,712,0.25,0.75,0.1,0.673205467865593
22,23,712,0.25,1,0.001,0.547107062468636
22,23,712,0.25,1,0.01,0.639596569067932
22,23,712,0.25,1,0.1,0.675696050225003
22,24,552,0.75,0,0.001,0.923709844114793
22,24,552,0.75,0,0.01,0.92245456285583
22,24,552,0.75,0,0.1,0.910350679780553
22,24,552,0.75,0.25,0.001,0.920143890418097
22,24,552,0.75,0.25,0.01,0.919621421309523
22,24,552,0.75,0.25,0.1,0.911785308660882
22,24,552,0.75,0.5,0.001,0.911345503139966
22,24,552,0.75,0.5,0.01,0.913150940651122
22,24,552,0.75,0.5,0.1,0.908216952106308
22,24,552,0.75,0.75,0.001,0.900728982577511
22,24,552,0.75,0.75,0.01,0.906839901289925
22,24,552,0.75,0.75,0.1,0.904679518094849
22,24,552,0.75,1,0.001,0.889320848530168
22,24,552,0.75,1,0.01,0.900822753264055
22,24,552,0.75,1,0.1,0.901297854622216
22,24,552,0.5,0,0.001,0.822477099691083
22,24,552,0.5,0,0.01,0.83954034974951
22,24,552,0.5,0,0.1,0.832863202411692
22,24,552,0.5,0.25,0.001,0.821484626184938
22,24,552,0.5,0.25,0.01,0.838542898128382
22,24,552,0.5,0.25,0.1,0.837757786462795
22,24,552,0.5,0.5,0.001,0.810262872053114
22,24,552,0.5,0.5,0.01,0.830646131077019
22,24,552,0.5,0.5,0.1,0.832991321937097
22,24,552,0.5,0.75,0.001,0.795826450942031
22,24,552,0.5,0.75,0.01,0.822605403860623
22,24,552,0.5,0.75,0.1,0.828237144978059
22,24,552,0.5,1,0.001,0.780219954244067
22,24,552,0.5,1,0.01,0.81486957760945
22,24,552,0.5,1,0.1,0.823799266104428
22,24,552,0.25,0,0.001,0.727280135474973
22,24,552,0.25,0,0.01,0.762867675862161
22,24,552,0.25,0,0.1,0.772908411849989
22,24,552,0.25,0.25,0.001,0.73450231134083
22,24,552,0.25,0.25,0.01,0.768582996791315
22,24,552,0.25,0.25,0.1,0.778528314829874
22,24,552,0.25,0.5,0.001,0.731505944465448
22,24,552,0.25,0.5,0.01,0.765897234766116
22,24,552,0.25,0.5,0.1,0.775711513929671
22,24,552,0.25,0.75,0.001,0.725311590934727
22,24,552,0.25,0.75,0.01,0.76208446849831
22,24,552,0.25,0.75,0.1,0.772422176553706
22,24,552,0.25,1,0.001,0.717329287703122
22,24,552,0.25,1,0.01,0.757866990220259
22,24,552,0.25,1,0.1,0.769182458748253
