trait,sweep_kind,sweep_id,mean_diff,lo95,hi95,eff_groups,mean_B_diag
Asthma,EUR_AFR,EUR_AFR_01,-0.0574101724886619,-0.0904040979377964,-0.0259780084991212,1,0
Asthma,EUR_AFR,EUR_AFR_02,-0.015515239721229,-0.0330807595667552,0.00198038775351488,1.21951219512195,0.0137736826782779
Asthma,EUR_AFR,EUR_AFR_03,-0.00372950220403385,-0.0168068750708256,0.0107444178841935,1.47058823529412,0.0244865469836052
Asthma,EUR_AFR,EUR_AFR_04,-0.0241905858445211,-0.0455861887306952,-0.00268810317099779,1.72413793103448,0.0321385929159818
Asthma,EUR_AFR,EUR_AFR_05,-0.0138883495471057,-0.0304469109111844,0.00182978608049192,1.92307692307692,0.0367298204754078
Asthma,EUR_AFR,EUR_AFR_06,-0.0105521911483571,-0.0247574542483312,0.00335681782908415,2,0.0382602296618831
Asthma,EUR_AFR,EUR_AFR_07,-0.00739593614864174,-0.0199615530030736,0.00591540975362126,1.92307692307692,0.0367298204754078
Asthma,EUR_AFR,EUR_AFR_08,-0.00813712720078701,-0.0178104100749992,0.00236546559492963,1.72413793103448,0.0321385929159818
Asthma,EUR_AFR,EUR_AFR_09,0.00490666429545283,-0.00346539603563603,0.0140312714994618,1.47058823529412,0.0244865469836052
Asthma,EUR_AFR,EUR_AFR_10,0.0038860716102543,-0.00473168442796534,0.0125908215628383,1.21951219512195,0.0137736826782779
Asthma,EUR_AFR,EUR_AFR_11,0.0158282134339732,0.000538235223265932,0.0321306643345063,1,0
Asthma,EUR_EAS,EUR_EAS_01,0.0291315982640662,0.0134012506964963,0.0472750783301625,1,0
Asthma,EUR_EAS,EUR_EAS_02,0.0150076301779597,0.00640229004103855,0.0237907182651059,1.21951219512195,0.0131772372815578
Asthma,EUR_EAS,EUR_EAS_03,0.00897253419912741,-0.00034166757836933,0.0187541199056317,1.47058823529412,0.0234261996116584
Asthma,EUR_EAS,EUR_EAS_04,0.0165240441380424,0.00725756158787804,0.0260400303298886,1.72413793103448,0.0307468869903016
Asthma,EUR_EAS,EUR_EAS_05,0.0114888878167881,0.00224894795714082,0.0207239414332726,1.92307692307692,0.0351392994174875
Asthma,EUR_EAS,EUR_EAS_06,0.0163622624321421,0.00945497158009326,0.0230739991226856,2,0.0366034368932162
Asthma,EUR_EAS,EUR_EAS_07,0.0154241999521183,0.00925505101502511,0.0232547506417481,1.92307692307692,0.0351392994174875
Asthma,EUR_EAS,EUR_EAS_08,0.0134380998804819,0.00546158337084276,0.0224201484497893,1.72413793103448,0.0307468869903016
Asthma,EUR_EAS,EUR_EAS_09,0.0174468551724059,0.0111970140041064,0.0249486925736947,1.47058823529412,0.0234261996116584
Asthma,EUR_EAS,EUR_EAS_10,0.0112735158637015,0.00605598228994681,0.017276242467188,1.21951219512195,0.0131772372815578
Asthma,EUR_EAS,EUR_EAS_11,0.0110055642842655,-0.00235039783181594,0.0246361207992181,1,0
Asthma,multi,equal,0,0,0,5,0.042919331107851
Asthma,multi,reported,0.0087453875143835,0.00362905461748308,0.0148338705317594,1.60864374737596,0.0254323575987946
Asthma,multi,w25rest,0.000787245905285393,-0.000102607785805227,0.00179448070394161,4.92307692307692,0.0419743298928447
Asthma,multi,w50rest,0.00453613623523645,0.00185851470987545,0.00755552469105911,3.2,0.0337744098593444
COPD,EUR_AFR,EUR_AFR_01,-0.0661445263758312,-0.0988361159412661,-0.0314633795136492,1,0
COPD,EUR_AFR,EUR_AFR_02,-0.0475294444613411,-0.0668171495593217,-0.0276125841168125,1.21951219512195,0.0137934690199441
COPD,EUR_AFR,EUR_AFR_03,-0.025410329406263,-0.0412581827809401,-0.00899098190896649,1.47058823529412,0.0245217227021228
COPD,EUR_AFR,EUR_AFR_04,-0.0164025953514679,-0.0304367415231013,-0.00275873800673787,1.72413793103448,0.0321847610465362
COPD,EUR_AFR,EUR_AFR_05,-0.0212547382951285,-0.0352075240129435,-0.00936416988921659,1.92307692307692,0.0367825840531842
COPD,EUR_AFR,EUR_AFR_06,-0.0093688409840182,-0.0206879092120471,0.00266900602455035,2,0.0383151917220669
COPD,EUR_AFR,EUR_AFR_07,-0.0064517441885598,-0.0166272864034488,0.00293841879538786,1.92307692307692,0.0367825840531842
COPD,EUR_AFR,EUR_AFR_08,0.00179580473377032,-0.0111127085687035,0.0136340521030343,1.72413793103448,0.0321847610465362
COPD,EUR_AFR,EUR_AFR_09,0.00585243229762897,-0.00157527252503666,0.0137740932006307,1.47058823529412,0.0245217227021228
COPD,EUR_AFR,EUR_AFR_10,0.0123903557195093,0.00189036810072212,0.0235777690603005,1.21951219512195,0.0137934690199441
COPD,EUR_AFR,EUR_AFR_11,0.0158848224744011,0.00154902720774396,0.0304961190183731,1,0
COPD,EUR_EAS,EUR_EAS_01,0.0248223549262225,0.012420290217421,0.0379534221119937,1,0
COPD,EUR_EAS,EUR_EAS_02,0.0263191821429225,0.0151996020867687,0.0389813299403945,1.21951219512195,0.0127652387355144
COPD,EUR_EAS,EUR_EAS_03,0.0207802937373045,0.0138026670533444,0.0285068206406237,1.47058823529412,0.0226937577520256
COPD,EUR_EAS,EUR_EAS_04,0.0142488634370888,0.00721648046549953,0.0213025426313461,1.72413793103448,0.0297855570495336
COPD,EUR_EAS,EUR_EAS_05,0.0144214295299439,0.00578175571376565,0.0232122745962525,1.92307692307692,0.0340406366280384
COPD,EUR_EAS,EUR_EAS_06,0.013040798431389,0.00642666983603416,0.0199266055673956,2,0.03545899648754
COPD,EUR_EAS,EUR_EAS_07,0.013193533905921,0.00508751428541738,0.0214344730943853,1.92307692307692,0.0340406366280384
COPD,EUR_EAS,EUR_EAS_08,0.0129716896392428,0.00608232949703535,0.019924115714616,1.72413793103448,0.0297855570495336
COPD,EUR_EAS,EUR_EAS_09,0.0208000905068258,0.0115728805804171,0.0317218055639233,1.47058823529412,0.0226937577520256
COPD,EUR_EAS,EUR_EAS_10,0.0196589218189454,0.0104183891832703,0.0298018909305616,1.21951219512195,0.0127652387355144
COPD,EUR_EAS,EUR_EAS_11,0.0162775429732897,0.00267280016758969,0.0275082408863354,1,0
COPD,multi,equal,0,0,0,4,0.0475973432402072
COPD,multi,reported,0.0206468996421955,0.0142131630339636,0.0273679459183283,1.70470568386948,0.0288801596455938
COPD,multi,w25rest,0,0,0,4,0.0475973432402072
COPD,multi,w50rest,0.00430654513156261,0.000683078762162111,0.00779133518939679,3,0.0388880615794235
Gout,EUR_AFR,EUR_AFR_01,-0.0542997243719726,-0.0828349963109789,-0.0237680500679502,1,0
Gout,EUR_AFR,EUR_AFR_02,-0.0135057813659689,-0.0326735969233535,0.00634134516331202,1.21951219512195,0.013619902965045
Gout,EUR_AFR,EUR_AFR_03,-0.0110618225488098,-0.0259125295569608,0.00323558374485563,1.47058823529412,0.0242131608267466
Gout,EUR_AFR,EUR_AFR_04,-0.0264647213434772,-0.0413513733517588,-0.0103586672935147,1.72413793103448,0.0317797735851049
Gout,EUR_AFR,EUR_AFR_05,-0.00771617649777394,-0.017777117176722,0.00208909848006465,1.92307692307692,0.0363197412401199
Gout,EUR_AFR,EUR_AFR_06,-0.00338776346458296,-0.0144593861229149,0.00679993181959721,2,0.0378330637917916
Gout,EUR_AFR,EUR_AFR_07,-0.00210167206043832,-0.0104759932252358,0.00610782330181281,1.92307692307692,0.0363197412401199
Gout,EUR_AFR,EUR_AFR_08,-0.00488995635432321,-0.0150385884285953,0.00497191175509306,1.72413793103448,0.0317797735851049
Gout,EUR_AFR,EUR_AFR_09,-0.00230368719079096,-0.0126842476063917,0.00817378311180494,1.47058823529412,0.0242131608267466
Gout,EUR_AFR,EUR_AFR_10,0.00796894366288061,-0.00214434392545236,0.0172407313671628,1.21951219512195,0.013619902965045
Gout,EUR_AFR,EUR_AFR_11,0.0140577670204069,0.00411039185498527,0.0233452230893914,1,0
Gout,EUR_EAS,EUR_EAS_01,0.0401279042719205,0.0260881559363786,0.0567449909385915,1,0
Gout,EUR_EAS,EUR_EAS_02,0.0282771824479374,0.0148279590337231,0.0421336531535824,1.21951219512195,0.0127347981578483
Gout,EUR_EAS,EUR_EAS_03,0.0251528356167352,0.0165822005375347,0.0348326665904977,1.47058823529412,0.0226396411695081
Gout,EUR_EAS,EUR_EAS_04,0.0270757961452632,0.0191084844213458,0.0362187414653229,1.72413793103448,0.0297145290349794
Gout,EUR_EAS,EUR_EAS_05,0.0117312977409628,0.00365070643641202,0.0205285887037315,1.92307692307692,0.0339594617542622
Gout,EUR_EAS,EUR_EAS_06,0.0175812163627817,0.0120483756373517,0.0239718668227016,2,0.0353744393273564
Gout,EUR_EAS,EUR_EAS_07,0.0194360370769325,0.0112509114915875,0.0282004978499709,1.92307692307692,0.0339594617542622
Gout,EUR_EAS,EUR_EAS_08,0.011779578169357,0.00645956886870237,0.0177810234687441,1.72413793103448,0.0297145290349794
Gout,EUR_EAS,EUR_EAS_09,0.00974985459787557,0.00292045444296082,0.0169801205014929,1.47058823529412,0.0226396411695081
Gout,EUR_EAS,EUR_EAS_10,0.00919311264480156,0.00131580587444732,0.0174567964489465,1.21951219512195,0.0127347981578483
Gout,EUR_EAS,EUR_EAS_11,0.0129922024797793,-0.00179471844715953,0.0253261598173031,1,0
Gout,multi,equal,0,0,0,4,0.0470738794674354
Gout,multi,reported,0.0135313000048011,0.00797892910883134,0.0195968665785111,1.72033204900231,0.0290824403548026
Gout,multi,w25rest,0,0,0,4,0.0470738794674354
Gout,multi,w50rest,0.00548433467236482,0.00199656002979223,0.00909925050193144,3,0.0384870793439142
HF,EUR_AFR,EUR_AFR_01,-0.0567622949963112,-0.0852239659276927,-0.0268761115118643,1,0
HF,EUR_AFR,EUR_AFR_02,-0.0220466798566636,-0.042372241029598,-0.00341110092209611,1.21951219512195,0.0141084919076383
HF,EUR_AFR,EUR_AFR_03,-0.0119887217544308,-0.0314699134029664,0.00528339785750752,1.47058823529412,0.025081763391357
HF,EUR_AFR,EUR_AFR_04,-0.00795272282734467,-0.0174625985911277,0.00220246685711144,1.72413793103448,0.032919814451156
HF,EUR_AFR,EUR_AFR_05,-0.000379427656245744,-0.0133108244295149,0.0129069282505891,1.92307692307692,0.0376226450870355
HF,EUR_AFR,EUR_AFR_06,-0.00924439114962803,-0.0227327558434038,0.00388690865828592,2,0.0391902552989953
HF,EUR_AFR,EUR_AFR_07,0.00443150609405494,-0.00493272680010103,0.0139560647899848,1.92307692307692,0.0376226450870355
HF,EUR_AFR,EUR_AFR_08,-0.000395200532129085,-0.00853845739572909,0.00855148919904863,1.72413793103448,0.032919814451156
HF,EUR_AFR,EUR_AFR_09,0.00985986133648096,0.0021279380843565,0.0173380670737088,1.47058823529412,0.025081763391357
HF,EUR_AFR,EUR_AFR_10,0.0115025486643962,0.00268097504371229,0.0201964469007716,1.21951219512195,0.0141084919076383
HF,EUR_AFR,EUR_AFR_11,0.0238310965758701,0.0103092246622659,0.0370488025591583,1,0
HF,EUR_EAS,EUR_EAS_01,0.0448973186300761,0.0310478040110213,0.0582223802451129,1,0
HF,EUR_EAS,EUR_EAS_02,0.0362470917908947,0.0253294466614962,0.0463614747274003,1.21951219512195,0.0131869490408634
HF,EUR_EAS,EUR_EAS_03,0.0264854864117888,0.0167790101583868,0.0369762570108941,1.47058823529412,0.0234434649615349
HF,EUR_EAS,EUR_EAS_04,0.0339656509923748,0.0246811830085579,0.0443967806966198,1.72413793103448,0.0307695477620146
HF,EUR_EAS,EUR_EAS_05,0.0240710620154155,0.0132504789414826,0.0350478814492698,1.92307692307692,0.0351651974423024
HF,EUR_EAS,EUR_EAS_06,0.0202302034748452,0.0144167216519809,0.0262661379744997,2,0.0366304140023983
HF,EUR_EAS,EUR_EAS_07,0.0192993492582805,0.0138328316916131,0.0255000492425518,1.92307692307692,0.0351651974423024
HF,EUR_EAS,EUR_EAS_08,0.0192079145514855,0.0118530278218612,0.0271114003034243,1.72413793103448,0.0307695477620146
HF,EUR_EAS,EUR_EAS_09,0.00871553646149291,-0.00157390129616265,0.0187652938611774,1.47058823529412,0.0234434649615349
HF,EUR_EAS,EUR_EAS_10,0.0216998217893157,0.0126728630891381,0.0306359967799441,1.21951219512195,0.0131869490408634
HF,EUR_EAS,EUR_EAS_11,0.0168731204151044,0.00508739105178741,0.0286853726179747,1,0
HF,multi,equal,0,0,0,4,0.0490148770810798
HF,multi,reported,0.0145936984174455,0.00771475359715459,0.0227083057379434,1.58057109577478,0.0263927771542323
HF,multi,w25rest,0,0,0,4,0.0490148770810798
HF,multi,w50rest,0.00776503730375598,0.00319235025834059,0.0136692961388251,3,0.0399403830590689
IPF,EUR_AFR,EUR_AFR_01,-0.0586695978084086,-0.0885311956376016,-0.030508897657554,1,0
IPF,EUR_AFR,EUR_AFR_02,-0.00167641656706791,-0.0212950334744392,0.0164247867457927,1.21951219512195,0.01322727546054
IPF,EUR_AFR,EUR_AFR_03,-0.00109205099790191,-0.0131630895435174,0.0109876104246576,1.47058823529412,0.0235151563742934
IPF,EUR_AFR,EUR_AFR_04,0.00300528242460675,-0.0138109410335801,0.0158829069951626,1.72413793103448,0.03086364274126
IPF,EUR_AFR,EUR_AFR_05,0.00421752964769622,-0.00554062641242661,0.0144546315596386,1.92307692307692,0.0352727345614401
IPF,EUR_AFR,EUR_AFR_06,0.00346673311075637,-0.00678932482425617,0.0127961035348557,2,0.0367424318348334
IPF,EUR_AFR,EUR_AFR_07,0.0106409653404827,-0.0002007683672096,0.0218839522259733,1.92307692307692,0.0352727345614401
