trait,sweep_kind,sweep_id,delta,comparison,mean_diff,sd,lo95,hi95
IPF,EUR_AFR,EUR_AFR_02,0.1,MELD_lambda0_true − EUR,0.20816418651878,0.0165153906463309,0.174765747744052,0.238781529805358
IPF,EUR_AFR,EUR_AFR_02,0.1,MELD_lambda0_true − EAS,0.244494522408663,0.014383847422403,0.21482872293209,0.271792412719374
IPF,EUR_AFR,EUR_AFR_02,0.1,MELD_lambda0_true − AFR,0.0385456886857283,0.00626751190643805,0.0257806442824745,0.0508707543244025
IPF,EUR_AFR,EUR_AFR_02,0.1,MELD_lambda0_true − AMR,0.160721685578977,0.0122239241984961,0.13642216557712,0.184459783940834
IPF,EUR_AFR,EUR_AFR_02,0.1,MELD_lambda0_true − MELD_lambda0_equal,0.0133666025668263,0.00686848096708009,0.000297215388382366,0.0269957635832915
IPF,EUR_AFR,EUR_AFR_02,0.1,MELD_lambda0_true − MELD_lambda0_scrambled,0.0928569213101773,0.00921993128094663,0.074702932190338,0.110380008117045
IPF,EUR_AFR,EUR_AFR_02,0.1,MELD_lambda1_true − MELD_lambda0_true,0.00205353684173929,0.00112404553198597,-3.98907540407507e-06,0.00438202793138978
IPF,EUR_AFR,EUR_AFR_03,0.001,MELD_lambda0_true − EUR,0.360262090471455,0.02340626098992,0.315494955511108,0.40848944224506
IPF,EUR_AFR,EUR_AFR_03,0.001,MELD_lambda0_true − EAS,0.44282310917997,0.0163743122282361,0.411241391902015,0.475335372775272
IPF,EUR_AFR,EUR_AFR_03,0.001,MELD_lambda0_true − AFR,0.138930996909266,0.0189592009948832,0.102129864334181,0.174554178199858
IPF,EUR_AFR,EUR_AFR_03,0.001,MELD_lambda0_true − AMR,0.312898323356001,0.024125817648684,0.260971295379512,0.358572639576104
IPF,EUR_AFR,EUR_AFR_03,0.001,MELD_lambda0_true − MELD_lambda0_equal,-0.0175728520264197,0.0119779606054373,-0.0416087599365094,0.00557389970495742
IPF,EUR_AFR,EUR_AFR_03,0.001,MELD_lambda0_true − MELD_lambda0_scrambled,0,0,0,0
IPF,EUR_AFR,EUR_AFR_03,0.001,MELD_lambda1_true − MELD_lambda0_true,0.000454240194527397,0.00483750334021118,-0.00787139934388056,0.0113718847527378
IPF,EUR_AFR,EUR_AFR_03,0.01,MELD_lambda0_true − EUR,0.229310532341395,0.0125806744941367,0.204443381092976,0.25549357896257
IPF,EUR_AFR,EUR_AFR_03,0.01,MELD_lambda0_true − EAS,0.327721256261816,0.0144846786315846,0.296876292271836,0.353390030952226
IPF,EUR_AFR,EUR_AFR_03,0.01,MELD_lambda0_true − AFR,0.0828945632922215,0.0116333284453825,0.059795619818657,0.105070368633884
IPF,EUR_AFR,EUR_AFR_03,0.01,MELD_lambda0_true − AMR,0.215280602403817,0.0162334832778595,0.183901931327998,0.244457026131129
IPF,EUR_AFR,EUR_AFR_03,0.01,MELD_lambda0_true − MELD_lambda0_equal,-0.00109205099790191,0.00613205831150028,-0.0131630895435174,0.0109876104246576
IPF,EUR_AFR,EUR_AFR_03,0.01,MELD_lambda0_true − MELD_lambda0_scrambled,0,0,0,0
IPF,EUR_AFR,EUR_AFR_03,0.01,MELD_lambda1_true − MELD_lambda0_true,8.89255224408417e-05,0.00299711859297965,-0.00492419689276953,0.00665621883993704
IPF,EUR_AFR,EUR_AFR_03,0.1,MELD_lambda0_true − EUR,0.193043342176826,0.0101883304038522,0.172241345710501,0.212607886772618
IPF,EUR_AFR,EUR_AFR_03,0.1,MELD_lambda0_true − EAS,0.267935875146646,0.0133748095550213,0.240751859156686,0.293600970602933
IPF,EUR_AFR,EUR_AFR_03,0.1,MELD_lambda0_true − AFR,0.0583827770969985,0.00863373493630109,0.0417456766857459,0.0749993061718919
IPF,EUR_AFR,EUR_AFR_03,0.1,MELD_lambda0_true − AMR,0.171958749259214,0.0126948279497807,0.145431483631515,0.196170248389181
IPF,EUR_AFR,EUR_AFR_03,0.1,MELD_lambda0_true − MELD_lambda0_equal,0.012760617827618,0.00528594828110971,0.00293647208241267,0.0237439041648288
IPF,EUR_AFR,EUR_AFR_03,0.1,MELD_lambda0_true − MELD_lambda0_scrambled,0,0,0,0
IPF,EUR_AFR,EUR_AFR_03,0.1,MELD_lambda1_true − MELD_lambda0_true,-0.000507235602021447,0.00198135609246107,-0.00413305674929996,0.00365535273385506
IPF,EUR_AFR,EUR_AFR_04,0.001,MELD_lambda0_true − EUR,0.372025318911077,0.0154718853751107,0.341043662122559,0.401487255636823
IPF,EUR_AFR,EUR_AFR_04,0.001,MELD_lambda0_true − EAS,0.466932013881967,0.0223593374532637,0.421467338852929,0.509770822507515
IPF,EUR_AFR,EUR_AFR_04,0.001,MELD_lambda0_true − AFR,0.165951865054063,0.0163975365098617,0.132733979763789,0.196351018524826
IPF,EUR_AFR,EUR_AFR_04,0.001,MELD_lambda0_true − AMR,0.355100813064452,0.0261262578375409,0.301117964075329,0.405610139345982
IPF,EUR_AFR,EUR_AFR_04,0.001,MELD_lambda0_true − MELD_lambda0_equal,-0.00834759983107023,0.0122159741145912,-0.0345917450444031,0.0137651335103668
IPF,EUR_AFR,EUR_AFR_04,0.001,MELD_lambda0_true − MELD_lambda0_scrambled,0.0334708261334833,0.00675877592421141,0.0198543791882454,0.0458021566109035
IPF,EUR_AFR,EUR_AFR_04,0.001,MELD_lambda1_true − MELD_lambda0_true,-0.00348789298014153,0.00241020962048338,-0.00821937384077517,0.00117260539860556
IPF,EUR_AFR,EUR_AFR_04,0.01,MELD_lambda0_true − EUR,0.240890756537584,0.0126101855504296,0.214776939942195,0.263566739326445
IPF,EUR_AFR,EUR_AFR_04,0.01,MELD_lambda0_true − EAS,0.313680868335887,0.0173057787794567,0.279071832702139,0.347649135932577
IPF,EUR_AFR,EUR_AFR_04,0.01,MELD_lambda0_true − AFR,0.111601026116364,0.0108553698543568,0.0900313917502917,0.132519277751461
IPF,EUR_AFR,EUR_AFR_04,0.01,MELD_lambda0_true − AMR,0.233506254024999,0.0235622729165887,0.185665497866139,0.278648919454828
IPF,EUR_AFR,EUR_AFR_04,0.01,MELD_lambda0_true − MELD_lambda0_equal,0.00300528242460675,0.00758088750452202,-0.0138109410335801,0.0158829069951626
IPF,EUR_AFR,EUR_AFR_04,0.01,MELD_lambda0_true − MELD_lambda0_scrambled,0.0238622611382556,0.00602389749351168,0.011523183527106,0.0351235393301019
IPF,EUR_AFR,EUR_AFR_04,0.01,MELD_lambda1_true − MELD_lambda0_true,-0.00314499004127554,0.00172823092572148,-0.00648806871055339,0.000255146799474653
IPF,EUR_AFR,EUR_AFR_04,0.1,MELD_lambda0_true − EUR,0.182326404665289,0.0104786925698612,0.161224014414703,0.202238327233722
IPF,EUR_AFR,EUR_AFR_04,0.1,MELD_lambda0_true − EAS,0.236163494985451,0.0144388096917115,0.206206062256349,0.263256283015598
IPF,EUR_AFR,EUR_AFR_04,0.1,MELD_lambda0_true − AFR,0.0790993966457922,0.00775195296952005,0.0638450606260724,0.0942593393010717
