pop,N_median,w_paperN,w_afproj,discrepancy
EUR,1587716,0.772289874529089,0.7800342,0.0077443254709112
EAS,264013,0.128420049079337,0.1274324,-0.000987649079336822
AFR,100692,0.0489781623704006,0.0527999,0.00382173762959936
CSA,44727,0.0217559117739335,0.0192742,-0.00248171177393347
AMR,58707,0.0285560022472402,0.0204593,-0.0080967022472402
