mix,ld_pop,gwas,pgs_method,model,r,se,p,n
eur100,AMR,mix_eur100_ldamr,ptclump,mix_eur100_ldamr_0_5e-08,0.371392663138029,0.0333518387512108,8.0562137238382e-27,777
eur100,AMR,mix_eur100_ldamr,ptclump,mix_eur100_ldamr_0_1e-06,0.374265643257809,0.0333103728545933,3.04874016949361e-27,777
eur100,AMR,mix_eur100_ldamr,ptclump,mix_eur100_ldamr_0_1e-04,0.385528748651626,0.0331442124362145,6.14225416264497e-29,777
eur100,AMR,mix_eur100_ldamr,ptclump,mix_eur100_ldamr_0_0.01,0.415950223434155,0.032666159102104,7.3433152474316e-34,777
eur100,AMR,mix_eur100_ldamr,ptclump,mix_eur100_ldamr_0_0.1,0.426028232546075,0.0324981378141176,1.31811787653585e-35,777
eur100,AMR,mix_eur100_ldamr,ptclump,mix_eur100_ldamr_0_0.2,0.428038530622037,0.0324640350145069,5.8150696383769e-36,777
eur100,AMR,mix_eur100_ldamr,ptclump,mix_eur100_ldamr_0_0.3,0.421609895322963,0.0325724026502104,7.81071487950576e-35,777
eur100,AMR,mix_eur100_ldamr,ptclump,mix_eur100_ldamr_0_0.4,0.418598517114751,0.0326224795139463,2.58713045236682e-34,777
eur100,AMR,mix_eur100_ldamr,ptclump,mix_eur100_ldamr_0_0.5,0.413509503428385,0.0327061184090429,1.90494755040458e-33,777
eur100,AMR,mix_eur100_ldamr,ptclump,mix_eur100_ldamr_0_1,0.408737245873994,0.0327834313745643,1.20098512494361e-32,777
eur100,AMR,mix_eur100_ldamr,dbslmm,mix_eur100_ldamr_DBSLMM_0.8,0.432189691653804,0.0323929914846823,1.0545159359665e-36,777
eur100,AMR,mix_eur100_ldamr,dbslmm,mix_eur100_ldamr_DBSLMM_1,0.43313927303661,0.0323766217957882,7.11182535260876e-37,777
eur100,AMR,mix_eur100_ldamr,dbslmm,mix_eur100_ldamr_DBSLMM_1.2,0.43346904072845,0.0323709266358636,6.20075381027469e-37,777
eur100,AMR,mix_eur100_ldamr,quickprs,mix_eur100_ldamr_quickprs,0.176584304451764,0.0353565795933882,7.29697745423312e-07,777
eur100,AFR,mix_eur100_ldafr,ptclump,mix_eur100_ldafr_0_5e-08,0.367000552133614,0.0334145148050407,3.49237506592051e-26,777
eur100,AFR,mix_eur100_ldafr,ptclump,mix_eur100_ldafr_0_1e-06,0.363137904007989,0.03346892372129,1.24519103416294e-25,777
eur100,AFR,mix_eur100_ldafr,ptclump,mix_eur100_ldafr_0_1e-04,0.365093159823837,0.0334414651756854,6.55690370853422e-26,777
eur100,AFR,mix_eur100_ldafr,ptclump,mix_eur100_ldafr_0_0.01,0.379824615648552,0.0332290828962479,4.52320656645424e-28,777
eur100,AFR,mix_eur100_ldafr,ptclump,mix_eur100_ldafr_0_0.1,0.388152601973223,0.0331046738261731,2.41923578477635e-29,777
eur100,AFR,mix_eur100_ldafr,ptclump,mix_eur100_ldafr_0_0.2,0.391314433177082,0.0330566086192,7.78348477668144e-30,777
eur100,AFR,mix_eur100_ldafr,ptclump,mix_eur100_ldafr_0_0.3,0.388489237519274,0.0330995782515124,2.14534309174355e-29,777
eur100,AFR,mix_eur100_ldafr,ptclump,mix_eur100_ldafr_0_0.4,0.388310048015894,0.033102291249221,2.28707405761034e-29,777
eur100,AFR,mix_eur100_ldafr,ptclump,mix_eur100_ldafr_0_0.5,0.387113451402672,0.0331203704152403,3.50246660991361e-29,777
eur100,AFR,mix_eur100_ldafr,ptclump,mix_eur100_ldafr_0_1,0.385494171325164,0.0331447313747201,6.21778705865649e-29,777
eur100,AFR,mix_eur100_ldafr,dbslmm,mix_eur100_ldafr_DBSLMM_0.8,0.413972471332165,0.0326985605479594,1.5908063335843e-33,777
eur100,AFR,mix_eur100_ldafr,dbslmm,mix_eur100_ldafr_DBSLMM_1,0.413830278513905,0.032700882903837,1.68138954708052e-33,777
eur100,AFR,mix_eur100_ldafr,dbslmm,mix_eur100_ldafr_DBSLMM_1.2,0.413360596870142,0.0327085471113544,2.01850565966599e-33,777
eur100,AFR,mix_eur100_ldafr,quickprs,mix_eur100_ldafr_quickprs,0.331358830610272,0.0338916932514985,2.28624528670744e-21,777
eur75,EUR,mix_eur75_ldeur,ptclump,mix_eur75_ldeur_0_5e-08,0.356412451014238,0.0335620785384631,1.09321180821108e-24,777
eur75,EUR,mix_eur75_ldeur,ptclump,mix_eur75_ldeur_0_1e-06,0.369856426017215,0.0333738592726891,1.34912074513236e-26,777
eur75,EUR,mix_eur75_ldeur,ptclump,mix_eur75_ldeur_0_1e-04,0.391576340658014,0.0330526065428037,7.08169332705037e-30,777
eur75,EUR,mix_eur75_ldeur,ptclump,mix_eur75_ldeur_0_0.01,0.392233417407931,0.0330425521600507,5.58496339332375e-30,777
eur75,EUR,mix_eur75_ldeur,ptclump,mix_eur75_ldeur_0_0.1,0.382486504147097,0.0331896617044901,1.79031700626053e-28,777
eur75,EUR,mix_eur75_ldeur,ptclump,mix_eur75_ldeur_0_0.2,0.370794361300587,0.0333604274287557,9.85104187294946e-27,777
eur75,EUR,mix_eur75_ldeur,ptclump,mix_eur75_ldeur_0_0.3,0.367520022373934,0.0334071468721071,2.93963799164523e-26,777
eur75,EUR,mix_eur75_ldeur,ptclump,mix_eur75_ldeur_0_0.4,0.370240259706149,0.0333683672900475,1.18636088494992e-26,777
eur75,EUR,mix_eur75_ldeur,ptclump,mix_eur75_ldeur_0_0.5,0.367622597251898,0.0334056905716293,2.84120307477125e-26,777
eur75,EUR,mix_eur75_ldeur,ptclump,mix_eur75_ldeur_0_1,0.367482202902864,0.033407683693149,2.97677612674202e-26,777
eur75,EUR,mix_eur75_ldeur,dbslmm,mix_eur75_ldeur_DBSLMM_0.8,0.380740195635332,0.0332155599648344,3.29167347144423e-28,777
eur75,EUR,mix_eur75_ldeur,dbslmm,mix_eur75_ldeur_DBSLMM_1,0.379394964071519,0.0332354156467051,5.24889617211543e-28,777
eur75,EUR,mix_eur75_ldeur,dbslmm,mix_eur75_ldeur_DBSLMM_1.2,0.377568508816841,0.0332622428811355,9.85598104519832e-28,777
eur75,EUR,mix_eur75_ldeur,quickprs,mix_eur75_ldeur_quickprs,0.345545328690021,0.0337083970742719,3.28135505197421e-23,777
eur75,EAS,mix_eur75_ldeas,ptclump,mix_eur75_ldeas_0_5e-08,0.362196234290158,0.0334820874183742,1.69315357794875e-25,777
eur75,EAS,mix_eur75_ldeas,ptclump,mix_eur75_ldeas_0_1e-06,0.374784736543515,0.0333028411314189,2.55515745839147e-27,777
eur75,EAS,mix_eur75_ldeas,ptclump,mix_eur75_ldeas_0_1e-04,0.388231977791704,0.0331034728013483,2.35168803792199e-29,777
eur75,EAS,mix_eur75_ldeas,ptclump,mix_eur75_ldeas_0_0.01,0.397422322335762,0.0329624517117681,8.40414658651349e-31,777
eur75,EAS,mix_eur75_ldeas,ptclump,mix_eur75_ldeas_0_0.1,0.389306677887287,0.0330871831837542,1.60152644409349e-29,777
eur75,EAS,mix_eur75_ldeas,ptclump,mix_eur75_ldeas_0_0.2,0.387954221333546,0.0331076742326625,2.5965732342748e-29,777
eur75,EAS,mix_eur75_ldeas,ptclump,mix_eur75_ldeas_0_0.3,0.384729104538655,0.0331561995588795,8.14556434840167e-29,777
eur75,EAS,mix_eur75_ldeas,ptclump,mix_eur75_ldeas_0_0.4,0.387054265775792,0.0331212629365091,3.57692001288434e-29,777
eur75,EAS,mix_eur75_ldeas,ptclump,mix_eur75_ldeas_0_0.5,0.385568564628412,0.0331436148080205,6.05640258897266e-29,777
eur75,EAS,mix_eur75_ldeas,ptclump,mix_eur75_ldeas_0_1,0.386265107637127,0.0331331481347428,4.73300079934673e-29,777
eur75,EAS,mix_eur75_ldeas,dbslmm,mix_eur75_ldeas_DBSLMM_0.8,0.383971484602777,0.0331675297690851,1.06355380661135e-28,777
eur75,EAS,mix_eur75_ldeas,dbslmm,mix_eur75_ldeas_DBSLMM_1,0.382829422522753,0.0331845598230008,1.58783327834068e-28,777
eur75,EAS,mix_eur75_ldeas,dbslmm,mix_eur75_ldeas_DBSLMM_1.2,0.38140246906555,0.0332057545846558,2.61397137386076e-28,777
eur75,EAS,mix_eur75_ldeas,quickprs,mix_eur75_ldeas_quickprs,0.267308362363776,0.0346139304310329,3.52390033170343e-14,777
eur75,CSA,mix_eur75_ldcsa,ptclump,mix_eur75_ldcsa_0_5e-08,0.376061145343218,0.0332842695571414,1.65279652863309e-27,777
eur75,CSA,mix_eur75_ldcsa,ptclump,mix_eur75_ldcsa_0_1e-06,0.381653534763177,0.0332020321842635,2.39489799210665e-28,777
eur75,CSA,mix_eur75_ldcsa,ptclump,mix_eur75_ldcsa_0_1e-04,0.400015423395981,0.0329219538683552,3.22060424876425e-31,777
eur75,CSA,mix_eur75_ldcsa,ptclump,mix_eur75_ldcsa_0_0.01,0.400127404013135,0.0329201979486407,3.08933878321542e-31,777
eur75,CSA,mix_eur75_ldcsa,ptclump,mix_eur75_ldcsa_0_0.1,0.381397724001471,0.0332058249092709,2.61829729859739e-28,777
eur75,CSA,mix_eur75_ldcsa,ptclump,mix_eur75_ldcsa_0_0.2,0.37131640535006,0.0333529343317682,8.26560595181665e-27,777
eur75,CSA,mix_eur75_ldcsa,ptclump,mix_eur75_ldcsa_0_0.3,0.367456228985442,0.0334080523378151,3.0025506153005e-26,777
eur75,CSA,mix_eur75_ldcsa,ptclump,mix_eur75_ldcsa_0_0.4,0.366680533934192,0.0334190478046961,3.88284225001321e-26,777
eur75,CSA,mix_eur75_ldcsa,ptclump,mix_eur75_ldcsa_0_0.5,0.366665562523364,0.0334192597601351,3.90213099247458e-26,777
eur75,CSA,mix_eur75_ldcsa,ptclump,mix_eur75_ldcsa_0_1,0.363023887729507,0.033470519660909,1.29246531049417e-25,777
eur75,CSA,mix_eur75_ldcsa,dbslmm,mix_eur75_ldcsa_DBSLMM_0.8,0.392762695233684,0.0330344388280995,4.61094492181417e-30,777
eur75,CSA,mix_eur75_ldcsa,dbslmm,mix_eur75_ldcsa_DBSLMM_1,0.390819117120217,0.0330641686518293,9.304257070315e-30,777
eur75,CSA,mix_eur75_ldcsa,dbslmm,mix_eur75_ldcsa_DBSLMM_1.2,0.389223509471427,0.0330884456916609,1.64993924886464e-29,777
eur75,CSA,mix_eur75_ldcsa,quickprs,mix_eur75_ldcsa_quickprs,0.314613212468525,0.0340969874090732,2.59263710633549e-19,777
eur75,AMR,mix_eur75_ldamr,ptclump,mix_eur75_ldamr_0_5e-08,0.378381260432497,0.0332503237287857,7.44991922469536e-28,777
eur75,AMR,mix_eur75_ldamr,ptclump,mix_eur75_ldamr_0_1e-06,0.388239897211803,0.0331033529578046,2.34505207174818e-29,777
eur75,AMR,mix_eur75_ldamr,ptclump,mix_eur75_ldamr_0_1e-04,0.395077860627142,0.0329987973200643,1.98582730091417e-30,777
eur75,AMR,mix_eur75_ldamr,ptclump,mix_eur75_ldamr_0_0.01,0.399041321171978,0.0329372036730958,4.62221641390068e-31,777
eur75,AMR,mix_eur75_ldamr,ptclump,mix_eur75_ldamr_0_0.1,0.394374370058913,0.0330096536464545,2.56694352285361e-30,777
eur75,AMR,mix_eur75_ldamr,ptclump,mix_eur75_ldamr_0_0.2,0.387599143534953,0.0331130400964191,2.946710942648e-29,777
eur75,AMR,mix_eur75_ldamr,ptclump,mix_eur75_ldamr_0_0.3,0.387637157471815,0.0331124659139058,2.90709555778371e-29,777
eur75,AMR,mix_eur75_ldamr,ptclump,mix_eur75_ldamr_0_0.4,0.389914394563033,0.0330779483100643,1.28799225009421e-29,777
eur75,AMR,mix_eur75_ldamr,ptclump,mix_eur75_ldamr_0_0.5,0.389394476797728,0.0330858500393305,1.55194436281729e-29,777
eur75,AMR,mix_eur75_ldamr,ptclump,mix_eur75_ldamr_0_1,0.388823979788071,0.0330945061758237,1.90348175175399e-29,777
eur75,AMR,mix_eur75_ldamr,dbslmm,mix_eur75_ldamr_DBSLMM_0.8,0.410284442326451,0.0327584842767414,6.63283066265183e-33,777
eur75,AMR,mix_eur75_ldamr,dbslmm,mix_eur75_ldamr_DBSLMM_1,0.409776805144482,0.032766681936334,8.0620449594612e-33,777
eur75,AMR,mix_eur75_ldamr,dbslmm,mix_eur75_ldamr_DBSLMM_1.2,0.40938018695031,0.0327730783011346,9.38763806156103e-33,777
eur75,AMR,mix_eur75_ldamr,quickprs,mix_eur75_ldamr_quickprs,0.330133888193068,0.0339071144093642,3.2644337614393e-21,777
eur75,AFR,mix_eur75_ldafr,ptclump,mix_eur75_ldafr_0_5e-08,0.347780090169563,0.0336787289791902,1.64795216651902e-23,777
eur75,AFR,mix_eur75_ldafr,ptclump,mix_eur75_ldafr_0_1e-06,0.358481422428827,0.0335336339539757,5.63457081567374e-25,777
eur75,AFR,mix_eur75_ldafr,ptclump,mix_eur75_ldafr_0_1e-04,0.361931767473925,0.0334857773504725,1.84543412957292e-25,777
eur75,AFR,mix_eur75_ldafr,ptclump,mix_eur75_ldafr_0_0.01,0.378299478824396,0.0332515244243549,7.66298015872826e-28,777
eur75,AFR,mix_eur75_ldafr,ptclump,mix_eur75_ldafr_0_0.1,0.377915593319853,0.0332571564808908,8.74651202053749e-28,777
eur75,AFR,mix_eur75_ldafr,ptclump,mix_eur75_ldafr_0_0.2,0.372927905457169,0.03332972667796,4.79897033007825e-27,777
eur75,AFR,mix_eur75_ldafr,ptclump,mix_eur75_ldafr_0_0.3,0.369508150662038,0.0333788367681181,1.51581876562335e-26,777
eur75,AFR,mix_eur75_ldafr,ptclump,mix_eur75_ldafr_0_0.4,0.371230028062493,0.033354174981982,8.50929542477073e-27,777
eur75,AFR,mix_eur75_ldafr,ptclump,mix_eur75_ldafr_0_0.5,0.369653536679905,0.0333767595949354,1.44388809418684e-26,777
eur75,AFR,mix_eur75_ldafr,ptclump,mix_eur75_ldafr_0_1,0.367940865541166,0.0334011689860104,2.5560721880053e-26,777
eur75,AFR,mix_eur75_ldafr,dbslmm,mix_eur75_ldafr_DBSLMM_0.8,0.402943195362829,0.0328758521304657,1.07936151589119e-31,777
eur75,AFR,mix_eur75_ldafr,dbslmm,mix_eur75_ldafr_DBSLMM_1,0.403706419691895,0.0328637681993025,8.10254425016226e-32,777
eur75,AFR,mix_eur75_ldafr,dbslmm,mix_eur75_ldafr_DBSLMM_1.2,0.404035561004142,0.0328585485600965,7.15831951315258e-32,777
eur75,AFR,mix_eur75_ldafr,quickprs,mix_eur75_ldafr_quickprs,0.357031573769825,0.0335535865172354,8.96998940746251e-25,777
eur50,EUR,mix_eur50_ldeur,ptclump,mix_eur50_ldeur_0_5e-08,0.257425447068035,0.034710454671269,3.16296234506703e-13,777
eur50,EUR,mix_eur50_ldeur,ptclump,mix_eur50_ldeur_0_1e-06,0.248759605640243,0.0347918911316752,2.00983510943823e-12,777
eur50,EUR,mix_eur50_ldeur,ptclump,mix_eur50_ldeur_0_1e-04,0.272154354941354,0.0345651699964827,1.16146673215409e-14,777
eur50,EUR,mix_eur50_ldeur,ptclump,mix_eur50_ldeur_0_0.01,0.275440501327484,0.0345315663019003,5.40238467621085e-15,777
eur50,EUR,mix_eur50_ldeur,ptclump,mix_eur50_ldeur_0_0.1,0.262615043541333,0.0346602559212074,1.01067965188087e-13,777
eur50,EUR,mix_eur50_ldeur,ptclump,mix_eur50_ldeur_0_0.2,0.258649734722321,0.0346987089976088,2.42210386371635e-13,777
eur50,EUR,mix_eur50_ldeur,ptclump,mix_eur50_ldeur_0_0.3,0.260374274457836,0.0346820626167988,1.65920230449528e-13,777
eur50,EUR,mix_eur50_ldeur,ptclump,mix_eur50_ldeur_0_0.4,0.260291769058901,0.0346828617147262,1.68961229149779e-13,777
eur50,EUR,mix_eur50_ldeur,ptclump,mix_eur50_ldeur_0_0.5,0.260350002774448,0.0346822977260055,1.66809224278442e-13,777
eur50,EUR,mix_eur50_ldeur,ptclump,mix_eur50_ldeur_0_1,0.260165653282566,0.0346840826716932,1.73715541008343e-13,777
eur50,EUR,mix_eur50_ldeur,dbslmm,mix_eur50_ldeur_DBSLMM_0.8,0.224855131475465,0.0350012012669271,2.31213955228543e-10,777
eur50,EUR,mix_eur50_ldeur,dbslmm,mix_eur50_ldeur_DBSLMM_1,0.222732489940646,0.035018709062716,3.43763487922972e-10,777
eur50,EUR,mix_eur50_ldeur,dbslmm,mix_eur50_ldeur_DBSLMM_1.2,0.219720541161713,0.0350432522388125,5.99384979343678e-10,777
eur50,EUR,mix_eur50_ldeur,quickprs,mix_eur50_ldeur_quickprs,0.268587584462878,0.0346011506329728,2.6346817880707e-14,777
eur50,EAS,mix_eur50_ldeas,ptclump,mix_eur50_ldeas_0_5e-08,0.270547874919598,0.034581439127062,1.6822009991663e-14,777
eur50,EAS,mix_eur50_ldeas,ptclump,mix_eur50_ldeas_0_1e-06,0.274839049752265,0.0345377492725647,6.21963228658309e-15,777
